name,based_on,source,background,faction,motivations,quote,description,ego_stats,skills,morph_type,morph_stats,augmentations,traits,sleights,gear,Blueprints,equipped weapons,equipped armor,credits,rep
Mercurial Scavenger,,EP.173,Uplift (Octopus),Mercurial,"+Exploration, +Reclaiming Earth, +Uplift Rights","Maybe it’s the kind of trap that would catch a knuckle-dragging monkey, but my superior physiology was able to easily squeeze out of it.","You may be an “uplift,” but you find it hard not to feel sorry for these modified monkeys around you who have to get by with half as many limbs, gaping sensory blind spots, and brittle bones that are constantly breaking. Any favors they did by uplifting octopus-kind were rendered moot when they succeeded in despoiling and abandoning the home planet you all shared. Nevertheless, you find all the ruins and derelict habitats left behind by transhumanity to be fascinating to explore, so you spend much of your time combing through spacecraft hulls and shattered stations, look- ing for curiosities and lost treasures. Such activities tend to take you close to Earth as well, where you support the efforts of those who hope to take the planet back. Your ultimate dream is to someday swim in the oceans of your ancestors.","COG:10, COO:20, INT:15, REF:15, SAV:10, SOM:20, WIL:15, MOX:5, SPD:1","Academics: Engineering 50, Academics: Materials Science 50, Academics: Physics 50, Art: Ink Painting 45,     Language: Native Japanese 85, Climbing 30, Demolitions 40, Exotic Ranged: Ink Attack 35, Free Fall 45, Hardware: Electronics 40, Hardware: Industrial 40, Interests: SpaceshipInfiltration 50, Interests: Post-FallEarth 40, Interests: Ruined Habitats 55, Models 40, Interfacing 30, Investigation 35, Kinetic Weapons 50, Language: Japanese 80, Networking: Autonomists 30, Networking: Criminal 40, Networking: Ecologists 40, Networking: Firewall 30, Networking: Hypercorps 30, Palming 40, Perception 45, Pilot: Aircraft 35, Pilot: Spacecraft 45, Profession: Appraisal 40, Profession: Salvage Ops 60, Scrounging 60, Swimming 50, Unarmed Combat 50",Octomorph,"COG:5, COO:5, INT:5, DUR:30","Basic Biomods, Basic Mesh Inserts, Chameleon Skin, Cortical Stack, Direction Sense, Echolocation, Electrical Sense, Enhanced Vision, Grip Pads, Medichines, Oracles, Radiation Sense","Ambidextrous:2x, Limber (Level 2), 360 Degree Vision, Limbs:8 Tentacles",,"Backup Insurance (Budget):1 month, Breadcrumb Positioning System, Disassembly Tools, Mobile Lab, Nanodetector, Radio Booster, Shelter dome, Specimen Container, Superthermite Charge, Tactical Network Software, X-Ray Emitter",,Octopus Beak; Ink Attack; Medium Pistol,Vacsuit; Crash Suit {Chameleon Coating},400,"@:20,c:20,e:40,g:40,i:20"
Scum Enforcer,,EP.174,Scumborn,Scum,"+Adventure, +Hedonism, +Morphological Freedom","Oi! Pretty boy! If that’s the best punch you can throw, then you’re never gonna get to see the rest of my mods!","Those jokers in the inner system just don’t get it—the future is about taking life by the enhanced reproductive organs and squeezing every juicy drop out. You live the life you want to live, doing whatever you like to your bodies and mind, and you plan to enjoy the hell out of it until maybe you get to watch the universe end. Right now, you get your kicks with action, either the violent or kinky kind—sometimes both. You thrive as a tough chick who will smack the hell out of anyone who threatens your friends or clients during the day, but the real fun is taking home a different partner every night","COG:10, COO:20, INT:15, REF:20, SAV:10, SOM:20, WIL:10, MOX:5, SPD:1","Academics:Linguistics 50, Art: Dance 55, Beam Weapons 40, Blades 60, Climbing 40, Clubs 50, Fray 70, Free Fall 60, Hardware: Armorer 40, In ltration 50, Interests: Drug Dealers 50, Interests: Gambling 40, Interests: Scum Gangs 50, Interests: Triad Politics 50, Intimidation 60, Kinesics 40, Kinetic Weapons 60, Language: Native Spanish 80, Language: Cantonese 55, Networking: Autonomists 50, Networking: Criminals 50, Perception 45, Persuasion 20, Profession: Bodyguarding 40, Profession: Protection Rackets 50, Profession: Security Ops 50, Unarmed Combat 60",Fury,"COO:5, REF:5, SOM:10, WIL:5, DUR:50","Basic Biomods, Basic Mesh Inserts, Bioweave Armor (Light), Cortical Stack, Cyberclaws, Enhanced Vision, Medichines, Neurachem (Level 1), Toxin Filters",Minor Addiction:Alcohol,,"Backup Insurance (Budget):1 month, Cuffband, Kick:2 doses, Monofilament Sword, Nanobandage: 5, Shock Gloves, Tactical Network Software",,Medium Pistol;Wasp Knife; Shock Gloves; SMG; Monofilament Sword,"Body Armor (Heavy) {Offensive Armor, Shock Proof}",1000,"2:60,c:40"
Socialite Escort,,EP.175,Hyperelite,Socialite,"+Hedonism, +Hypercapitalism, +Personal Career",I’m just here to make sure you have the night of your life!,"You are immersed in the social cliques and glitterati lifestyle of the inner system elites. You specialize in being the ideal companion, offering witty banter and entertainment and providing for all your client’s wishes and desires. You are more than just a pretty face and good time, however, and are capable of offering your 
client discreet protection from plotting rivals thanks to some judicious bodyguard training and non-standard modifications. Given the constantly shifting allegiances and manipulations of the bored and undying rich, you have even on occasion used your skills to get close to a client in order to eliminate them for a rival.","COG:15, COO:10, INT:15, REF:10, SAV:20, SOM:15, WIL:15, MOX:4, SPD:1","Academics:Anthropology 55, Animal Handling 45, Art: Dancing 60, Art: Erotic Entertainment 70, Art: Singing 60, Beam Weapons 35, Deception 50, Disguise 45, Fray 40, Impersonation 40, In ltration 40, Infosec 35, Interests: Art History 60, Interests: Celebrity Gossip 55, Interests: Social Cliques 65, Kinesics 60, Language: Native French 85, Language: Mandarin 45, Language: Japanese 45, Networking: Autonomists 45, Networking: Firewall 30, Networking: Hypercorps 50, Networking: Media 60, Palming 30, Perception 35, Persuasion 60, Profession: Escorting 55, Protocol 60, Unarmed Combat 60",Pleasure Pod,"COO:5, INT:5, SAV:5, DUR:30","Basic Biomods, Basic Mesh Inserts, Claws, Clean Metabolism, Cortical Stack, Cyberbrain, Enhanced Hearing, Enhanced Pheromones, Implanted Nanotoxins: Necrosis, Mnemonic Augmentation, Sex Switch, Skinflex","Social Stigma:Pod, First Impression, Second Skin",,"Backup Insurance (Budget):1 month, Hither, Orbital Hash:2, Servitor Bot, Smart Rat:2, XP:4",,Claws,Second Skin; Smart Clothing,8500,"c:30,f:40,g:20,i:10"
Titanian Explorer,,EP.176,Drifter,Titanian,"+Alien Contact, +Exploration, +Nano-Ecology",I just finished my analysis of the xenolife amino acids and it’s nothing close to what the Boyle-Cross hypothesis suggested it should be.,"The gates have opened a new frontier to transhumanity and you are ready to step through and face the challenges such opportunities bring. You are a professional gatecrasher, eager to experience new worlds first-hand, despite the dangers—or even because of them. Unlike those who feel that new planets should be protected and preserved, you support colonizing and expanding transhumanity’s presence while maintaining a minimal impact on alien ecosystems. You are also trained in First Contact scenarios and are hopeful of finding new intelligent life—hopefully without sparking some kind of deadly interstellar incident.","COG:15, COO:15, INT:20, REF:15, SAV:15, SOM:20, WIL:10, SPD:1, MOX: 4","Academics: Astrosociology 60, Academics: Astrozoology 55, Academics: Botany 45, Academics: Xenolinguistics 60, Climbing 45, Fray 50, Free Fall 40, Freerunning 60, Hardware: Groundcraft 45, Infiltration 50, Interests: Gatecrashing 60, Interests: Sci-Fi Aliens 45, Investigation 35, Kinesics 30, Kinetic Weapons 45, Language: Native Swedish 85, Language: English 40, Medicine: Paramedic 40, Navigation 60, Networking: Autonomists 55, Networking: Firewall 45, Networking: Scientists 55, Perception 60, Pilot: Groundcraft 45, Pilot: Spacecraft 35, Profession: First Contact 60, Profession: Surveying 45, Profession: Smuggling Tricks 60, Protocol 50, Scrounging 60",Olympian,"COO:5, REF:5, SOM:10, DUR:40","Adrenal Boost, Basic Biomods, Basic Mesh Inserts, Cortical Stack, Direction Sense, Enhanced Vision, Medichines, Oxygen Reserve, Temperature Tolerance",,,"Backup Insurance (Budget):1 month, Breadcrumb Positioning System, Diamond Ax, Electrogravitics Net, Electronic Rope, Knife, Portable Lidar/Radar Sensor System, Radio Booster, Saucer Bot, Shelter Dome, Specimen Container, Spindle with Spindle Climber, Tactical Network Software, Traction Pads, Utilitool ",,Assault Rifle,Smartfabric Vacsuit {Immunogenic System},4150,"@:50,i:20,r:30"
Ultimate Merc,,EP.177,Lunar Colonist,Ultimate,"+Immortality, +Individualism, +Personal Development",Your beliefs blind you to your true potential.,"You are a warrior-philosopher, embracing an ascetic lifestyle for your own personal growth. You decry the hedonism and greed of the inner system and the collectivism and anarchy of the autonomists, but you’re more than will- ing to take their pay so that they may kill each other. You follow your own path, however, and when you cease to learn from an experience or increase your own personal capabilities you will move on to the next. You mostly find employment in the inner system, where various social cliques and hypercorps favor ultimates like yourself, knowing they are less likely to be tempted or subverted by rivals. In the end it doesn’t matter who pays the credit; you’ll take from them, learn from them, and be here long after they’ve destroyed themselves with their petty intrigues and flawed ideologies.","COG:10, COO:20, INT:15, REF:20, SAV:10, SOM:15, WIL:15, SPD:1: MOX:3","Academics: Military Science 60, Academics: Philosophy 60, Beam Weapons 60, Climbing 35, Clubs 50, Fray 65, Free Fall 50, Freerunning 45, Gunnery 45, Hardware: Armorer 50, Infiltration 50, Interests: Literature 50, Interests: Military History 55, Intimidation 35, Kinetic Weapons 60, Language: Native Turkish 80, Language: English 60, Language: German 45, Medicine: Paramedic 40, Networking: Hypercorps 50, Perception 50, Pilot: Groundcraft 30, Profession: Military Ops 55, Profession: Security Ops 50, Profession: Squad Logistics 55, Seeker Weapons 60, SprayWeapons 35, Scrounging 25, Throwing Weapons 40, Unarmed Combat 60",Remade,"COG:10, COO:5, REF:5, SAV:5, SOM:10, DUR:40","Basic Biomods, Basic Mesh Inserts, Circadian Regulation, Clean Metabolism, Cortical Stack, Eidetic, Memory, Enhanced Respiration, Enhanced Vision, Hand Laser, Medichines, Neurachem (Level 1), Temperature Tolerance, Toxin Filters, T-Ray Emitter","Brave, Uncanny Valley",,"Backup Insurance (Budget):1 month, Tactical Network Software",,Particle Beam Bolter; Vibroblade; Rail SMG + AP Ammo; HE Grenade,Body Armor (Heavy) {Refractive Glazing},4450,c:50
Venusian Negotiator,,EP.178,Re-Instantiated,Venusian,"+Fame, +Personal Career, Venusian Sovereignty",It’s time we discussed these rumors of Planetary Consortium interference in Morningstar’s affairs.,"You are known as a communicator and deal-maker, but you are perhaps best described as a social engineer. In an age of mimetic skirmishes, you excel in shaping policy and public opinion. A night- mare combination of marketing agent and political officer, you are adept at media relations, spin control, suppressing dangerous ideas, psychological warfare, ideological purity, and whipping a crowd into a frenzy. Your social manipulation skills work even better face-to-face, where you can run rhetorical circles around opponents and scan body language and microexpressions to spot the slightest hint of untruthfulness or deception. You excel at fostering dissension and fragmenting loyalties, ultimately getting others to do exactly what you want while convincing them it’s in their own best interests.","COG:15, COO:15, INT:15, REF:10, SAV:20, SOM:15, WIL:15, MOX:1, SPD:1","Academics:Memetics 70, Academics: Psychology 60, Academics: Sociology 60, Art: Rhetoric 55, Art: Speech 60, Deception 60, Fray 25, Interests: Cultural Memes 60, Interests: Hypercorps 50, Interests: Inner System Politics 60, Intimidation 50, Investigation 55, Kinesics 70, Language: Native Arabic 85, Networking: Firewall 50, Networking: Hypercorps 50, Networking: Media 60, Perception 45, Persuasion 50, Pilot: Aircraft 20, Pilot: Groundcraft 20, Profession: Culture Jamming 50, Profession: Media Ops 60, Profession: Spin Control 55, Protocol 60, Psychosurgery 45, Research 45",Sylph,"COO:5, SAV:10, WIL:5, DUR:35","Basic Biomods, Basic Mesh Inserts, Clean Metabolism, Cortical Stack, Endocrine Control, Enhanced Pheromones, Medichines, Mnemonic Augmentation, Nanophages","Common Sense, Striking Looks (Level 1)",,"Backup Insurance (Budget):1 month, Facial/Image Recognition Software, Gnat Bot: 4, Servitor Bot, Specs, Tracking Software 
",,,Armor Clothing,5700,"c:80,f:60,i:60"
Anarchist Militia Volunteer,,TH.224,,,,,,,,,,,,,,,,,,
Argonaut Xenolinguist,,TH.224,,,,,,,,,,,,,,,,,,
Carbon Reaver Pirate,,TH.224,,,,,,,,,,,,,,,,,,
Dig Ops Specialist,,TH.224,,,,,,,,,,,,,,,,,,
Enceladan Body Stylist,,TH.224,,,,,,,,,,,,,,,,,,
Extropian Freelance Judge,,TH.224,,,,,,,,,,,,,,,,,,
Flexbot Traceur,,TH.224,,,,,,,,,,,,,,,,,,
Hidden Concern Assassin,,TH.224,,,,,,,,,,,,,,,,,,
Human Impersonator,,TH.224,,,,,,,,,,,,,,,,,,
Jovian Envoy,,TH.224,,,,,,,,,,,,,,,,,,
Machine Hunter,,TH.224,,,,,,,,,,,,,,,,,,
Scum Barge Chemist,,TH.224,,,,,,,,,,,,,,,,,,
Titanian Programmer-Archeologist,,TH.224,,,,,,,,,,,,,,,,,,
Venusian Gargoyle,,TH.224,,,,,,,,,,,,,,,,,,
Ultimate Gatecrasher,,TH.224,,,,,,,,,,,,,,,,,,
Zone Stalker,,TH.224,,,,,,,,,,,,,,,,,,
Direct Action Mercenary,,SW.180,,,,,,,,,,,,,,,,,,
Earth Survivor,,SW.180,,,,,,,,,,,,,,,,,,
Maker Nomad Bot Jammer,,SW.180,,,,,,,,,,,,,,,,,,
Martian Ranger,,SW.180,,,,,,,,,,,,,,,,,,
Mobile Scientist,,SW.180,,,,,,,,,,,,,,,,,,
Oligarch,,SW.180,,,,,,,,,,,,,,,,,,
Oversight Auditor,,SW.180,,,,,,,,,,,,,,,,,,
Scavenger,,SW.180,,,,,,,,,,,,,,,,,,
Siftrunner Techie,,SW.180,,,,,,,,,,,,,,,,,,
Solarian Researcher,,SW.180,,,,,,,,,,,,,,,,,,
Synthmorph Activist,,SW.180,,,,,,,,,,,,,,,,,,
Triad Soldier,,SW.180,,,,,,,,,,,,,,,,,,
Firewall Crow,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Eraser,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Filter,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Register,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Router,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Scanner,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Vector,,FW.185,,,,,,,,,,,,,,,,,,
Firewall Veteran Sentinel,,FW.185,,,,,,,,,,,,,,,,,,
Argonaut Psychosurgeon,,FW.185,,,,,,,,,,,,,,,,,,
Argonaut Reverse Engineer,,FW.185,,,,,,,,,,,,,,,,,,
Exotech Risk Specialist,,FW.185,,,,,,,,,,,,,,,,,,
Hypercorp First-Contact Specialist,,FW.185,,,,,,,,,,,,,,,,,,
Insurgent Reclaimer,,FW.185,,,,,,,,,,,,,,,,,,
Jovian Beat Scientist,,FW.185,,,,,,,,,,,,,,,,,,
Titanian Science Police Inspector,,FW.185,,,,,,,,,,,,,,,,,,
Ultimate Purifier,,FW.185,,,,,,,,,,,,,,,,,,
Anthony Gilotti,,,,,,,,,,,,,,,,,,,,
Caleb Reis,,,,,,,,,,,,,,,,,,,,
Miriam Wiley,,,,,,,,,,,,,,,,,,,,
Dora Mendoza,,MYE.22,,,,,,,,,,,,,,,,,,
Li Miulin,,MYE.23,,,,,,,,,,,,,,,,,,
Massimo Rossi,,MYE.24,,,,,,,,,,,,,,,,,,
Snorri Guthmansson,,MYE.25,,,,,,,,,,,,,,,,,,
Ushma Gavaskar,,MYE.26,,,,,,,,,,,,,,,,,,
Vastian,,MYE.27,,,,,,,,,,,,,,,,,,
Ahmir Sektioui,,MWMD,,,,,,,,,,,,,,,,,,
Elis Menezes,,MWMD,,,,,,,,,,,,,,,,,,
Gavin Gladwell,,MWMD,,,,,,,,,,,,,,,,,,
Zora Möller,,MWMD,,,,,,,,,,,,,,,,,,
