name,Name,Description,Special Effect
Whiplash,Larger Variant,"As above, but with SOM 25, Unarmed Combat 50 (Subdual 60), Large Size trait (+10 to hit), DUR 45, WT 9, DR 68",
Vydra,Frenzy,"If a vydra smells or tastes blood, it will enter into a murderous frenzy. Increase REF and Fray by +10, and the vydra can ignore the effects of 2 wounds. This effect lasts until the vydra has no more prey to kill in the immediate vicinity and it has gorged on its victim(s).",
Void Crawler,Gravity Sensitivity,"In gravity higher than 0.1 g, treat void crawlers as suffering from the effects of 1 wound. In gravity higher than 0.3 g, treat this as 2 wounds and reduce their Movement Rate by half. At 0.5 g and higher, they suffer DV 2 per minute and are effectively incapacitated.",
Void Crawler,Light Sensitivity,"Void crawlers are adapted to dim light. Extremely bright lights blind them, inflicting a −10 modifier or more.",
Void Crawler,Mindlink,Void crawlers remain mindlinked when within 15 meters of one other (and to others through each other).,
Veiled Leech,Pounce,"Veiled leeches often attack with surprise (no defense). On its next action, the leech will bite with mouth suckers, inflicting DV 1d10 ÷ 2 (no defense, round down) and injecting sucker toxin (see below). Leeches will continue to suck blood and fluids for 1d10 + 4 Action Turns, inflicting DV 3 (no defense) each turn.",
Veiled Leech,Sucker Toxin,"Injected, Onset: Immediate, Duration: 1 hour (30 minutes with medichines). Victims must make a SOM x 3 Test or fall unconscious. Those awake still suffer steep docility and lethargy; they must pass a WIL x 2 Test to take any action, and all actions suffer a −30 modifier.",
Think Tank,Deflectors,"Think tanks are equipped with supercapacitors embedded within their armor that release a massive charge at the area pinpointed by an attack, creating a temporary, huge, electromagnetic force field that repels or destroys incoming projectiles. This provides a −30 modifier to hit the tank, but only against kinetic weapon and seeker attacks that the think tank has detected. These deflectors have 20 uses before they must be recharged, which takes 2 hours.",
Stinger Hound,Camouflage,Stinger hounds that remain still and crouched under their shell receive a +30 to Infiltration Tests to hide.,
Stalker,Infrasonic Emitter,"All biomorphs within 30 meters must make a SOM Test or be nauseated and disoriented, suffering −30 to all actions for 1 minute. This test must be taken again if exposed for more than a minute. Additionally, for each full minute a biomorph is exposed (nauseated or not), they suffer DV 1d10 + 2, no defense. This effect works through walls, ground, and water, but not vacuum.",
Snapper,Armored Variant,"Heavy Armor (+16/+16), Offensive Armor Mod (shock effect; p. 204, EP), Self-Healing Armor Mod, 2 Weapon Mounts (External, Articulated) with twin Railgun Machine Guns (DV 2d10 + 8, AP −9, BF/FA, Ammo 500)",
Slouch,Self-Destruct,"Slouches carry a small plasma magnetic bottle that will detonate when they take more than 75 points of damage or if anyone attempts to open up or otherwise tamper with a disabled slouch. This explosion inflicts DV 5d10 + 16, AP −6, blast area effect, and will completely destroy the slouch.",
Slouch,Bessel Beam Turret,"This device functions like a tractor/repulsor beam. Struck targets are pushed either directly towards or away from the slouch. The distance moved depends on the target’s size: very small, 20 meters; small: 10 meters; medium: 5 meters; large: 1 meter, very large: unaffected. Struck targets are trapped by the beam and must make a SOM Test to escape its grasp or they will continue to be attracted/repelled each Action Turn. Max Range 500. These turrets have 20 turns of use and take 4 hours to recharge.",
Skrik,Bioware,"Skriks will have the same bioware as their exsurgent parent, but not cyberware or nanoware. Some skriks will have mutations such as Claws, Extra Limbs, Poison Gland, etc.",
Skrik,Swarm Tactics,"A large number of skriks (50+) will attack as a swarm. Use the rules for (Swarms, p. 168), with a Durability of 80. ",
Skitter,Microswarm,"Skitters follow the rules for (Swarms, p. 168). Stats given are for a standard swarm unit, not individual microbots.",
Skitter,Jam Radio,"Radios and radar suffers interference, imposing a –30 modifier on all sensor-related tests. Targets may attempt to overcome this interference by beating the skitter in an Opposed Interface Test.",
Skitter,Blinding Lasers,"Skitter swarms may deploy lasers to blind cameras much like a dazzler (p. 316, EP). 
These lasers will blind characters as well for 1 minute unless they make a REF x 3 Test. Anti-glare cyberware protects against blinding.",
Skitter,Sabotage,"DV 1d10 each Action Turn (no defense, armor applies but is reduced) to all synthmorphs and non-biological devices touched by and targeted by the swarm.",
Shifter,Mimicry,"Succeeds with an Opposed Impersonation vs. Kinesics Test. The synthetic nature of mimicked biomorphs is obvious with t-rays or physical contact, or an enhanced vision/radar Perception Test at −30.",
Shifter,Mimicry,"Shifters change form in half the timeframe of transhuman tech and can create complex, mechanical forms such as firearms or implants.",
Puppet Elite Agent,Basilisk Hack,"Deployed via augmented reality. See Basilisk Hacks, p. 365, EP.",
Ny’knikiin,Ny’knikiin software,"Ny’knikiin software is radically different from transhuman designs. Attempts to use or subvert ny’knikiin gear require extensive study (timeframe: 1 week)and suffer a −30 modifier. Ny’knikiin hackers are common and have software comparable to transhuman equivalents, but are at a similar disadvantage working with transhuman systems.",
Mantis Worm,Acid Plume,"Threatened swarms release a plume of acid in the water, extending 5 meters around the swarm. Anyone caught in this plume suffers DV 1d10 ÷ 2 each turn and must make a SOM x 2 Test or flee (negated by Pain Tolerance).",
Guardian Brute,Intimidating,Brutes receive a +20 modifier on Intimidation Tests.,
Guardian Brute,Decoy Weapons,"Brutes are sometimes equipped or implanted with obvious but fake heavy weapons systems, such as seekers or plasma rifles. These may be spotted as fake with a Perception Test at −30.",
Guardian Brute,Bullet Magnet,Brutes are modified to soak as much damage as possible. They may ignore the effects of 2 wounds.,
Guardian Spider Head,Volatile,Any damaging hit on a spider bot has a (20 + DV inflicted)% chance of setting off the explosives it carries.,
Leftover Special Snack Bar,Flesh Regeneration,Snack bars regenerate 1d10 damage or 1 wound per hour; all damage must be healed before wounds.,
