name,based_on,book,background,faction,motivations,quote,description,ego_stats,skills,morph_type,morph_stats,augmentations,traits,sleights,gear,equipped,credits,rep,rez,damage,wounds,stress,trauma,derangements
Mercurial Scavenger,,EP.173,Uplift (Octopus),Mercurial,"+Exploration, +Reclaiming Earth, +Uplift Rights","Maybe it’s the kind of trap that would catch a knuckle-dragging monkey, but my superior physiology was able to easily squeeze out of it.","You may be an “uplift,” but you find it hard not to feel sorry for these modified monkeys around you who have to get by with half as many limbs, gaping sensory blind spots, and brittle bones that are constantly breaking. Any favors they did by uplifting octopus-kind were rendered moot when they succeeded in despoiling and abandoning the home planet you all shared. Nevertheless, you find all the ruins 
and derelict habitats left behind by transhumanity to be fascinating to explore, so you spend much of your time combing through spacecraft hulls and shattered stations, look- ing for curiosities and lost treasures. Such activities tend to take you close to Earth as well, where you support the efforts of those who hope to take the planet back. Your ultimate dream is to someday swim in the oceans of your ancestors.",,,Octomorph,,"Basic Biomods, Basic Mesh Inserts, Chameleon Skin, Cortical Stack, Direction Sense, Echolocation, Electrical Sense, Enhanced Vision, Grip Pads, Medichines, Oracles, Radiation Sense","Ambidextrous:2x, Limber (Level 2), 360 Degree Vision, Limbs:8 Tentacles",,"Backup Insurance (Budget):1 month, Breadcrumb Positioning System, Disassembly Tools, Mobile Lab, Muse, Nano- detector, Radio Booster, Shel- ter dome, Specimen Container, Superthermite Charge, Tactical Network Software, Vacsuit (Standard), X-Ray Emitter, Octopus Beak, Ink Attack, Crash Suit, Chameleon Coating, Medium Pistol",,400,"@:20,c:20,e:40,g:40,i:20",,,,,,
Scum Enforcer,,EP.174,Scumborn,Scum,"+Adventure, +Hedonism, +Morphological Freedom","Oi! Pretty boy! If that’s the best punch you can throw, then you’re never gonna get to see the rest of my mods!","Those jokers in the inner system just don’t get it—the future is about taking life by the enhanced reproductive organs and squeezing every juicy drop out. You live the life you want to live, doing whatever you like to your bodies and mind, and you plan to enjoy the hell out of it until maybe you get to watch the universe end. Right now, you get your kicks with action, either the violent or kinky kind—sometimes both. You thrive as a tough chick who will smack the hell out of anyone who threatens your friends or clients during the day, but the real fun is taking home a different partner every night",,,Fury,,"Basic Biomods, Basic Mesh Inserts, Bioweave Armor (Light), Cortical Stack, Cyberclaws, Enhanced Vision, Medichines, Neurachem (Level 1), Toxin Filters",Minor Addiction:Alcohol,,"Body Armor (Heavy), Offensive Armor, Shock Proof, Medium Pistol, Backup Insurance (Budget):1 month, Cuffband, Kick (2 doses), Kinetic SMG (100 rounds regular ammo), Monofilament Sword, Muse, Nanobandages (5), Shock Gloves, Tactical Network Software, Wasp Knife",,1000,"2:60,c:40",,,,,,
Socialite Escort,,EP.175,Hyperelite,Socialite,"+Hedonism, +Hypercapitalism, +Personal Career",I’m just here to make sure you have the night of your life!,"You are immersed in the social cliques and glitterati lifestyle of the inner system elites. You specialize in being the ideal companion, offering witty banter and entertainment and providing for all your client’s wishes and desires. You are more than just a pretty face and good time, however, and are capable of offering your 
client discreet protection from plotting rivals thanks to some judicious bodyguard training and non-standard modifications. Given the constantly shifting allegiances and manipulations of the bored and undying rich, you have even on occasion used your skills to get close to a client in order to eliminate them for a rival.",,,Pleasure Pod,,"Basic Biomods, Basic Mesh Inserts, Claws, Clean Metabolism, Cortical Stack, Cyberbrain, Enhanced Hearing, Enhanced Pheromones, Implanted Nanotoxins: Necrosis, Mnemonic Augmentation, Sex Switch, Skinflex","Social Stigma:Pod, First Impression, Second Skin",,"Backup Insurance (Budget):1 month, Hither, Muse, Orbital Hash:2, Servitor Bot, Smart Clothing, Smart Rats:2, XP Clips:4",,8500,"c:30,f:40,g:20,i:10",,,,,,
Titanian Explorer,,EP.176,Drifter,Titanian,"+Alien Contact, +Exploration, +Nano-Ecology",I just finished my analysis of the xenolife amino acids and it’s nothing close to what the Boyle-Cross hypothesis suggested it should be.,"The gates have opened a new frontier to transhumanity and you are ready to step through and face the challenges such opportunities bring. You are a professional gatecrasher, eager to experience new worlds first-hand, despite the dangers—or even because of them. Unlike those who feel that new planets should be protected and preserved, you support colonizing and expanding transhumanity’s presence while maintaining a minimal impact on alien ecosystems. You are also trained in First Contact scenarios and are hopeful of finding new intelligent life—hopefully without sparking some kind of deadly interstellar incident.",,,Olympian,,"Adrenal Boost, Basic Biomods, Basic Mesh Inserts, Cortical Stack, Direction Sense, Enhanced Vision, Medichines, Oxygen Reserve, Temperature Tolerance",,,"Vacsuit (Standard Smartfabric), Immunogenic System, Assault 
Rifle, Backup Insurance (Budget):1 month, Breadcrumb Positioning System, Diamond Ax, Electrogravitics Net, Electronic Rope, Knife, Portable Lidar/Radar Sensor System, Radio Booster, Saucer Bot, Shelter Dome, Specimen Container, Spindle with Spindle Climber, Tactical Network Soft- ware, Traction Pads, Utilitool ",,4150,"@:50,i:20,r:30",,,,,,
Ultimate Merc,,EP.177,Lunar Colonist,Ultimate,"+Immortality, +Individualism, +Personal Development",Your beliefs blind you to your true potential.,"You are a warrior-philosopher, embracing an ascetic lifestyle for your own personal growth. You decry the hedonism and greed of the inner system and the collectivism and anarchy of the autonomists, but you’re more than will- ing to take their pay so that they may kill each other. You follow your own path, however, and when you cease to learn from an experience or increase your own personal capabilities you will move on to the next. You mostly find employment in the inner system, where various social cliques and hypercorps favor ultimates like yourself, knowing they are less likely to be tempted or subverted by rivals. In the end it doesn’t matter who pays the credit; you’ll take from them, learn from them, and be here long after they’ve destroyed themselves with their petty intrigues and flawed ideologies.",,,Remade,,"Basic Biomods, Basic Mesh Inserts, Circadian Regulation, Clean Metabolism, Cortical Stack, Eidetic, Memory, Enhanced Respiration, Enhanced Vision, Hand Laser, Medichines, Neurachem (Level 1), Temperature Tolerance, Toxin Filters, T-Ray Emitter","Brave, Uncanny Valley",,"Backup Insurance (Budget):1 month, HE Grenades:10, Muse, Particle Beam Bolter, Tactical Network Software, Vibroblade, Body Armor (Heavy), Refractive Glazing, Railgun SMG, Armor-Piercing:100",,4450,c:50,,,,,,
Venusian Negotiator,,EP.178,Re-Instantiated,Venusian,"+Fame, +Personal Career, Venusian Sovereignty",It’s time we discussed these rumors of Planetary Consortium interference in Morningstar’s affairs.,"You are known as a communicator and deal-maker, but you are perhaps best described as a social engineer. In an age of mimetic skirmishes, you excel in shaping policy and public opinion. A night- mare combination of marketing agent and political officer, you are adept at media relations, spin control, suppressing dangerous ideas, psychological warfare, ideological purity, and whipping a crowd into a frenzy. Your social manipulation skills work even better face-to-face, where you can run rhetorical circles around opponents and scan body language and microexpressions to spot the slightest hint of untruthfulness or deception. You excel at fostering dissension and fragmenting loyalties, ultimately getting others to do exactly what you want while convincing them it’s in their own best interests.",,,Sylph,,"Basic Biomods, Basic Mesh Inserts, Clean Metabolism, Cortical Stack, Endocrine Control, Enhanced Pheromones, Medichines, Mnemonic Augmentation, Nanophages","Common Sense, Striking Looks (Level 1)",,"Armor Clothing, Backup Insurance (Budget):1 month, Facial/Image Recognition Software, Gnat Bot: 4, Muse, Servitor Bot, Specs, Tracking Software 
",,5700,"c:80,f:60,i:60",,,,,,
Anarchist Militia Volunteer,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Argonaut Xenolinguist,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Carbon Reaver Pirate,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Dig Ops Specialist,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Enceladan Body Stylist,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Extropian Freelance Judge,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Flexbot Traceur,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Hidden Concern Assassin,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Human Impersonator,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Jovian Envoy,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Machine Hunter,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Scum Barge Chemist,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Titanian Programmer-Archeologist,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Venusian Gargoyle,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Ultimate Gatecrasher,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Zon Stalker,,TH.224,,,,,,,,,,,,,,,,,,,,,,
Direct Action Mercenary,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Earth Survivor,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Maker Nomad Bot Jammer,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Martian Ranger,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Mobile Scientist,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Oligarch,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Oversight Auditor,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Scavenger,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Siftrunner Techie,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Solarian Researcher,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Synthmorph Activist,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Triad Soldier,,SW.180,,,,,,,,,,,,,,,,,,,,,,
Firewall Crow,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Eraser,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Filter,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Register,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Router,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Scanner,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Vector,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Firewall Veteran Sentinel,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Argonaut Psychosurgeon,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Argonaut Reverse Engineer,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Exotech Risk Specialist,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Hypercorp First-Contact Specialist,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Insurgent Reclaimer,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Jovian CBeat Scientist,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Titanian Science Police Inspector,,FW.185,,,,,,,,,,,,,,,,,,,,,,
Ultimate Purifier,,FW.185,,,,,,,,,,,,,,,,,,,,,,
