Title,Level,Type,Action,Range,Duration,Strain,Skill,Description,Source,Page
Multitasking,Chi,Passive,Automatic,Self,Constant,,,The async can handle vast amounts of information without overload and can perform more than one mental task at once. The character receives an extra Complex Action each Action Phase that may only be used for mental or mesh actions.,,
Pattern Recognition,Chi,Passive,Automatic,Self,Constant,,,"""The character is adept at spotting patterns and correlating the non-random elements of a jumble""""related items jump out at them. This is useful for translating languages, breaking codes, or find clues hidden among massive amounts of data. The character must have a sufficiently large sample enough time to study, as determined by the gamemaster. This might range from a few hours of listening to a spoken transhuman language to a few days of investigating inscriptions left by long-dead aliens to a week or more of researching a lengthy cipher. Languages may be comprehended by reading or listening to them being spoken. Apply a +20 modifier to any appropriate Language, Investigation, Research, or code-breaking Tests (note that this does not apply to Infosec Tests made by software to decrypt a code). The async may also use this ability to more easily learn new languages, reducing the training time by half.""",,
Predictive Boost,Chi,Passive,Automatic,Self,Constant,,,"The Bayesian probability machine features of the async's brain are boosted by this sleight, enhancing their ability to estimate and predict outcomes of events around them as they unfold in real-time and update those predictions as information changes. In effect, the character has a more intuitive sense for which outcomes are most likely. This grants the character a +10 bonus on any skill tests that involve predicting the outcome of events. It also bolsters the async's decision-making in combat situations by making the best course of action more clear, and so provides a +10 bonus to both Initiative and Fray Tests.",,
Qualia,Chi,Active,Quick,Self,Temp (Action Turns),(1d10 / 2) - 1,,"The async can temporarily increase their intuitive grasp of things. In game terms, Intuition is raised by 5 for the chosen duration. This boost to Intuition also raises the rating of skills linked to that aptitude.",,
Savant Calculation,Chi,Passive,Automatic,Self,Constant,,,"The character possesses an incredible facility with intuitive mathematics. They can do everything from calculate the odds exactly when gambling to predicting precisely where a leaf falling from a tree will land by observing the landscape and local wind currents. The character specializes in calculation involving the activity of complex chaotic systems and so can calculate answers that even the fastest computers could not, including things like patterns of rubble distribution from an explosion. However, this mathematic facility is largely intuitive, so the character does not know the equations they are solving, they merely know the solution to the problem. This sleight also provides a +30 modifier to any skill tests involving math (which the character is calculating, not a computer).",,
Sensory Boost,Chi,Active,Quick,Self,Temp (Action Turns),(1d10 / 2) - 2,,"An async uses this sleight to increase their natural or augmented sensory perception (sight, audio, smell, augmented) by enhanced cerebral processing, granting a +20 bonus modifier on sensory-based Perception Tests.",,
Superior Kinesics,Chi,Passive,Automatic,Self,Constant,,,"The async acquires more insight into people's emotive signals, gestures, facial expressions, and body language when it comes time to predict the person's emotional state, intent, or reactions. Apply a +10 modifier to Kinesics Skill Tests.",,
Time Sense,Chi,Active,Automatic,Self,Temp (Action Turns),(1d10 / 2) - 1,,"An async with this ability can slow down his perception of time, making everything appear to move in slow motion or at reduced speed. In game terms, this sleight grants the async a Speed of +1. This extra Action Phase, however, can only be spent on mental and mesh actions.",,
Unconscious Lead,Chi,Active,Automatic,Self,Temp (Action Turns),(1d10 / 2) - 1,,"This sleight allows the async to override their consciousness and let their unconscious mind take point. While in this state, the async's conscious mind is only dimly aware of what is transgressing, and any memories of this period will be hazy at best. The advantage is that the unconscious mind acts more quickly, and so the async's Speed is boosted by +1. The character remains aware and active, but is incapable of complex communication or other mental actions and is motivated by instinct and primitive urges more than conscious thought. Though it is recommended that the player retain control of their character while using Unconscious Lead, the gamemaster should feel free to direct the character's actions as they see fit.",,
Alienation,Gamma,Active,Complex,Touch,Temp (Action Turns),1d10 / 2,Psi Assault,"Alienation is an offensive sleight that create a sense of disconnection between an ego and its morphsimilar to that experienced when resleeved into a new body. The ego finds their body cumbersome, strange, and alien, almost like they are a prisoner within it. If the async beats the target in an Opposed Test, treat the test as a failed Integration Test for the target. This effect lasts for the sleights duration.",,
Charisma,Gamma,Active,Quick,Touch,Temp (Minutes),(1d10 / 2) - 1,Control,"The async uses this sleight to influence the target's mind on a subconscious level, so that the target perceives them to be charming, magnetic, and persuasive. If the async beats the target in an Opposed Test, they gain a +30 modifier on all subsequent Social Skill Tests for the chosen duration.",,
Cloud Memory,Gamma,Active,Complex,Touch,Temp (Minutes),(1d10 / 2) - 1,Control,"Cloud Memory allows the async to temporarily disrupt the target's ability to form long-term memories. If the async wins the Opposed Test, the target's memory-saving ability is negated for the duration. The target will retain short-term memories during this time, but will soon forget anything that occurred while this sleight was in effect.",,
Deep Scan,Gamma,Active,Complex,Touch,Sustained,(1d10 / 2) + 1,Sense,"Deep Scan is a more intrusive version of Thought Browse (See Below), made to extract information from the targeted individual. If the Opposed Test succeeds, the async telepathically invades the target's mind and can probe it for information. For every 10 full points of MoS the async achieves on their test, they retrieve one piece of information. Each item takes one full Action Turn to retrieve, during which the sleight must be sustained. The target is aware of this mental probing, though they will not know what information the async acquired.",,
Drive Emotion,Gamma,Active,Complex,Touch,Temp (Action Turns),(1d10 / 2) - 1,Control,"This sleight allows the async to stimulate cortical areas of the target's brain related to emotion. This allows the async to induce, amplify, or tone down specific emotions, thereby manipulating the target. If the async beats the target in an Opposed Test, they will act in accordance with the emotion for the duration and under certain circumstances may suffer from certain penalties (up to +/-30), as determined by the gamemaster. For example, an async might receive a +30 Intimidation Test modifier against a target imbued with fear.",,
Ego Sense,Gamma,Active,Complex,Close,Temp (Action Turns),(1d10 / 2) - 1,Sense,"Ego Sense can be used to detect the presence and location of other sentient and biological life forms (i.e., egos) within the async's range. To detect these life forms, the async makes a single Sense Test, opposed by each life form within range. The async may suffer a modifier for detecting small animals and insects, similar to the modifier applied for targeting them in ranged combat; likewise, a modifier for detecting larger life forms may also be applied. If successful, the async has detected that the life form is nearby. Every 10 full points of MoS will ascertain another piece of information regarding the detected life: direction from async, approximate size, type of creature, distance from async, etc. The async will know if the target moves, if they do so during the sleight's duration.",,
Emathetic Scan,Gamma,Active,Quick,Close,Sustained,(1d10 / 2) - 2,Sense,"Empathic Scan enables the async to sense the target's base emotions. If the async wins the Opposed Test, they intuitively feel the target's emotional current state for as long as the sleight is sustained. At the gamemaster's discretion, this knowledge may provide a modifier (up to +30) for certain Social skill tests.",,
Implant Memory,Gamma,Active,Complex,Touch,Instant,1d10 / 2,Control,"""An async using this sleight can implant a memory of up to an hour's length inside the target's mind. This memory very obviously does not belong to the target""""there is no way they will confuse it for one of their own. The intent is not to fake memories, but to place one of the async's memories in the target's mind so that the target can access it just like any other memory. This can be useful for """"archiving"""" important data with an ally, providing a literal alternate perspective, or simply making a """"data dump"""" for the target to peruse. Implant Memory requires an Opposed Test against unwilling participants. At the gamemaster's discretion, particularly traumatic memories might inflict mental stress on the recipient.""",,
Implant Skill,Gamma,Active,Complex,Touch,Temp (Action Turns),1d10 / 2,Control,"Similar to Implant Memory, this sleight allows the async to impart some of their expertise and implant it into the target's mind. For the duration of the sleight, the target benefits when using that skill. If the async's skill is between 31 and 60, the target receives a +10 bonus. If the async's skill is 61+, the target receives a +20 bonus. Implant Skill requires an Opposed Test against unwilling participants. In some cases, the target has been known to use the skill with the async's flair and mannerisms.",,
Mimic,Gamma,Active,Quick,Close,Instant,1d10 / 2,Sense,"""In a setting where changing your body and face is not unusual, people learn to recognize habits and personality quirks more often. The async must use this sleight on a target and succeed in a Success Test. If successful, the async acquires an """"imprint"""" of the target's mind that they can take advantage of when impersonating that ego. The async then receives a +30 bonus on Impersonation Tests when mimicking the target's behavior and social cues.""",,
Mindlink,Gamma,Active,Quick,Touch,Sustained,(1d10 / 2) + (1 per target past first),Control,"""Mindlink allows two-way mental communication with a target. This may be used on more than one target simultaneously, in which case the async can act as a telepathic """"server,"""" so that everyone mindlinked with the async may also telepathically communicate with each other (via the async, however, so they overhear). Language is still a factor in mindlinked communications, but this barrier may be overcome by transmitting sounds, images, emotions, and other sensations. Mindlink requires an Opposed Test against unwilling participants.""",,
Omni Awareness,Gamma,Active,Quick,Close,Temp (Minutes),(1d10 / 2) - 1,Sense,"An async with Omni Awareness is hypersensitive to other biological life that is observing them. During this sleight's duration, the async makes a Sense Test that is opposed by any life that has focused their attention on them within the sleight's range; if successful, the async knows they are being watched, but not by whom or what. It does, however, apply a +30 Perception bonus to spot the observer. This sleight does not register partial attention or fleeting attention, or simple perception of the async, it only notices targets who are actively observing (even if they are concealing their observation). This sleight is effective in spotting a tail, as well as finding potential mates in a bar.",,
Penetration,Gamma,Active,Quick,Touch,Instant,"(1d10 / 2) + (1 /  AP, max 10)",Psi Assault,Penetration is a sleight that works in conjunction with any offensive sleight that involves the Psi Assault skill. It allows the async to penetrate the Psi Shield of an opponent by concentrating their psi attack. Every point of Armor Penetration applied to a psi attack inflicts 1 point of strain. The maximum AP that may be applied equals the async's Psi Assault skill divided by 10 (round down).,,
Psi Shield,Gamma,Passive,Automatic,Self,Constant,,,"Psi Shield bolsters the async's mind to psi attack and manipulation. If the async is hit by a psi attack, they receive WIL / 5 (round up) points of armor, reducing the amount of damage inflicted. They also receive a +10 modifier when resisting any other sleights.",,
Psychic Stab,Gamma,Active,Complex,Touch,Instant,1d10 / 2,Psi Assault,"Psychic Stab is an offensive sleight that seeks to inflict physical damage on the target's brain and nervous system. Each successful attack inflicts 1d10 + (WIL / 10, round up) damage. Increase the damage by +5 if an Excellent Success is scored.",,
Scramble,Gamma,Passive,Automatic,Self,Constant,,,Scramble allows the async using the sleight to hide from another async using the Ego Sense or Omni Awareness sleights. Apply a +30 modifier to the defending async's Opposed Test.,,
Sense Block,Gamma,Active,Complex,Touch,Temp (Action Turns),(1d10 / 2) - 1,Psi Assault,"Sense Block disables and short circuits one of the target's sensory cortices (chosen by the async), interfering with and possibly negating a specific source of sensory input for the chosen duration. If the async beats the target in the Opposed Test, the target suffers a -30 modifier to Perception Tests with that sense equal (doubled to -60 if the async scores an Excellent Success).",,
Spam,Gamma,Active,Complex,Touch,Temp (Action Turns),1d10 / 2,Psi Assault,"The sleight allows the async to overload and flood one of the target's sensory cortices (chosen by the async), spamming them with confusing and distracting sensory input and thereby impairing them. If the async wins the Opposed Test, the target suffers a -10 modifier to all tests the duration of the sleight (doubled to -20 if the async scores an Excellent Success).",,
Static,Gamma,Active,Complex,Close,Sustained,1d10 / 2,Sense,"The async generates an anti-psi jamming field, impeding any use of ranged sleights within their range. All such ranged sleights suffer a -30 modifier. This sleight has no effect on self or touch-range sleights.",,
Subliminal,Gamma,Active,Complex,Touch,Instant,(1d10 / 2) + 2,Control,"The Subliminal sleight allows the async to influence the train of thought of another person by implementing a single post-hypnotic suggestion into the mind of the target. If the async wins the Opposed Test, the recipient will carry out this suggestion as if it was their own idea. Implanted suggestions must be short and simple; as a rule of thumb, the gamemaster may only accept suggestions encompassed by a short sentence (for example: ""open the airlock,"" or ""hand over the weapon""). At the gamemaster's discretion, the target may receive a bonus for resisting suggestions that are immediately life threatening (""""jump off the bridge"""") or that violate their motivations or personal strictures. Suggestions do not need to be carried out immediately, they may be implanted with a short trigger condition (""when the alarm goes off, ignore it"").",,
Thought Browse,Gamma,Active,Complex,Touch,Sustained,(1d10 / 2) - 1,Sense,"Thought Browse is a less-intrusive form of mind reading which scans the target's surface thoughts for certain “keywords"" like a particular word, phrase, sound, or image chosen by the async. Rather than digging through the target's ego as with the Deep Scan sleight, Thought Browse merely verifies whether a target has a particular person, place, event, or thing in mind, which can be used by a savvy investigator to draw conclusions without the need to invade the mind directly. Thought Browse may be sustained, allowing the async to continue scanning the target's thoughts over time. The async must beat the target in an Opposed Test for each scanned item.",,
Anti-Electronics Field,Epsilon,Active,Complex,Close,Sustained,0,Psi Assault,All electronics within Close range of the exsurgent mysteriously fail as if electrical power is simply negated. This effectively disables synthmorphs and pods and leaves other characters without access to their devices or implants.,,
Casimir Force Repulsion,Epsilon,Active,Complex,Close,Sustained,0,Psi Assault,"This sleight exploits the Casimir effect (an interaction between the electromagnetic  elds of different objects) on a macro-scale, allowing the exsurgent to levitate themself or other objects by creating repulsing  elds. This could also allow the exsurgent to push targets away, pin them against walls, etc.",,
Cryokinesis,Epsilon,Active,Complex,Close,Temp (Action Turns),0,Psi Assault,"This sleight allows the exsurgent to drain all heat from an area, down to absolute zero, effectively freezing everything within range and in icting cold damage on unprotected characters.",,
Diffusion,Epsilon,Active,Complex,Close,Instant,0,Psi Assault,"This sleight diffuses light, laser, and particle beams, effectively making them useless as weapons, or at least impairing the DV they in ict.",,
Kinetic Friction,Epsilon,Active,Complex,Close,Instant,0,Psi Assault,"The exsurgent uses this sleight to increase the fric- tion applied to kinetic activities. This has a negligible effect on most activities, but high-velocity projectiles like  rearms and railguns will be signi cantly slowed, decreasing their DV by half or more.",,
Matter Transformation,Epsilon,Active,Complex,Close,Sustained,0,Psi Assault,"This sleight alters the molecular bonds and atomic components of a targeted material, causing it to either weaken and deteriorate or transmutate into some other physical substance. This can also be used to alter the molecular state of a material, causing gases to condense, solids to liquefy, etc. An exsurgent could use this to weaken a door or other barrier, condense a solid bridge out of liquid, petrify organic materials, etc.",,
Negative Refraction,Epsilon,Active,Complex,Self,Sustained,0,Psi Assault,"The exsurgent redirects electromagnetic waves with this sleight, refracting them around their body, with the same effect as the invisibility cloak (p. 316).",,
Pyrokinesis,Epsilon,Active,Complex,Close,,0,Psi Assault,"Similar to cryokinesis, this sleight enables the exsurgent to accelerate the molecules, increase friction, or focus heat in a specific area, causing materials to ignite or smolder.",,
Decerebration,Gamma,Active,Complex,Touch,Temp (Action Turns),(1d10 / 2) + 2,Psi Assault,"This sleight temporarily “shorts out” a portion of the subject’s brain stem. The victim’s cerebral functions and motor activity become severely impaired; apply a –30 modi er to all actions. If an Excellent Success is scored, the target effectively loses all cerebral functioning, including vision, hearing, other sensory functions, and mesh use. Their muscles and limbs also tense and become rigid, essentially paralyzing them in what looks like an agonized state.",,
Onslaught,Gamma,Active,Complex,Touch,Temp (Action Turns),1d10 / 2,Psi Assault,"This offensive sleight floods the target’s mind with sensory input and thought processes that are so alien and disturbing that they inflict 1d10 + (WIL ÷ 10, round up) mental stress. Increase the stress by +5 if an Excellent Success is scored. 
",,
Scenario,Gamma,Active,Complex,Touch,Sustained,(1d10 / 2) + 2,Control,"This sleight hijacks the target’s sensorium, replacing it with a virtual scenario controlled by the exsurgent. The effect is much like being jacked into a simulspace scenario, albeit against the target’s will. While the exsurgent cannot harm the target in the scenario, they can learn something about the person’s behavioral responses to certain situations. While under the influence of this sleight, the target is cut off from their physical senses (–60 to any Perception Tests), but they may  ail about and otherwise respond physically to events in the scenario, which may cause them to hurt themselves and will make them seem crazy to onlookers. Targets may attempt to ignore the scenario and concentrate on the real world, but this requires a WIL Test each Action Turn and they suffer a –30 modi er from disorientation even if they succeed.",,
Strip Memory/Skill,Gamma,Active,Complex,Touch,Temp (Minutes),(1d10 / 2) + 2,Psi Assault,"Strip allows the exsurgent to suppress certain memories in the target’s mind. This can be used to block memories of certain events or even the victim’s identity. The process is not exact, however, and so the memories may not be fully suppressed and/or related memories may also be blocked; the gamemaster decides on the effect as determined by the MoS. Strip can also be used to temporarily erase a specific skill from the target’s mind, preventing them from using or even defaulting to that ability while so affected.",,
