Title,Parent,Plural,Icon,Description,Source
Kinetic Weapon,Weapon,Kinetic Weapons,,,EP
Beam Weapon,Weapon,Beam Weapons,,,EP
Seeker,Weapon,Seekers,,,EP
Grenade / Seeker,Weapon,Grenades and Seekers,,,EP
Ammunition,Weapon,Ammunition,,,
Spray Weapon,Weapon,Spray Weapons,,,EP
Exotic Ranged Weapon,Weapon,Exotic Ranged Weapons,,,EP
Weapon Accessory,Weapon,Weapon Accessories,,,EP
Robot / Vehicle,,Robots and Vehicles,,"The following is a small selection of the many vehicles in use in the solar system. Almost all of the vehicles in current use, including all of the vehicles listed here, have built-in AIs capable of piloting the vehicle under almost all circumstances. In most cases, passengers simply state their destination and the vehicle takes them there. Manual piloting is primarily used in emergencies or by people who prefer the exotic thrill of controlling their own vehicle.",EP
Aircraft,Robot / Vehicle,Aircraft,,,EP
Exoskeletons,Robot / Vehicle,Exoskeletons,,,EP
Groundcraft,Robot / Vehicle,Groundcraft,,,EP
Personal Vehicle,Robot / Vehicle,Personal Vehicles,,,EP
Robot,Robot / Vehicle,Robots,,,EP
Spacecraft,Robot / Vehicle,Spacecraft,,,EP
Morph,,Morphs,,,EP
Biomorph,Morph,Biomorphs,,"Biomorphs are fully biological sleeves (usually equipped with implants), birthed naturally or in an exowomb, and grown to adulthood either naturally or at a slightly accelerated rate.",EP
Pod,Morph,Pods,,"Pods (from “pod people”) are vat-grown, biological bodies with extremely undeveloped brains that are augmented with an implanted computer and cybernetics system. Though typically run by an AI, pods are socially unfavored in some stations, used as slave labor in others, and even illegal in some areas. Because pods underwent accelerated growth in their creation and were mostly grown as separate parts and then assembled, their biological design includes some shortcuts and limitations, offset with implants and regular maintenance. They lack reproductive capabilities. In many habitats, their legal status is a hotly contested issue.",EP
Synthmorph,Morph,Synthmorphs,,"Synthetic morphs are completely artificial/robotic. They are usually operated by AIs or via remote control, but the lack of available biomorphs after the Fall meant that many infugees resorted to resleeving in robotic shells, which were also cheaper, quicker to manufacture, and more widely available. Nevertheless, synthmorphs are viewed with disdain in many habitats, an option that only the poor and desperate accept to be sleeved in. Synthetic morphs are not without their advantages, however, and so are commonly used for menial labor, heavy labor, habitat construction, and security services. ",EP
Uplift,Morph,Uplifts,,These custom biological morphs are available only to uplifted creatures.,EP
Eidelon,Morph,Eidelons,,"The basic infomorph shell is a software mind-emulation package that runs an ego. The default infomorph is much like a digital version of a flat, in that it does not enjoy the cognitive or other aptitude bonuses common to other physical morphs. Other varieties of infomorph shells exist, however. Known as eidolons, these digital morphs include routines that bolster an ego’s innate capabilities and often come equipped with pre-installed plug-ins and upgrades. ",TH
Flexbot,Morph,Flexbots,,,EP
