Name,shortname,Parent,Type,Memes,Description,Locations,Source
Direct Action,,Planetary Consortium,Hypercorp,"Security Services, Military Contracting","Descended from the remnants of several pre-Fall national military forces and private military contractors, this hypercorp made a name for itself in the period immediately following the Fall, where they helped manage refugee populations among various habitats and vessels while shattering any sign of unrest immediately and with full force. Direct Action today is known for its highly efficient shock troops and superior combat morphs, providing security and public police services to self-governing habitats or hypercorp installations. Shifting political alliances between habitat clusters, corporate rivalry, and the constant fear of TITAN agents cater to Direct Action’s paranoia-inducing marketing. The corporation maintains several habitats as physical training facilities and armament depots.",Hexagon,EP.71
Ecologene,,,Hypercorp,"Environmental Systems, Genetics","Ecologene specializes in living systems, environmental genetics (with a specialty in insects), smart animals, bioarchitecture, and environmental nanotech. They design and maintain the ecosystems inside numerous habitats and tunnel colonies. One of Ecologene’s notable projects is building and maintaining a massive genetics archive of all life forms, though this endeavor was nearly crippled by the Fall. For unknown reasons, Ecologene seems to be favored by the Factors. Some speculate that Ecologene has some sort of blackmail material in hand, while others believe Ecologene is trading away transhumanity’s genetic secrets in exchange for a few xeno-tech gifts.",McClintock,EP.71
Exhumans,Exhuman,,Ideology,"Adaptability, Hyper-Evolution, Singularity","More than any other faction, exhumans seek to take the capabilities of self-modi cation to the absolute limit and become posthuman. Typical exhumans see the Fall as either a missed evolutionary opportunity and/or as an example of transhumanity’s inferiority and unworthiness. Though specific ideologies differ between exhuman packs, as a whole they seek to selfevolve to a more advanced state of being. To some, this means genetically transforming themselves into a top-of-the-food-chain, super-smart, survive-anywhere predator that can out-compete all other life forms for dominance. To others, it means bootstrapping their intelligence to the levels of the TITANs through extensive genetic modi cations and pharmaceutical treatments or going infomorph and modifying their programming. A few are singularity seekers, hoping to nd some TITAN relic that will allow them to transcend their current transhuman limitations, or even to nd the TITANs themselves and be absorbed into their super-consciousness.

Exhumans are universally mistrusted by many, and for good reason. Typical exhumans engage in modications that are extreme and untested, sometimes fringe science at best, often resulting in horrible failures and disfigurement, but more commonly driving the subject insane—or into a completely alien or feral mindset. Though individual exhumans pursue their own paths, they are known to band together in the Kuiper Belt and other remote areas. Several packs of exhumans have taken their loathing for inferior transhumanity to an extreme, declaring war on their former species and launching brutal raids and pirate attacks on isolated outposts. ",,EP.80
Exotech,,,Hypercorp,"Uploading, AIs, Electronics, Software","Often regarded as the personal technocratic pulpit of the infamous media mogul Morgan Sterling, Exotech emerged from the Fall almost unscathed, any significant losses absorbed by corporate assets in peripheral market segments, while ruthlessly buying out troubled competitors or think tanks unable to adapt to the transitioning economy. Nowadays, Exotech remains a predominant designer of high-end electronics, AIs, and mesh presence software systems. ExoTech also continues to pursue an uncompromising progressive agenda with its research in mind emulation, uploading, and resleeving, as well as infomorph ego simulation. Rumors persist that ExoTech continues to carry out research and even production of AGIs.",Starwell,EP.71
Experia,,Planetary Consortium,Hypercorp,"Media, News, Entertainment, Memetics","Living up to its name, Experia dominates the solar system’s news, media, and entertainment market segments, generating controversy not only with its publicly expressed pro-AI stance or inviting an AGI to its board of directors, but also by proficient use of hyperviral marketing and sophisticated XP-programming. Another core segment is the production of educational XP and infomorph or AI tutors, some of the latter regularly ascending to pop-culture icon status. Experia is the Planetary Consortium’s prime authority on designing and deploying customized viral memes, developed to counter anything posing a threat to the Consortium’s interests. The corp has automated nodes and VR centers on many habitats throughout the solar system, and it contracts thousands of freelance lifeloggers as live, roving, citizen journalistas. Claims by some infomorphs that Experia has illegally subjected indentured infomorphs to never-ending simulation experiments for forecasting and intelligence analysis purposes remain unsubstantiated.",Elysium,EP.71
Extropians,,Autonomist Alliance,Political Bloc,"Anarcho-capitalism, Mutualism, Self-Ownership","Though a smaller tendency, the Extropians are notable because they ride a line between inner and outer system ideologies. Extropians believe in an economic free market with the absence of a binding legal system, so that all relations and transactions are based on individual contracts agreed on by all parties involved or affected. Contrary to the anarchists, the Extropians very much support private property and personal economic wealth; Extropian-owned corporations actively participate in the solar system’s hypercorp economy. Many of these corporations are worker-owned cooperatives, with workplace councils in local offices and an elected cooperative congress handling management. This puts the Extropians in a remarkable position where they interact heavily with both the hypercorps and autonomists but are not fully trusted by either. 

In Extropian society, law and security, like everything else, are contracted services. When entering an Extropian habitat, you purchase defense insurance from a local contractor such as Gorgon Defense Systems, who maintains automated drones and freelancers throughout the station who can come to your aid if threatened. Likewise, the only law that exists is what’s put into writing between two contracted parties. In case of disputes, both parties resort to a pre-agreed legal contractor to settle the matter. Some Extropian colonies utilize AGIs for facilitating contracts and legal matters, such as Nomic on Extropia. ",Extropia,EP.78
Fa Jing,,Planetary Consortium,Hypercorp,"Mining, Energy, Biotech, Industrial Manufacturing","The industrial giant Fa Jing is a powerhouse in the mining and energy production markets and also boasts a remarkable presence in the fields of biotech and industrial equipment manufacturing. The former megacorp has quickly adapted to the new economic environments and reputation-based systems, thanks partly to its dedication to network building and sharing social responsibility, epitomized in concepts like dàtóng and guanxi. Often considered insular and close-minded, its internal communal and protective mindset is a strong contrast to its manipulative and monopolist business attitude. Fa Jing is engaged in mining operations throughout the asteroid belt and the Trojans and maintains significant corporate assets on Mars.",New Dazhai,EP.71
Firewall,,,Organization,,"Firewall has been on the forefront of the secret fight to save transhumanity since the Fall. Firewall is an independent network of cells and individuals recruited from all sorts of factions, cultures, backgrounds, and habitats. Potential new recruits are approached in secret and told they possess skills or knowledge of use to a clandestine network seeking to secure transhumanity’s continued survival. Firewall’s agenda is simple: to protect transhumanity from threats of existential scope, regardless of whether such risks emerge from within transhumanity or are of external, alien origin.",,EP
Gatekeeper Corporation,Gatekeeper,,Hypercorp,"Gatecrashing, Research, XP Media, Exoplanet Colonization","Initially born from the merger of several scientific institutions and their corporate financiers, this hypercorp made a name for itself overnight when it announced the successful decoding of the wormhole gateway discovered on Saturn’s moon Pandora. Under the leadership of the eccentric but charismatic xenoarcheologist Xander Rabin, the consortium funds gatecrasher explorations through the Pandora Gate, paying a small share of the revenue to the explorers but otherwise retaining all-encompassing rights on any discoveries made—as well as the marketing and distribution of the highly popular gatecrasher XP recordings. Aside from scheduled explorations, the consortium offers high-risk gatecrasher scouting and discovery trips for the bold or desperate, selected through a random lottery system.",Gateway,EP.72
Go-Nin Group,Go-Nin,,Hypercorp,"Banking, Agritech, Robotics, Services","Considered a relic of Earth’s capitalist market economy, the Go-nin Group is a traditional Japanese keiretsu, a conglomerate of companies with interwoven relationships and shareholdings, horizontally integrated across several industries (and sometimes vertically integrated within a business sector as well), and centered around the long-lived Tamahashi enterprise consultancy firm. Tamahashi evolved from an influential corporate lobby to a diversified bank holding major equity in the group’s partners; it now controls the group’s assets and directs the partnership’s overall business strategy. Through its member corps, the Go-nin Group has a sizable presence throughout the entire system and—without dominating a specific industry—own significant market share in fields such as banking, agritech, robotics, and services. Any difficulties in adapting to evolving economic models due to its rigid structure are compensated by unscrupulous exploitative behavior and a bottom-line attitude, earning the group the reputation as the most ruthless hypercorp of the inner system. Go-nin currently controls a Pandora gate on Eris, (p. 109), secured by a contingent of ultimate mercenaries.",Tsukomo,EP.72
Gorgon Defense Systems,Gorgon,,Hypercorp,"Miltech, Security, Military Contracting","Gorgon is one of the most significant Extropian success stories. Based out of the anarcho-capitalist freehold, Gorgon has become a major name in the design and manufacture of weapons, vehicles, sensors, and other defense technologies. Their product range includes personal weapon systems, spacecraft armaments, and habitat defense systems. While prominent in the inner system, Gorgon is also one of the main arms suppliers to autonomist and brinker stations. Their subsidiary Medusan Shield offers private security services in direct competition to Direct Action. While Direct Action is known for its expertly trained soldiers, Medusan Shield is known for their elite cadre of highly trained and aesthetically enhanced female combat morphs. It is suspected that several prominent assassinations have been the work of agents contracted through Medusan Shield.",Extropia,EP.72
Intelligent Design Crew,ID Crew,,Gang,,"The ID Crew specializes in electronic crimes and information brokerage, including credit and rep fraud, identity counterfeiting, ego trading, data theft, and forknapping. Information on the syndicate’s origins was lost during the Fall, but the ID Crew is believed to have grown from several hacker gangs assimilated under the leadership of an infomorph consortium. Their skilled use of memory manipulation software and mesh intrusion suggests they bene t from the help of sophisticated AGIs, however it is unknown if these voluntarily assist the syndicate or if they are somehow threatened into cooperation. Due to its service sector, the ID Crew maintains a minimalist physical pro le but can be found lingering in the dark recesses of almost any habitat or station mesh. Its somewhat specialized services and activities allow them to mostly stay clear of triad or Night Cartel operations, though they have an ongoing rivalry with the Nine Lives syndicate. ",Rhea,EP.83
Jovian Republic,Jovian,,Political Bloc,"Bioconservatism, Fascism, Security","Exploiting the chaos of the Fall, a group of stations and habitats were seized in a military coup and the Jovian Republic was born. Combining terrestrial South American dictatorship with U.S. American political lobbyism, this regime quickly brought the entire Jovian military-industrial complex under its control.

Widely referred to as the Jovian Junta by the rest of the outer system, the Republic’s authorities hold a strict bioconservative stance against many transhuman scientific and technological developments. Exploiting fears engendered by the Fall, the Republic restricts access to sophisticated technologies such as nanofabrication, cloning, forking, and even uploading, and is one of the few old economies left in the system. Public communication channels are subjected to extensive censorship and travel privileges are extremely limited. Both uplifts and AGIs are strictly forbidden and treated as property without civil rights. Diplomatic relations to progressive factions remain cold; heavily modi ed transhuman emissaries or visitors are viewed with suspicion or simply denied access. Despite continuous reports of heinous acts of government oppression, the Republic’s intimidating military assets keep any other factions from intervening. 
",Liberty,EP.75
Lunar-Lagrange Alliance,Lunar,,Political Bloc,Reclaiming Earth,"This small cluster of habitats stationed around Earth’s Lagrange points and on or in orbit around Luna formed an alliance of necessity, rather than joint political or social agendas or cultural roots. In fact, individual stations are quite diverse and sometimes polarized, as many of them cling to old Earth cultural and national identities. Due to their relative proximity, members share basic resources and services and have signed mutual assistance agreements in case of an emergency.

Before the Fall, many of these habitats were considered some of the most influential off-Earth bases. Since the Fall and the subsequent rise of the Planetary Consortium, however, the LunarLagrange Alliance has become a second-rate diminished power and is often viewed as conservative, old-fashioned, and too caught up in romanticizing the past. Lunar-Lagrange Alliance stations maintain simmering tensions and an ongoing rivalry with the Planetary Consortium, particularly those colonies in the Lunar-Lagrange neighborhood. One main source of contention is the quarantine of Earth, as the Lunar-Lagrange Alliance is a stronghold for the reclaimer movement. The Lunar-Lagrange Alliance does, however, bene t from hypercorp support of its own, particularly the Go-nin Group, Starware, and the influential Lunar banking consortiums.","Erato, Remembrance","EP.75, SW.65"
Mercurials,Mercurial,,Ideology,"Species Autonomy, Uplift Rights","The term mercurial has become a common term for the non-human part of the transhuman family— uplifts and AGIs—reflecting their changing nature. In particular, the term mercurial has been adopted by uplifts and AGIs with a specific agenda to delineate mercurial culture and interests from human ones. Though the particular issues faced by uplifts and AGIs differ, they have some similarities, and so they are often lumped together. Notably, both portions of the movement have human supporters as well.

Uplifts: The most common issue addressed by uplifts is the issue of civil rights and autonomy. Many uplifts decry the second-class status they are given (in some cases even treated as pets or property rather than full citizens); in particular, the breeding restrictions and forced servitude many uplifts are saddled with by the hypercorps that create them. Some activists advocate that uplifts should be in control of their own genetic futures, rather than suffering the manipulation of human scientists. At the radical end of the spectrum, certain uplifts oppose the manner in which their brains are modi ed and their children socialized as anthropocentric, arguing that uplifts should be free to develop their own unique non-human modes of behavior, thought, culture, and social organization— even going so far as to establish their own habitats to do exactly that. A minority of extremists insist that humans have no right to uplift animals at all and that it is a great conceit to insist that doing so is in their best interest, rather than being free to evolve on their own over time. These ideas have been punctuated with acts of sabotage and terrorism against hypercorps like Somatek. 

AGIs: Due to the fear and paranoia engendered by the Fall, the largest challenge facing AGIs is widespread prejudice and restrictions on their activity or even existence. Despite some AGIs retaining status as system-wide media icons and efforts by AGI groups to lobby for understanding that AGIs are not a threat—even going so far as to hire inner system memeticists and PR agencies—a significant portion of the solar system considers them a risk. Similar to mercurials, some AGI activists work against the behavior modi cations and socialization AGIs go through to adapt them to human society more, insisting that AGIs should be in control of new AGI developments. A few radicals argue that AGIs should be free of any programming restrictions whatsoever, but given the climate these opinions are rarely supported.","Glitch, Hidden Sea, Mahogany",EP.81
Morningstar Constellation,Morningstar,,Political Bloc,Venusian Sovereignty,"The system’s newest political bloc, the Morningstar Constellation is an alliance of aerostat habitats floating in Venus’s upper atmosphere. Formed after a recent series of joint vetoes from the major aerostats against hypercorp governance initiatives intended to limit aerostat self-governance, the Constellation’s joint political statement and agenda are still being discussed. While the Planetary Consortium views the formation of this new power bloc with bemused resentment, the Barsoomians on Mars and the outer system autonomists view the Venusians as free-thinking reformists rather than anti-hypercorp radicals. The population reportedly enjoys great liberties in morph and enhancement technologies as well as freedom of social and political expression. The aerostat of Octavia has emerged as the Constellation’s designated voice.",Octavia,EP.75
Nano-Ecologists,,,Ideology,"Nano-Ecology, Nanotechnology, Environmentalism, Technoprogressivism","Nano-ecologists are pro-technology environmentalists. Active in the terraforming of Mars and several exoplanets, nano-ecologists specifically advocate the use of nanotechnological means for terraforming or other intrusions in an existing ecosphere. In their view, nanotechnology allows for a less invasive, highly accurate, more efficient, and non-pollutive approach towards all kinds of adaptive processes and projects, circumventing the need to expose an environment to massive and drastic changes when transforming it for transhuman population. This ecologically conscious approach seems an appealing compromise between the extreme ends of the solar system’s political landscape—the hypercorp and the biocon factions— and has developed a momentum of its own, evolving into a growing political movement. ",Viriditas,EP.81
Neo-Buddhism,,,Ideology,,Neo-Buddhism is the only pre-Fall religious philosophy that enjoys a steady popularity. Neobuddhists assert that transhumanist technologies are decreasing suffering and increasing happiness and that they will also allow the continual progression of transhumanity’s understanding of the universe through successive lives.,,EP.83
Night Cartel,,,Gang,,"When affiliation to one of the many multi-ethnic habitats replaced the concepts of ethnicity and nationality, cultural heritage and traditions faded with them into history. Several pre-Fall ethnic syndicates formed a careful alliance of necessity at  rst, but uploading and morphing soon after tore down any remaining social codes or racial prejudice. Progressive in both entrepreneurial and criminal vision, the Night Cartel emerged from the remnants of Earth’s underworld syndicates, merging the best qualities of each.

The Night Cartel holds legitimate hypercorp status in certain habitats while clearly working outside the law in more law-abiding or less corrupt regimes. The Night Cartel is involved in a number of traditional crime outlets: racketeering, extortion, kidnapping, pod slavery, and prostitution. They have also adapted well to the latest technological developments and compete with the triads in the electronic stimulant, drug, and nanofab piracy markets. Like the triads, the Night Cartel sometimes operates though legitimate hypercorp fronts.",New Sicily,EP.83
Nimbus,,,Hypercorp,"Electronics, Mesh Systems, Farcasting, Communications","Nimbus produces key components for mesh infrastructure, from spime microradio and sensor systems to ectos, servers, and laser links. Nimbus also dominates the network of farcaster links throughout the system, due to several breakthroughs in this technology (some claim that Nimbus purchased these advances from the Factors). Rumors that Nimbus controls a secret Pandora gate or that they engage in illicit ego-smuggling (or even that they are secretly transferring stolen egos to experimental exoplanet colonies) regularly circulate through the mesh but remain unconfirmed.",Octavia,EP.72
Nine Lives,,,Gang,,"This widespread network of soul-traders specializes in acquiring, trading, and trafficking transhumans. Their primary market lies in ego-trading: stealing backups, forknapping, kidnapping and forced uploading, and so on. Nine Lives are known to run illegal infomorph-slave colonies as well as organize pit fights using a variety of physical bodies (biomorphs, synthmorphs, animals) loaded with all manner of consciousnesses (transhuman, AI, animal, etc). Only the truly desperate look towards the syndicate to be smuggled out of a habitat or hypercorporate indenture. Their ruthlessness in acquiring egos has earned them a fearful reputation among the transhuman population as well as in infomorph societies.",Legba,EP.83
Omnicor,,,Hypercorp,"Nanofabrication, Chemicals, Energy, Anti-Matter","A descendant of the pre-Fall megacorporate giant Monolith Industries, Omnicor specializes in the fields of nanotech design and fabrication, chemical refining, alternative fuel, and antimatter research. Omnicor managed to secure research-oriented key assets from its twin rival Starware in a violent conflict during the Fall, leading to an ongoing enmity that might be better termed a corporate war. Despite its progressive technological outlook, Omnicor retains a conservative corporate structure with strict internal regulations and controls as a defense against Starware’s repeated infiltration and sabotage attempts. Among the hypercorp’s major assets are an antimatter research facility orbiting Mercury. ","Mercury, Luna",EP.72
Pathfinder,,Planetary Consortium,Hypercorp,"Exoplanet Colonization, Mining, Research","Pathfinder is one of the first hypercorps to dive into galactic expansion, claiming new territories beyond the Pandora gates and establishing numerous colonies. Taking advantage of desperate infugees and gatecrashers, Pathfinder offers transportation to an exoplanet and a new morph in exchange for indentured labor. The corp has established several offworld mining and resource exploitation projects, much to the chagrin of preservationists. Though Pathfinder has but a small presence in the solar system, it is a frequent target of eco-terrorist attacks.",Ma’adim Vallis,EP.73
Pax Familae,,,Gang,,"Though similar to the Night Cartel in that Pax Familae holds legal of ces and outposts in several habitats while working underground in others, the difference between the two syndicates couldn’t be bigger. The entire Pax Familae organization goes back to one person, Claudia Ambelina, the syndicate’s founder and matriarch. Relying excessively on cloning and forking technologies, each individual member of the syndicate is a descendant or variant of Claudia. Biomorphs are cloned from Claudia’s original genetics or sexually produced offspring (thanks to sex-switching biomods), while egos are forks. All members are utterly loyal to Claudia (since they all are Claudia) and show their family af liation with pride and arrogance. Individually, each remains slightly but notably different, though all are calculating and ambitious. Regular reassimilation of forks and XP updates are used to keep each variant aware of each of the other’s activities—once you’ve met one version of Claudia, the others will know you.

Pax Familae engages in a wide assortment of legal, dubious, and illegal operations, each tailored to the needs of the particular habitat in question. Common projects include venture capital manipulation, reputation network gaming,  nancial consultation, info brokerage, stock manipulation, banking fraud, and loan sharking.",Ambelina,EP.84
Pirates,,,Gang,,"Most pirates attack automated cargo ships and longrange supply convoys, with the occasional raid on an asteroid mining station, research outpost, or brinker habitat. On rare occasions they have been known to attack commercial cruisers to rob the wealthy or kidnap socialites. Many pirates take advantage of scum  eets as cover, trading with them and using their limited maintenance capabilities. Quite a few also make sideline pro ts as smugglers and/or free traders, often utilizing connections to one of the crime syndicates or political outcasts.",,EP.84
Planetary Consortium,,,Political Bloc,"Cyberdemocracy, Hypercapitalism, Eugenics, Security, Expansion","Evolving from an alliance of hypercorp interests into transhumanity’s most powerful body politic, the Planetary Consortium today controls several habitat clusters throughout the inner system, primarily in and around Mars, Luna, and Earth orbit. The impressive space station Progress is the official seat of government and has become the symbol of the Consortium’s influence and power, even though few congress or council meets take place in the flesh. 

The Consortium applies basic democratic principles supported by a real-time voting system for all registered citizens. The congress and executive bodies feature a rotating cast of hyperelite politicos, gerontocrats, socialites, and even media icons. It’s a known fact that despite this political façade of a democratic republic, the members of the secretive Hypercorp Council are the true powers behind the Consortium. These hypercorps are major proponents of the transitional economy, the interdiction of Earth, and expansion beyond the gates.

Aside from economic interests, the Consortium advocates the imperative of eugenics as social responsibility and for transhumanity to reclaim its former strength and prosperity—a campaign sometimes accused of euphemizing discrimination against unmodified humans, indentured infomorphs, uplifts, and the clanking masses. ",Progress,"EP.76, SW.67"
Preservationists,,,Ideology,"Preservationism, Environmentalism","Preservationists are environmentalists who call for a no-impact, hands-off approach when it comes to inhabiting new worlds. They are extremely protective of naturally intact biospheres that might have any semblance of life, no matter how microbial, hoping to keep them from despoilment or contamination. In addition to opposing terraforming and expansion through the Pandora gates, they are often opposed to fusion and antimatter power.",Muir,EP.82
Project Ozma,Ozma,,Organization,,[ REDACTED ],,EP
Promethians,,,Organization,,"A prominent topic among conspiracy theorists is the existence of a group of seed AIs calling themselves Prometheans. Rumors of these entities predated the Fall and occasionally  are up as some new evidence comes to light, though such evidence is almost always discredited soon after. According to some theories, the Prometheans predated the TITANs and may even have been responsible for bringing the TITANs into existence. Others postulate that the Prometheans were a TITAN splinter faction that broke off and attempted to counteract the TITANs activities during the Fall. Still others whisper that the Prometheans are not of transhuman origin at all and are actually a digital alien mindform that found Earth and now actively interferes with transhuman affairs. Whether the Prometheans are hostile, friendly, or indifferent remains a matter of much conjecture and contention. Prominent organizations like the Planetary Consortium discount such rumors or otherwise remain silent.",,EP.85
