Name,shortname,Parent,Type,Description,Population,AU,Languages,Source
Hyperion,,Saturn,Body,"With its chaotic, virtually unpredictable rotation, Hyperion is a dangerous place to land ships. It remains uninhabited.",,,,EP.104
Iapetus,,Saturn,Body,"Iapetus is one of Saturn’s larger icy moons and once boasted a population of 200,000 living in the dense warrens of Analect, its main settlement. Probably because it is one of the few large moons of Saturn that contains sizable deposits of silicates and minerals in addition to ice, Iapetus was a target of the TITANs during the Fall. After enslaving a tenth of the populace as worker drones and using the rest as seed stock for tissue cultures to feed their fellows, the TITANs began to build what appears to have been a Jupiter brain, turning the entire moon into a computational structure. Iapetus now occupies twice the volume it once did, the ice and silicate of the planet’s outer layers having been reworked into a delicate lattice of circuitry millions of layers deep.

Strangely, the project simply stalled at some point prior to completion. Speculation is that the control- ling intelligence was either destroyed by an unknown outside force or devoured itself in a t of computational ecstasy. Whatever the case, the drones simply stopped working and died and the moon’s automated defense grid went dead, leaving a strangely beautiful but lifeless machine behind to slowly decay from meteor impacts and gravitational stress. Several research teams now reside in small orbital stations, quarreling over the scraps. Rumor has it that a number of scientists trying to understand the Jupiter brain circuitry have lost their minds in the process, perhaps by some mechanism akin to a basilisk hack. It is also believed that some of the moon’s internal defenses remain active. If anyone has plumbed the interior and come back, they’re not talking about it.",200000,,,EP.104
Meathab,,Saturn,Habitat,"The full name of this unique habitat is Turn Yourself Into a Giant Mass of Space Meat for Art!, and as the name implies, 90% of the habitat’s structure consists of fast-cultured vat bacon, battened on the abundant resources of the ring system. MeatHab started out as someone’s art morph, but then, against all expectations, squatters moved in. MeatHab now has a population of 500. Similar to a Hamilton cylinder, the kilometer-long habitat harvests and processes ring material to grow itself. The outer surface is frozen esh ten meters thick whose surface resembles a cross between a tree trunk and ank steak. Past the axial space dock is a warren of veinous, skin-covered corridors lit by bioluminescent panels and maintained by small, reptilian symbiotes that eat away dead skin and may have other immune functions as well. Gravity inside is 0.5 g.

The nameless biodesigner who created the place— and who may or may not still inhabit the gigantic morph—was a genius. Although the habitat is not by any stretch of the imagination a pleasant locale, it appears healthy. Its full workings are not understood, and the inhabitants range from extreme esh freaks who are fans of the artist to serious biodesigners studying the place to learn more about its construction.",500,,,EP.104
Mimas,,Saturn,Habitat,"Led by legendary Chinese dissident poet Hao Lin Ngai, Harmonious Anarchy broke from the Fa Jing cartel during the tumultuous years prior to the Fall. Hao sought to create a society in the spirit of the ancient Taoist state of Great Perfection that existed in Szechuan 1,700 years earlier—with considerable updates from modern thought. Harmonious Anarchy is an Extropian mutualist society heavily involved in software engineering, logistics, and relocation of metallic asteroids to the outer system. Most of Mimas is a very low-g beehive arranged into Black, Red, Yellow, Green, and White neighborhoods, based on the ve classical directions of Chinese mythology. Each color boasts an ornate central cavern, with extended families living in radiating subwarrens. While adhering to mutalist economic principles, Harmonious Anarchy simultaneously takes a traditional Chinese approach to social organization, with family at its core.",,,,EP.104
Pan,,Saturn,Habitat,"Volkograad’s closest competitor is this anarcho-capitalist outfit, most of whose founders were South African. iZulu has a somewhat lower capacity than Volkograad but will ship reactor mass to unusual locations like the Trojans and the Kuiper Belt. iZulu is a very crowded beehive with nearly 400,000 inhabit- 
ants and an unusually large number of infugees. The nations of sub-Saharan Africa were only starting to achieve widespread 20th century-levels of prosperity in the late 21st, and so they had the lowest capacity to physically evacuate their citizens during the Fall of any region on Earth. iZulu and a handful of other habitats with roots in Africa thus have high infomorph populations and millions of people in dead storage.",400000,,,EP.104
Pandora,,Saturn,Body,"The Gateway settlement, on Saturn’s outer shepherd moon Pandora, holds the first publicly known wormhole gate. The Gatekeeper Corporation keeps the gate open as a means of exploration and scientific investigation for all factions and powers. Gatekeeper was originally a Titanian microcorp but is now independent. The Commonwealth of Titan still holds a major stake in it, though not a controlling interest. Granting autonomy to Gatekeeper Corporation was a diplomatic maneuver made in response to Planetary Consortium claims that the Titanians sought hegemony in the outer system. So far, Titan’s neighbors are buying it, even if the Planetary Consortium doesn’t.",,,,EP.104
Phelan’s Recourse,Phelan,Saturn,Habitat,"Phelan’s Recourse (usually just called “Phelan’s” by inhabitants) is the largest nomadic settlement in the system, with a population estimated around 250,000. Phelan’s is a swarm of some 10,000 small craft and tin can habitat modules that orbits Saturn along a highly elliptical path somewhat inclined to the plane of the ecliptic. The swarm’s orbit is calculated to maximize the number of encounters with near moons and sta- tions, providing a six to eight hour window in which craft can leave the swarm for trade. Phelan’s Recourse passes through the rings once a month, allowing craft to resupply with water and volatiles.

Phelan’s accepts all comers. One could meet just about anyone here, from the government in exile of East Timor to hasidim from Brooklyn. The core of the swarm is the Stills, a fusion-illuminated grain farm and distillery operated by an allegedly reformed gang of Irish travelers who conned their way off Earth a few weeks before the Fall and escaped to the outer system. The Stills produce Phelan’s Ma, the most sought-after whiskey in the system, and Phelan’s Da, possibly the worst beer ever made. Despite the Phelans’ protestations of legitimacy, the criminal element is heavily represented here. The swarm represents an important link in red and gray market supply chains.",250000,,,EP.105
Prometheus,,Saturn,Habitat,"Marseilles (population 80,000) is a beehive habitat operated by the Titanians. It is rumored to harbor an antimatter factory, a theory supported by the large number of skimmers that arrive from the surface relative to the number of tankers that leave.",80000,,,EP.105
Rhea,,Saturn,Body,"At a 764-kilometer diameter, Rhea is Saturn’s second largest moon. Composed almost entirely of ice, Rhea’s surface is sparsely inhabited, but a population of over 800,000 dwells in Kronos Cluster, a major habitat in orbit. Kronos Cluster’s mass-microfactured violet spherical modules make it look like an immense, irregular bunch of grapes suspended in space, an impression added to by the winding space dock (nicknamed the Vine) extending from the wider end. Within the mass of habitat modules, the Vine branches out in all directions, forming massive central arteries and twist- ing side passages. These can be traversed by pushing off hand and toeholds on the walls or by catching grab loops that move along “fast lanes” in the walls of major floatways.

Nearly five kilometers long and three wide, Kronos has major problems with crowding and infrastructure that have kept it from growing to the same size as Locus. The designers simply did not plan for the size the place might reach, and as a result another 150,000 people live in suburbs of tin can habs and scum barges in the space around the habitat.

Kronos can be an extremely dangerous place. Insurance companies don’t like operating here, and the habitat is a patchwork of criminal and anarchist neighborhoods. Anarchist zones are generally heavily armed and safe, but a trip from an anarchist holding to the spaceport is best done with a group of well- armed friends. Criminal neighborhoods are only safe if you’re in the neighborhood’s controlling gang, and even then con icts are up regularly. 
The situation is exacerbated by the Kronos Port Authority, a junta of ultimates who operate security for the spaceport. Originally an Extropian hypercorp, 
the KPA fell into the hands of the ultimates when they decided that they could pro t more directly by owning the company outright than by working as hired muscle. They violently ousted the original management and now use indentures in worker pods to maintain the port. This situation is tolerated by the local crime bosses and loathed by the mostly anarchist citizens, but so far no one is able to challenge the KPA, which enforces use of the port rather than any other mooring point with killsats and artillery.",800000,,,EP.105
Tethys,,Saturn,Body,"Composed almost entirely of ice, Tethys is one of Saturn’s larger moons and the site of Ithaca Chasma, a 2,000-kilometer long valley covering three-quarters of Tethys’s circumference. Fifteen years ago, prospectors from an ethnically Indo-British autonomist collective called the Rioters touched down on Godwin Head, a projection in the chasm wall so named because it resembles a headland projecting out into the sea. Instruments on their ship, the Caleb Williams, had detected what looked like mineral deposits in the ice, rare on Tethys. What they found instead were relics thrust to the surface by a geological event eons earlier, the remains of primordial life that became extinct millions of years ago when Tethys cooled and its sub-surface ocean froze over.

Godwinhead is now a dense, efficient settlement of 200,000 built into the five kilometer high canyon walls. The central point of the town is the Caleb Williams, which has been towed back into a sheltering cavern in the wall and converted into a communal workshop and town hall. The face of the valley wall is honeycombed with excavated ice caves hosting habitat modules, connected by conduits to a communal utility grid. The trusswork and cabling for the utility system is also the public transit system, easily traversed in the minute Tethyan gravity. The unof cial mascot of Godwinhead is the Tethyan Flatworm, a two millimeter-long translucent worm that represented the pinnacle of Tethyan evolution. A large number of the inhabitants are involved in biosciences, xenopaleontology, and prospecting for frozen lifeforms.

Tethys shares its orbit with its Trojan moons Telesto and Calypso, both of which are small and sparsely populated.",200000,,,EP.105
Titan,,Saturn,Body,"Saturn’s largest moon is shrouded in a permanent orange atmospheric haze, hellishly cold (averaging 180 degrees below), and whipped by winds produced by tidal forces four times stronger than those influencing Earth’s climate. On its face, it appears even less hospitable than the airless balls of ice and rock comprising every world between Titan and Mars. The meager sunlight reaching its surface is insufficient to grow any but the hardiest plants, the mostly nitrogen atmosphere is dangerously toxic, and the surface is dotted with lakes and seas of liquid methane. In spite of all this, abundant hydrocarbons, a thick atmosphere, and diverse chemistry make Titan one of the few worlds in the system where colonists may rely entirely on local resources. Titan’s population is now over 60 million.

Social money and the microcorp system have led to some spectacular gains and failures. On the upside, Titan’s civil resleeving industry produces more morphs than Mars and Luna combined. Massive infrastructure programs have provided enough space for 60 million people to live comfortably on a hostile world. The Large Collider, the biggest particle accelerator ever produced, in polar orbit, enables physics experiments that can be performed nowhere else in the system. And two years ago, Titan dispatched the first conventional interstellar probe, the Aubade. It will reach Proxima Centauri in just under 20 years.

On the downside, Titan’s “body for every mind” law burdens the civic resleeving system with a lot of people who no one would ever have bothered resleeving otherwise. The failure of the Scoop project, an extremely costly attempt to build a pipeline from Saturn’s surface to low orbit, allowing massive gas extraction without costly atmospheric skimmer oper- ations, stymied Titan’s ambitions to become a major antimatter producer. Titan does produce antimatter, but on a much smaller scale than was envisioned when the Scoop project began.

Commonly spoken languages on Titan include Norsk, Francais, Deutsch, Mandarin, Svenska, Dansk, and Suomi. Most citizens inhabit hazers, a tall, ne-boned morph with very similar characteristics to the Martian ruster. Patagium for gliding and flying in the light Titanian gravity are a common biomod. Titanians do three years of compulsory civil service at the age of majority, with an emphasis on military and security forces except for conscientious objecters. Every citizen who has done military service is part of the militia and has an assault weapon in their home.",60000000,,,EP.106
Uranus,,,Body,"Once thought of as gas giants like Saturn and Jupiter, Uranus and Neptune differ from the larger planets in that they contain large amounts of water ice, methane, and ammonia and have rocky cores at their centers. This region of the system is sparsely populated. Uranus orbits at a distance 10 AU beyond the orbit of Saturn, 20 times the distance of the Earth from the sun.

Uranus, the coldest planet in the solar system, is a blue-green sphere of ice and gas. Seen from afar, it is virtually featureless compared to Saturn and Jupiter, but up close subtle cloud formations and a tenuous ring system may be observed. Probably due to a collision with an Earth-sized world when the solar system was young, Uranus rotates on its side, such that one pole faces the sun for 42 years at a stretch, and its moons orbit at a sharp angle to the solar ecliptic.

At the time of Eclipse Phase, Uranus’s south pole is experiencing its mid-spring, during which thick methane clouds darken the polar atmosphere. It may be the unusual tilt of its axis and the accompanying strange seasonal weather that give rise to the unconfirmed rumor that the alien traders called the Factors have created a settlement hidden in Uranus’s atmosphere.",,19.18,,EP.107
Chat Noir,,Uranus,Habitat,"Located on Oberon, this is the Uranian system’s primary long haul spaceport, with a permanent population of 8,000. Chat Noir has fairly advanced ego- casting, resleeving, and manufacturing facilities for a frontier outpost and is operated by several collectives of anarchists. The reason for all of the infrastructure is the Fissure Gate, the only Pandora gate in anarchist hands (despite several Planetary Consortium expeditions to wrest control of it).

Fissure Gate was discovered by a prospecting expedition from Chat Noir, then a tiny outpost. Seeking deposits of the useful carbonaceous ices that make up about 20% of Oberon’s mass, they instead chanced upon subsurface radio emissions near the foot of Mt. Hippolyta. After triangulating the source, the prospec- tors landed and used subsurface imaging gear. What they got back was a blurry image of a rock fissure containing an ambiguous mass of mixed density and an extremely dense, possibly metallic object with a shape too regular to be anything but a structure or large artifact—all under 500 meters of ages-old frozen cryovolcanic outflow. The gate at Pandora was already publicly known at this time, so the prospectors drilled down, suspecting they’d found an alien artifact. They were not to be disappointed, although the discovery yielded gruesome salvage: the barely recognizable corpses of eleven gatecrashers.

Why and how the Fissure Gate was erected under the ice remains a complete mystery. At some recent point, however, it was completely buried, with only a thin pocket of space between it and the surround- ing ice. When the eleven emerged, buried in an airless space beneath 500 meters of ice, there was barely room to move, let alone escape—but the gate wouldn’t let them back through. Several of the crew had recoverable cortical stacks. This lucky handful are now prominent citizens of Chat Noir, but none plan to resume gatecrashing as a career.

The Fissure Gate remains in anarchist hands, operated and defended by the Love and Rage Collective. The gate is made available to almost anyone unless their rep score is tanked or they are pursuing commercial interests (ruling out most hypercorps). Support for gatecrashers is minimal—traverse the threshold at your own risk. Any discoveries made via this gate, however, must be shared for the collective good of transhumanity.",8000,,,EP.108
Neptune,,,Body,"Frigid, swept by 2,100 km/h winds, and tinged blue by methane traces in its atmosphere, Neptune is the last major planet in the system, orbiting at a distance of 30 AU from the sun. This far from the nearest star, plants will not grow and solar power is useless. The only sources of power are fusion, focused starlight, waste heat, and chemical reactions. The hypercorp presence in the Neptunian system is virtually absent, as the long communication lags and extreme travel distances from the rest of the solar system mean that few Neptunian ventures garner pro ts. Similarly, the Titanian brand of technosocialism has never found roots here. The few transhumans who live out here are a resourceful lot, and many colonists out here aren’t human at all. Anarchists, brinkers, and desperados comprise most of the population.",,30.06,,EP.108
Titania and Oberon,,Uranus,Body,"Uranus’s two largest moons are sparsely populated, with only about 10,000 transhumans living on each body. Most stations are mixed dome and beehive settlements and range from hypercorp communications and research outposts to autonomist freeholds. The pair are more chemically complex than most moons in the outer system, consisting of about 30% rock, 20% methane and similar carbonaceous ices, and 50% water. Titania is home to a spectacular canyon that rivals the Martian Valles Marineris. Several settlements on Titania cater to tourists from the inner system and the gas giants, who visit for rocketing, mekking, and other sports in the canyon.",20000,,,EP.108
Xiphos,,Uranus,Habitat,"One of two major strongholds of the ultimates, Xiphos is a Hamilton cylinder orbiting in the Uranian ring system. Though most of the tech underlying Hamilton cylinders is open source, the station’s frighteningly efficient weapon systems are not. Rumor has it the ultimates traded some major favors to Gorgon Defense Systems in the process of building this station. Where Aspis, the ultimates’ inner system habitat, is a relatively open place, used by the ultimates for contact with potential mercenary clients, Xiphos is off limits to anyone not of this faction. The rumored population of ultimates here is only about 10,000, but the ultimates purchase a large number of infomorph indentures from Mars. Although there are no reports of any of these indentures returning, rumor has it that the ultimates download indentures serving in sensitive areas into zeroes—deaf, visually limited flats with no mesh implants and limited mental capacity.",1000,,,EP.108
Sol,,,Body,"Habitats in Sol’s corona face challenges more extreme than those anywhere else in the system. Transhumanity’s only means of shielding a habitat from the heat and radiation emitted by a G2 star is to generate strong electromagnetic fields. Even then, the dangers posed by solar  ares and coronal mass ejections—massive explosions that jettison coronal material tens of thousands of kilometers out into circumsolar space—mean that the sun’s polar regions are the only safe space in which to position habitats. As such, circumsolar habs require extraordinary expense to build and maintain, and two of the three major circumsolar stations are heavily backed by distant organizations.

The outer layers of circumsolar habitats are covered with thousands of electromagnetic dynamos drawing power from the sun itself. These dynamos generate the powerful elds necessary for shielding. Within are intermediate layers filled with liquid water that capture ionized particles, teeming with nanobots that collect the ions and vent them into space. The water must be regularly replaced from captured iceteroids that are imported using heavy electromagnetic shielding of their own. Within the water shield is a cluster habitat, an array of modules on a framework following a roughly spherical plan. ",,,,EP.87
Mercury,,,Body,"The closest planet to the sun has a mass comparable to Luna but is a great deal denser due to its iron-nickel core. Mercury rotates slowly and has no atmosphere, so that its day side is hot enough to melt most metals, while its night side is bitterly cold. Because it lacks many of the elements needed for transhuman colonies to be self-sufficient, Mercury is sparsely inhabited, save for a handful of solar power relays, a few underground mining stations, and a single large surface mining concern, Cannon.

Most of Mercury’s economy is based on mining. Iron, nickel, and other metals make up 70% of the planet’s mass, making it the richest source of ferrous metals outside of the asteroids. Mercury also does a brisk business in relaying solar power and serves as a jumping-off point for solar research concerns unwilling or unable to support stations in the solar corona. Mercury has limited helium-3 deposits, although these are predominantly mined for local use. It is an open secret that several powers have antimatter production stations here. Officially, these stations are massive solar power relays, but the immense toroid particle accelerators and large spherical magnetic containment units required for antimatter production and storage are nearly impossible to disguise.",,0.39,,EP.88
