name,type,description,cost,minimum,blueprints,book,source,stats,linked,bonus,armor,passengers,mobility,speed,augmentations
Go Cycle,Vehicles,"A more robust version of a common cycle, designed for extended use on uneven terrain at speeds of at least 40 kph",Moderate,,TRUE,GC.163,,,Pilot:Groundcraft,,,,,,
Ground Car,Vehicles,A small economical ground vehicle used for intra habitat travel over roads.,Expensive,,FALSE,SW.169,,,Pilot:Groundcraft,,,,,,
Inflatable Boat,Vehicles,"When inflated (which takes 1 minute), it is 4 meters long, 2 meters wide, and half a meter deep. Can hold 750 kg of passengers and cargo.",Moderate,,TRUE,GC.164,,,,,,,,,
Large Jet,Vehicles,"A jet the size of a small 20th-century commercial airliner. Carries 150 passengers at 1,100 kph up to 40,000 km",Crazypants,,FALSE,GC.165,,,,,,,,,
Lifeboat,Vehicles,A habitat lifeboat that can carry 100 people with food and water for 8 days.,Expensive,,FALSE,PO.158,,"0,0,0,0,0,0,0,0,0,200",,-20,20/20,,Thrust Vector,,
Mars Buggy,Vehicles,"One of the most ubiquitous vehicles on Mars is the so-called Mars buggy, a four-wheeled vehicle with large balloon tires that is designed for use both on roads and on almost any terrain. Mars buggies can travel at speed of up to 110 kph on roads, 90 kph over relatively  at terrain, and up to 40 kph on jagged and rocky terrain. They can maintain these speeds because smart materials in both the suspension and the tires reshape themselves to adapt to uneven conditions and their nuclear batteries give them an effectively unlimited range. Most Mars buggies are enclosed but unpressurized. Similar vehicles are used on Luna and Titan, however, though the passenger compartments of these vehicles includes life support gear that provides the occupants with air for at least 100 hours. Buggies are powered by nuclear batteries and come in a variety of sizes, from small two-person buggies to large trucks. Mars buggies come equipped with headlights, radio boosters, and a vehicle radar system.",High,,TRUE,EP.344,,"0,0,0,0,0,0,0,0,0,150",Pilot:Groundcraft,10,30/20,6,Wheeled,8/32/110,
Martian Rover,Vehicles,"Large 8 wheeled vehicle has cramped living quarters for 6. Also features fabber, mobile lab, drone launching rack and 2 person airlock.",Expensive,,FALSE,SW.169,,,Pilot:Groundcraft,,,,,,
Martian Trike,Vehicles,A three wheeled motorcycle built for rugged Martian outback.,Moderate,,TRUE,SW.169,,,Pilot:Groundcraft,,,,,,
Methane Skiff,Vehicles,"Essentially sailboats, they come in a catamaran configuration, with two sleek, flat hulls for stability. Requires Pilot: Sailboat skill to use.",High,,TRUE,RW.194,,"0,0,0,0,0,0,0,0,0,125",,-10,5/5,6,,4/40/60,"Access Jacks, Cryonic Protection, Laser Link, Radar, Radio "
Microlight,Vehicles,"This ultra-light personal aircraft is not much more than a strut-based wing, an airframe, and an electric propeller engine. They are ideal for getting around inside large habitats with enclosed airspace.",Low,,TRUE,EP.310,,"0,0,0,0,0,0,0,0,0,30",Pilot:Aircraft,20,,1,Winged,8/40/100,
Mobile Base,Vehicles,"A mobile, self unpacking, headquarters 25m to a side for 12 morphs. It includes a lab, beds, and several high quality makers. 2hrs to un/pack.",Expensive,,FALSE,GC.165,,,,,,,,,
Mobility Frame,Exoskeletons,"A light partial exoskeleton. +4 meters per turn walking and +12 meters per turn running. Adds +20 to any roll to avoid tripping, falling, or losing balance.",Low,,TRUE,GC.165,,,,,,,,,
Neo-Cetacean Walker,Vehicles,This exoskeleton is designed for neo-cetaceans to move about in non-aquatic environments. It includes a set of arms for manipulating objects.,Moderate,,TRUE,PO.158,,"0,0,0,0,0,0,0,0,0,40",,,2/4,,Walker,,
Outsystem Hover,Vehicles,"This vehicle flies 3 meters above the ground, and its top speed is 150 kph over any terrain. They are pressurized and hold six passengers and cargo.",Expensive,,FALSE,RW.194,,"0,0,0,0,0,0,0,0,0,150",,10,30/20,6,,8/32/150,"Access Jacks, Cryonic Protection, Laser Link, Radar, Radio"
Outsystem Skimmer,Vehicles,"A shuttle that can use hydrogen, methane, or water as reaction mass, allowing easy refueling. They can carry up to 8 passengers and 12 tons of cargo.",Crazypants,,FALSE,RW.194,,"0,0,0,0,0,0,0,0,0,320",,20,20/0,8,,12/200/200,"Access Jacks, Cryonic Protection, Laser Link, Radar, Radio"
Passenger Airship,Vehicles,A massive transport that is buoyant in the Venusians atmosphere can carry up to 100 passengers and 20 tons of cargo.,Expensive,,FALSE,SW.169,,,Pilot:Aircraft,,,,,,
Passenger Balloon,Vehicles,An unpowered aircraft buoyant in the Venusians atmosphere. Primarily used by tourists and the wealthy.,High,,TRUE,SW.169,,,Pilot:Aircraft,,,,,,
Portable Plane,Vehicles,"Powered by superconducting batteries and with an exceedingly small but powerful electric motor, this light but durable propeller plane is made of smart materials that allow it to be swiftly folded up into a small portable package. Different versions are designed for  flight on Mars, Titan, or Venus, each taking 10 minutes to assemble or disassemble. The Martian version unpacks into an airplane with a wingspan of 11 m with a top speed of 250 kph and a cruising speed of 220 kph and a range of 1,300 km. The Venusian version has a wingspan of 9 m, a top speed of 200 kph and a range of 1,000 km. The version designed for use on Titan has a wingspan of 8 m and has a top speed of 200 kph and a range of 2,000 km. In all versions, the two occupants ride in an inflatable and insulated pressurized bubble with a life support system capable of providing clean air and comfortable temperatures for 20 hours on Mars and Venus, and 15 hours on Titan.",High,,TRUE,EP.343,,"0,0,0,0,0,0,0,0,0,50",Pilot:Aircraft,10,10/6,2,Winged,200/200/250,
Powersuit,Exoskeletons,"a sealed exoskeleton gives +10 to strength tests, doubles jumping distance, and +3 DV on unarmed attacks. Has food and air for 48hrs, radio booster and specs.",High,,TRUE,GC.165,,,,,,,,,
Rocket Buggy,Vehicles,"This vehicle is the most common form of medium to long distance personal transport on Luna, and is in common on most other moons and large asteroids. On these airless worlds, a rocket buggy can reach orbit and return or take a parabolic path to any destination on that moon in less than an hour. This vehicle is also regularly used to travel between habitats that are less than 30,000 km apart. The vehicle is pressurized, but is designed for short duration travel only. The seats are relatively small and the life support system contains no provisions for recycling food or water and can only support the passengers for an absolute maximum of 50 uncomfortable hours. Rockets buggies come equipped with headlights, radio boosters, and radar with a range of up to 250 km. A version of this vehicle is also used on both Mars and Titan, but here the frame has been modified to act as a lifting body, and it has a top speed in the thin Martian atmosphere of 2,500 km/hour and a range of 8,000 km on Mars. On Titan is has a top speed of 3,000 kph in the atmosphere, but it can also reach orbit.",Expensive,,FALSE,EP.343,,"0,0,0,0,0,0,0,0,0,100",,-10,24/16,4,Rocket,8/32/30000,
Rocket Pack,Vehicles,"This is a miniature metallic hydrogen rocket that the wearer straps to their back, with two rocket exhausts extending out to either side, away from the wearer's body or legs. Biomorphs and pod morphs can only safely use this vehicle when wearing a vacuum suit or some garment that is similarly heat resistant. Also, to prevent harm to the wearer, the thrust must be kept sufficiently low that it can only take off on Mars or moons with even lower gravity. A rocket pack can keep the wearer airborne for up to 15 minutes in Mars gravity, or 30 minutes on Luna, Titan, or any of the four large Jovian moons. On Mars, it has a maximum speed of 700 kph. It can be used to reach orbit and land again on Luna, Titan, and other similarly small bodies like the Jovian moons. Rocket packs are equipped with radio boosters but no other sensors or communication devices.",Low,,TRUE,EP.345,,"0,0,0,0,0,0,0,0,0,140",,-20,5/5,1,Rocket,700/700/700,
Siftrunner,Vehicles,"A mobile habitat with quarters for 6, built to withstand the extreme temperatures and radiation on Mercury's surface.",Expensive,,FALSE,SW.169,,,,,,,,,
Small Jet,Vehicles,"Methane-powered jet planes are one of the most common forms of fast transport on Mars and Venus. Similar planes are used on Titan, except that they carry both liquid methane and liquid oxygen. These jets range in size from huge vehicles the size of late 20th-century airliners to small planes designed to carry half a dozen passengers. All jets are made using smart materials, so that their wings and frames can adapt to a wide range of speeds and altitudes. One common small jet has similar versions in use on Venus, Mars, and Titan, has a single jet engine and has a life support system capable of providing air for up to 100 hours. The Venusian and Martian versions both have a top speed of 900 kph, a wingspan of 11 m, and a maximum range of 5,000 km. The version designed for Titan has a wingspan of 8 m, a top speed of 650 kph, and a range of 4,000 km. Jets are equipped with headlights, radio boosters, and radar with a range of up to 250 km.",Expensive,,FALSE,EP.343,,"0,0,0,0,0,0,0,0,0,200",Pilot:Aircraft,20,30/20,6,Winged,650/650/900,
Thruster Pack,Vehicles,"Worn for EVA duties, this thruster pack uses vectored thrust nozzles, allowing a character to maneuver in open space. This is not a jetpack and does not produce enough thrust for atmospheric movement.",Low,,TRUE,EP.345,,"0,0,0,0,0,0,0,0,0,30",,-10,4/4,1,Thrust Vector,4/20/40,
Titanian Cargo Copter,Vehicles,This massive dual-rotor helicopter takes advantage of Titan's atmosphere and gravity. It can carry 15 tons of cargo or 30 personnel.,Crazypants,,FALSE,RW.194,,"0,0,0,0,0,0,0,0,0,250",Pilot:Aircraft,,20/20,32,,4/40/150,"Access Jacks, Cryonic Protection, Laser Link, Radar, Radio"
Utility Helicopter,Vehicles,"This is a standard helicopter design from Earth. It is commonly used for cargo transport, medevac, ground/air assault, and command/control.",Expensive,,FALSE,RW.194,,"0,0,0,0,0,0,0,0,0,150",Pilot:Aircraft,10,20/10,8,Rotor,8/40/200,"Access Jacks, Cryonic Protection, Laser Link, Radar, Radio"
Venusan Hauler,Vehicles,A tracked cargo hauler designed to transport Q-morphs and equipment on the Venusians surface it has no passenger compartments.,Expensive,,FALSE,SW.169,,,,,,,,,
Hyperdense Exoskeleton,,"These powered exoskeletons are larger (roughly twice human-sized) and built for heavy-use industrial purposes, such as handling heavy/large objects. The wearer is partially encapsulated to protect them from debris and industrial accidents. Hyperdense exoskeletons provide no movement bonus, but provide a +30 bonus to strength-based tests and inflict an extra +3d10 damage and -5 AP on physical attacks.",Expensive,,FALSE,,,,Pilot:Walker,,6/12,1,Walker,,
Exowalker,Exoskeletons,"Exowalkers are minimal framework exoskeletons, primarily designed to bolster the wearer's strength and movement. They provide a +10 modifier to strength-based tests, and double the distance by which the character may jump.",Moderate,,TRUE,,,,Pilot:Walker,,2/4,1,Walker,,
Transporter,Exoskeletons,"This exoskeleton framework includes a pair of vector-thrust turbofan engines, giving the user flight capabilities in gravity and increased maneuverability in zero-G.",High,,TRUE,,,,Pilot:Aircraft,,2/4,1,Winged,,
Trike,Exoskeletons,"The trike exoskeleton is a three-wheeled personal motorcycle design, rather than a walker.",Moderate,,TRUE,,,,Pilot:Groundcraft,,2/4,1,Wheeled,,
Battlesuit,Exoskeletons,"The battle suit powered exoskeleton features a military-grade fullerene armor shell with flexible aerogel for thermal insulation and a diamond-hardened exterior designed to resist even potent ballistic and energy-based weapons. The suit also enhances the wearer's strength and mobility, applying a +10 bonus to strength-based tests, inflicting an extra +1d10 damage and AP of -2 on melee attacks, and doubling the distance by which the character may jump. Battlesuits are completely sealed to protect the wearer from environmental factors, and fitted with life support features and a maker capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. Battle suits are equipped with each an ecto, a radio booster, and sensors equal to specs. These suits protect the wearer from temperatures from -175 to 140 C.",Expensive,,FALSE,EP.344,,,Pilot:Walker,,18/18,1,Walker,,
HOPLITE Battlesuit,Exoskeletons,"HOPLITEs are an improved military version of the standard battlesuit (p. 344, Eclipse Phase). They have the same features as battlesuits with the addi- tions noted below and otherwise follow battlesuit/ exoskeleton rules.",Crazypants,,FALSE,NPC01.8,,"0,0,0,0,0,0,0,0,0,70",Pilot:Walker,,1,1,Walker,8/32/32,"360-Degree Vision, Guardian Nanoswarm, Micrograv Shoes, Tactical Network Software, Vacuum Sealing, HOPLITE Railgun, HOPLITE Seeker, HOPLITE Strike, Thrust Vector, Smartlink"
