name,shortname,type,description,cost,minimum,blueprints,source,mobility,effect,Skills,stats,conditional,armor,replaces,weapon,movement,morphs
Increased Speed,,Software,"Infomorphs already have a higher innate speed than physical morphs, but some individuals need even more speed, and specially optimized code makes that possible. This upgrade increases the user's Speed by +1. Since even basic infomorphs possess a Speed of 3, this upgrade increases the infomorph's Speed to the maximum of 4. No other Speed modifiers may be used in conjunction with this upgrade. This upgrade does not provide extra Speed for cyberbrained characters.",Expensive,,FALSE,TH.141,,,,SPD:1,FALSE,,TRUE,,,Eidolon
360-degree Vision,,Sensor,The shell's visual sensors are situated for a 360-degree field of vision.,Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Chemical Sniffer,,Sensor,"This sensor detects molecules in the air and analyzes their chemical composition. It enables Chemistry Tests to determine the presence of gases, including toxins and other fumes. It can also detect the presence of explosives and firearms.",Moderate,,TRUE,EP.311,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Lidar,,Sensor,"This sensor emits laser light and measures the reflections to judge range, speed, and image the target. See Using Enhanced Senses.",Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Nanoscopic Vision,,Sensor,"The shell's visual sensors can focus like a microscope, using advanced superlens techniques to beat the optical diffraction limit and image objects as small as a nanometer. This allows the character to view and analyze objects as small as blood cells and even individual nanobots. The synthmorph must stay relatively steady to view objects at this scale.",Moderate,,TRUE,EP.311,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Radar System,Radar,Sensor,"This sensor system bounces radio or microwaves off targets and measures the reflected waves to judge size, composition, and motion. See Using Enhanced Senses.",Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Hardened Skeleton,,Robotic Enhancement,The morph's skeleton has been laced with strengthening materials. Apply a +5 DUR and +5 SOM bonus.,High,,TRUE,EP.308,,,,"SOM:5, DUR:5",FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Heavy Combat Armor,,Robotic Enhancement,The synthmorph's frame is loaded with armor that offers protection from heavy weapons for serious combat operations. This modification is bulky and noticeable; the bot frame is encased in a heavy-duty carapace. It increases the bot's built-in Armor to 16/16. The shell's mobility systems and power output are also enhanced to deal with the extra load.,High,,TRUE,,,,,,FALSE,16/16,FALSE,,,Synthmorph
Light Combat Armor,Combat Armor,Robotic Enhancement,The synthmorph's frame is protected by armor designed for policing and security duties. This increases the bot's built-in Armor to 14/12.,Moderate,,TRUE,,,,,,FALSE,14/12,FALSE,,,Synthmorph
Articulated Gear Mount,Gear Mount,Physical Modification,"Similar to an articulated weapon mount, this mount allows a piece of modularized gear to be manipulated independent of the flexbot's limbs.",Low,,TRUE,TH.210,,,,,FALSE,,TRUE,,,Synthmorph
Articulated Weapon Mount,,Physical Modification,The Morph carries a built-on weapon. It has an wide field of fire from its articulated mount.,Moderate,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Concealed Weapon Mount,,Physical Modification,The Morph carries a built-in weapon. It has a fixed field of fire because of its concealed mount. It receives a -30 to Perception Tests to detect.,Moderate,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Extra Limbs,Extra Limb,Physical Modification,"The shell is equipped with one or more extra limbs. A character using these limbs suffers an off-hand modifier. These limbs may be arms (with hand/grippers/etc.), legs, tentacle-like, or otherwise articulated and/or prehensile. Some shells have rotational frames that allow them to move limbs around their body.",Low,,TRUE,EP.310,,,,,FALSE,,TRUE,,,Synthmorph
Fixed Weapon Mount,Weapon Mount,Physical Modification,The Morph carries a built-on weapon. It has a fixed field of fire from its fixed mount.,Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Fractal Digits,,Physical Modification,"The synthmorph has ""bush robot"" digits that are capable of splitting into smaller digits, and those smaller digits into micro digits, and so on down to the micrometer scale, allowing for ultra-fine manipulation. Apply a +20 COO modifier where such fine manipulation is a factor (such as detailed repair work). The bot must have functioning nanoscopic vision to get this bonus.",Moderate,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Hidden Compartment,,Physical Modification,"The shell has a concealed aperture for a shielded interior compartment, ideal for storing valuables or smuggling contraband. Apply a -30 modifier to detect this compartment either manually or with sensor scans.",Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Magnetic System,,Physical Modification,"A magnetic system allows the shell to cling to most ferrous materials. This enables the character to walk in zero-G situations by magnetically adhering surfaces, hang upside down, and hold onto devices without letting them drop or drift away. The shell receives a +30 modifier whenever maintaining a magnetic hold on something.",Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Modular Design,,Physical Modification,"This shell is designed to lock together with similar modular morphs in different architectural patterns to create larger gestalt forms. When united with other modules, the group is treated as a single unit/morph, with shared capabilities. If damaged and then separated, damage and wounds are distributed evenly between modules; uneven amounts are allocated randomly. The exact capabilities of different shapes depends on the composition, and is largely left in the gamemaster's hands.",High,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Pneumatic Limbs,,Physical Modification,"The limbs are equipped with pneumatic cylinder systems that can generate up to 1,500 pounds of thrust. This allows the shell to push off and make impressive jumps (a synth of human size/weight can leap over 2 meters up). Apply a +20 to Freerunning Tests. A pneumatic limb used to strike an opponent in unarmed combat inflicts an extra 1d10 damage.",Low,,TRUE,EP.311,,+1d10 DV for unarmed combat,Freerunning 20,,FALSE,,TRUE,,,Synthmorph
Shape Adjusting,,Physical Modification,"This shell is made from smart materials that allow it to alter its shape, altering its height, width, circumference, and external features, while retaining the same mass. This modification is typically employed to reshape the morph into special configurations adapted to specific tasks (for example, lengthening to crawl through a tunnel, widening its base for stability, expanding to reach out and attach to multiple access point simultaneously, and so on). This mod also allows the morph to change its features for disguise purposes; apply a +30 modifier to Disguise Tests.",High,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Structural Enhancement,,Physical Modification,"This modification bolsters the shell's structural integrity, boosting its ability to take damage. Increase Durability by 10 and Wound Threshold by 2.",Moderate,,TRUE,EP.311,,,,COG:10,FALSE,,TRUE,,,Synthmorph
Swarm Composition,,Physical Modification,"The shell is not a single unit but a swarm of hundreds of insect-sized robotic microdrones. Each individual ""bug"" is capable of crawling, rolling, hopping several meters, or using nanocopter fan blades for airlift. The cyberbrain, sensor systems, and implants are distributed throughout the swarm. Though the swarm can ""meld"" together into a roughly child-sized shape, the swarm is incapable of tackling physical tasks like grabbing, lifting, or holding as a unit. Individual bugs, however, are quite capable of interfacing with electronics. Swarms cannot carry most gear or wear armor, and may not make strength-based SOM-linked skill tests. For combat purposes, use the same rules as given for nanoswarms. Damage and wounds are reflected as damaged/massacred bugs. The swarm may be ""healed"" by manufacturing more bugs.",High,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Swiveling Weapon Mount,,Physical Modification,The Morph carries a built-on weapon. It has a limited field of fire from its swiveling mount.,Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Synthetic Mask,,Physical Modification,"The synthmorph is equipped with a realistic outer casing of faux-skin and carefully sculpted to pass as a biomorph (perhaps even a particular person). The morph can cry, spit, have sex, and will even bleed if cut. Only a detailed physical examination or a radar, teraherz, or x-ray scan will detect the synthmorph's true nature, and even then such exams/scans suffer a -30 modifier.",Moderate,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Telescoping Limbs,,Physical Modification,The shell's limbs can either be retracted completely inside it's frame and/or extended for extra length (usually up to 1 or 2 meters extra). Telescoping limbs may give the shell a reach advantage in melee combat.,Low,,TRUE,EP.311,,,,,FALSE,,TRUE,,,Synthmorph
Adrenal Boost,,Physical Augmentation,"This adrenal gland enhancement supercharges the character's adrenal response to situations that invoke stress, pain, or strong emotions (fear, anger, lust, hate). When activated, the concentrated burst of norepinephrine accelerates heart rate and blood flow and burns carbohydrates. In game terms, this allows the character to ignore the -10 modifier from 1 wound and temporarily increases REF by +10 (also boosting REF-linked skills and Initiative). These modifiers apply until the character has calmed down (if the character also has endocrine control, then adrenal boosts can be activated and deactivated at will, and the negated wounds are cumulative).",High,,TRUE,EP.302,,"+10 REF, Ignore 1 wound",,REF:10,TRUE,,TRUE,,,"Biomorph,Pod,Uplift"
Bioware Claws,Claws,Physical Augmentation,"The morph has retractable claws like those of a cat. These claws do not interfere with the character's manual dexterity and are razor sharp. However, they are relatively small and only do 1d10 + 1 + (SOM / 10) damage, with an AP of -1. As a result, they are legal in almost all habitats and are considered tools as much as weapons.",Low,,TRUE,EP.304,,,,,FALSE,,FALSE,Bioware Claws,,"Biomorph,Pod,Uplift"
Carapace Armor,,Physical Augmentation,Carapace armor combines bioweave armor with hard but flexible plates of a chitin-ceramic hybrid material modeled on the microscopic structure and texture of arthropod exoskeletons. This armor is obvious and has a somewhat crocodilian or insectoid appearance (character's choice). The morph is completely hairless as well. This provides an Armor rating of 11/11. This armor is not cumulative with worn armor.,Moderate,,TRUE,,,,,,FALSE,11/11,TRUE,,,"Biomorph,Uplift,Pod"
Chameleon Skin,,Physical Augmentation,"The morph's skin is augmented with complex chromatophores so that it changes color like the skin of a chameleon or an octopus. The morph can match the appearance of almost any color and most patterns. This provides a +20 modifier to Infiltration Tests to avoid being seen or noticed, as long as the character is stationary or not moving faster than a slow walk. The character must also be nude or wearing smart clothing or a chameleon cloak of the same color and pattern. If incompletely camouflaged, or if moving faster, reduce the modifier to +10. In addition to blending in, the character can also consciously change the color and pattern of their skin to deliberately stand out (+20 on Perception Tests to notice) or simply to produce attractive or interesting colors or patterns.",Low,,TRUE,EP.303,,,Infiltration 20,,TRUE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Circadian Regulation,,Physical Augmentation,"The morph only requires 2 hours of sleep to maintain health and function at peak mental capacity. The character dreams constantly while asleep and can both fall asleep and wake up almost instantly. In addition, the character can easily and with no ill-effects shift to a 2-day cycle, where they are awake for 44 hours and sleep for 4.",Moderate,,TRUE,EP.304,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Clean Metabolism,,Physical Augmentation,"The morph's symbiotic bacteria, gut flora, and glands have been genetically engineered to keep the morph ""clean."" The morph also produces smart antibiotics that prevent the growth of any bacteria or yeasts in it or on its skin. As a result, the morph is completely immune to infections, dental cavities, and bad breath, its sweat has no scent, and the morph's efficient digestion produces somewhat less solid waste and less odorous chemicals.",Moderate,,TRUE,EP.304,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Cyberclaws,,Physical Augmentation,"The bones on the back of the morph's hand are bonded to smart material claws. These claws can extend through concealed ports in the morph's skin and extend 6 inches past the morph's knuckles. If combined with eelware, they can also inflict electric shocks. Likewise, cyberclaws can also deliver poison or nanotoxins secreted from a poison gland or implanted nanotoxins.",Low,,TRUE,EP.307,,,,,FALSE,,FALSE,Cyberware Claws,,"Biomorph,Synthmorph,Pod,Uplift"
Cyberlimb,,Physical Augmentation,"In an age when arms and legs can easily be regrown, many people consider cybernetic prostheses to be vulgar and distasteful. The Scum and others, however, treat them as iconic symbols of self-expression. Standard replacement cyberlimbs function the same as their biological equivalents, though that particular limb receives a +3/+3 Armor bonus when targeted specifically (this bonus does not apply to synthmorphs). Cyberlimbs may be masked to look real (see Synthetic Mask), and may also feature small compartments for hiding/storing small objects.",Moderate,,TRUE,EP.307,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Cyberlimb Plus,,Physical Augmentation,"More extravagant cyberlimb models are also available, though they require more severe body alteration to accommodate. These limbs apply a +5 SOM bonus per limb (maximum +10). They may be replacement limbs or ""extra"" limbs anchored in the body's skeletal frame. These cyberlimbs may not be masked.",High,,TRUE,EP.308,,,,SOM:5,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Digestive Symbiotes,,Physical Augmentation,"The morph can survive on virtually any organic matter, be it grass, sawdust, or the sludge from a habitat's recycling system. Digestive symbiotes also allow the consumption of rotten or spoiled food; in combination with basic biomods, they prevent normal foodborn illnesses. The symbiotes don't eliminate toxins, however, nor do they make the stuff taste any better. At the gamemaster's discretion, certain substances may requires a WIL x 3 Test to eat.",Low,,TRUE,TH.198,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Drug Gland,,Physical Augmentation,The morph has specially-tailored glands designed to produce specific hormones or chemicals and release them in the body. The character has control over these glands and can release the chemicals at will. Each type of drug gland is considered a separate enhancement. [One Category Higher Than Drug],Variable,,FALSE,EP.304,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Eelware,,Physical Augmentation,"Derived from electric eel genetics, a character can have eelware implanted so that it connects to a network of bioconductors in the hands and feet (or other limbs), allowing the character to generate stunning shocks with a touch. Eelware inflicts shock damage (p. 204, EP) exactly like a pair of shock gloves. Eelware can also be used to power implants and specially designed handheld devices by touch.",Low,,TRUE,EP.304,,,,,FALSE,,FALSE,Eelware,,"Biomorph,Pod,Uplift"
Efficient Digestion,,Physical Augmentation,"The character uses food and water more efficiently, to approximately 20% of normal caloric expenditure. The character functions normally by eating and drinking only once every five days. They can survive forty days without food and twenty-five days without water, though the effects of starvation become noticeable after ten days without food or water. These modifications come at a price, though, as physical strength and coordination are reduced in order to improve caloric usage efficiency: the character takes a -5 penalty to SOM and COO. This augmentation is not compatible with the personal power plant implant.",High,,TRUE,TH.197,,,,"COO:-5, SOM:-5",FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Emotional Dampers,,Physical Augmentation,"This low-cost alternative to endocrine control allows the user to voluntarily damp their morph's emotional responses and various non-verbal cues like pupil dilation, eye movement, or vocal tone. Using this augmentation allows the user to lie and conceal their emotions in such as way as to fool the keenest observer; apply a +30 modifier to Deception and Impersonation Tests. This modification does not affect methods of detecting lies and emotions that involve reading the character's neural state, including psi-gamma sleights. However, this augmentation damps out all emotional responses and so causes the character to be less persuasive in real-time personal interactions, imposing a -10 modifier to other Social skill tests like Persuasion. Characters can turn this augmentation on or off at will.",Low,,TRUE,EP.304,,,"Deception 30, Impersonation 30, Persuasion -10",,TRUE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Endocrine Control,,Physical Augmentation,"This augmentation modifies the morph's endocrine system, giving the character fine control over their hormone output. This allows the character to completely control their appetite and emotions and to regulate pain. They receive a +30 modifier against the effects of hunger, fear, and any forms of emotional manipulation, such as the Drive Emotion sleight. This augmentation also allows character to lie with perfect conviction and to completely fool all methods of lie detection that do not rely on the target's neural output; apply a +20 modifier to Deception Tests. It also allows the character to remain awake for 48 hours without penalty, but after this time the character begins experiencing normal fatigue. Finally, the ability to regulate pain reception allows the character to ignore the -10 modifier from 1 wound.",High,,TRUE,EP.304,,"Ignore penalties from 1 wound, +30 to ignore hunger, fear, emotional manipulation",Deception 20,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift,Eidolon"
Enhanced Pheromones,,Physical Augmentation,"The morph's biochemistry has been altered so that it produces enhanced pheromonal signals that subconsciously affect the behavior of other humans in the vicinity. These pheromones make the character more attractive and trustworthy to the target; apply a +10 modifier to appropriate Social skill tests, such as Persuasion. This augmentation only affects characters who can smell the pheromones, and it does not affect uplifts or xenomorphs.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Enhanced Respiration,,Physical Augmentation,"By boosting both lung efficiency and the blood's oxygen-carrying capacity, the character can live comfortably in both high and low pressure environments, from 0.2 atmospheres to 5 atmospheres, with no dizziness or need for gradual decompression. In addition, the character can hold their breath for up to 30 minutes when performing minimal activity or for up to 10 minutes while performing highly strenuous activity.",Low,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Gills,,Physical Augmentation,"The morph's lung tissue has been adapted to function as gills, allowing the morph to breathe both air and water, as long as the water is not toxic or too stagnant. Characters with this augmentation breathe in water and then expel the water through slits just underneath their lowest pair of ribs that seal when the character is not underwater.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Grip Pads,,Physical Augmentation,"The morph possesses specialized pads on its palms, lower arms, shins, and the bottoms of its feet. Designed to emulate the pads on gecko feet, characters can support themselves on a wall or ceiling by placing any two of these pads against any surface not made from a material specially designed to resist this augmentation. Characters can climb any surface and move easily across ceilings that can support their weight. Apply a +30 modifier to Climbing Tests. The pads must be free to touch the surface the character is climbing (no gloves). The nature of these pads is obvious to anyone looking at them, but they do not impair the character's sense of touch or manual dexterity. If combined with the vacuum sealing augmentation, the character can even stick to surfaces in the vacuum of space.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Hand Laser,,Physical Augmentation,"The morph has a weapon-grade laser implanted in its forearm, with a flexible waveguide leading to a lens located between the first two knuckles on the morph's dominant hand. The laser is powered by a small nuclear battery located in the morph's torso, good for 50 shots before it must be recharged like other beam weapon batteries.",Moderate,,TRUE,EP.308,,,,,FALSE,,TRUE,Laser Pulser,,"Biomorph,Synthmorph,Pod,Uplift"
Heavy Bioweave Armor,,Physical Augmentation,"Heavy bioweave armor involves lacing the morph's skin with a denser and thicker network of the same fibers. The morph's skin becomes thicker and somewhat less flexible except at the joints. The morph's skin also has an unusually smooth look, and a distinctively smooth and tough-feeling texture. This provides an Armor rating of 3/4 without decreasing the morph's mobility. The character's sense of touch, however, is significantly reduced (-20 modifier) except on their hands, feet, and face. This armor is cumulative with worn armor.",Moderate,,TRUE,,,,,,FALSE,3/4,FALSE,,,"Biomorph,Uplift,Pod"
Hibernation,,Physical Augmentation,"The character can voluntarily reduce the morph's metabolism to the point that the morph requires only 5% of the normal amount of food, water, and air. The character appears to sink into a deep sleep, but can maintain a dim awareness of both touch and sound and so can be easily awakened. Entering or leaving this state requires 3 minutes where the character is relatively helpless. With sufficient air, characters can safely hibernate for up to 40 days without food or water.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Light Bioweave Armor,Bioweave Armor,Physical Augmentation,"Bioweave armor involves lacing the morph's skin with artificial spider silk biological fibers. This provides an Armor rating of 2/3 without changing the appearance, texture, or sensitivity of the morph's skin. This armor is cumulative with worn armor.",Low,,TRUE,,,,,,FALSE,2/3,FALSE,,,"Biomorph,Uplift,Pod"
Muscle Augmentation,,Physical Augmentation,The morph's muscle mass has been enhanced and toned and myofibers strengthened. Apply a +5 modifier to SOM. (included),High,,TRUE,EP.305,,,,SOM:5,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Neurachem (Level 1),Neurachem,Physical Augmentation,"This bioware modification enhances the character's chemical synapses and juices their neurotransmitters, drastically speeding up neural connections. Neurachem can be mentally activated or triggered by charged emotions. Level 1 neurachem increases the character's Speed stat by +1, with no side effect.",High,,TRUE,EP.305,,,,SPD:1,TRUE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Neurachem (Level 2),,Physical Augmentation,"This bioware modification enhances the character's chemical synapses and juices their neurotransmitters, drastically speeding up neural connections. Neurachem can be mentally activated or triggered by charged emotions. Level 2 raises the Speed stat by +2, but each time it is used the character suffers a nervous system fatigue hangover for 1 hour after the boost wears off (apply a -20 modifier to all actions).",Expensive,,FALSE,EP.305,,,,SPD:2,TRUE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
