name,type,description,cost,minimum,blueprints,source,bonuses,durability,armor,mobility,speed,augmentations,skills,ai
Saucer,Robots,"These disc-shaped drones are lightweight and quiet. They are typically launched by throwing them like a frisbee, after which they propel themselves with an ionic drive. Saucers make excellent ""eye in the sky"" monitors and scouts.",Low,,TRUE,EP.345,,25,2/2,Ionic,8/40/200,"360-Degree Vision, Access Jacks, Chameleon Skin, Enhanced Hearing, Enhanced Vision, Radar",,
Scorcher,Robots,"Scorchers are a tank-like mining shell used by both corporate mining operations and nomadic sifters on Mercury. Scorchers are designed to operate on Mercury’s terminus and night-side, but they can also survive the planet’s day-side extreme heat conditions. Due to their extensive heat and radiation shielding and cooling systems, scorchers are heavy and slow. Four sturdy legs carry their bulky 3-meter frames, while two manipulator arms allow the morph to carry and manipulate tools. Four additional tool-arm sockets allow for customized equipment such as shovels, drills, pneumatic hammers, and similar mining/construction tools to be attached.",Expensive,,TRUE,SW.170,,250,,Walker,2/4/04,"Access Jacks, Enhanced Vision, Extra Limbs:6–10, Extreme Heat Shielding, Industrial Armor, Radar, Radiation Shielding, Sonar, Wrist-Mounted Tools",,
Servitor,Robots,"Servitors are the most common robot, acting as cooks, janitors, universal helpers, movers, and personal aides. Every home has one, if not several. Servitors are intentionally built in non-humanoid forms so as not to confuse them with common synthmorphs and in order to defuse bad feelings at ordering them around. However, they all have some form of ""face"" to interact with, so as not to be too machine-like.",Low,,TRUE,EP.346,,30,4/4,Walker,4/20/20,"Access Jacks, Extra Limbs:4",,
Skimmers,Robots,"Drones that mine the atmospheres of gas giants for needed elements, usually H3.",Expensive,,FALSE,PO.158,,,,,,,,
Sky Mote,Robots,Mini-sized aerostats designed to keep position over an area and act as a relay point for a mote mesh,Trivial,,TRUE,GC.163,,5,,Microlight,4/20/20,"360-Degree Vision, Access Jacks, Enhanced Vision, Laser Link",,
Sky Mote Swarm,Robots,50 mini-sized aerostats designed to keep position over an area and act as a relay point for a mote mesh,Moderate,,FALSE,GC.163,,,,,,,,
Stealth Drone,Robots,A small plane used to observe targets from overhead.,Expensive,,FALSE,PO.158,,40,4/4,Winged,8/40/200,"Access Jacks, Enhanced Vision, Image Recognition Software, Laser Link, Lidar, Radar, T-Ray Emitter",,
Surveillance Aerostat,Robots,"These Aerostats are equipped with sensors and surveillance packages, serving as an eye in the sky. They are also used for exploration and mapping.",High,,TRUE,RW.192,,20,,Microlight,4/20/100,"Access Jacks, 360-Degree Vision, Enhanced Vision, Image Recognition Software, Laser Link, Radar, T-Ray Emitter",,
Thumper,Robots,"Seismic sensor motes and a weight to be ""thumped"" on the ground. AI has Academics: Geology 60 and Profession: Seismic Surveys 60. Satellite scans apply a +30.",Moderate,,TRUE,GC.163,,30,4/4,Tracked,4/20/20,"Access Jacks, Enhanced Hearing, Geophone Sensors, Headlights, Radar, Weight",,
Surveillance Wobblycat,Robots,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms.",Expensive,,FALSE,,,15,4/4,Walker,12/60/60,"360-Degree Vision, Access Jacks, Chameleon Coating, COT Tool, Enhanced Hearing, Enhanced Vision, Grip Pads, Lidar, Radar, Radar Absorbent, T-Ray Emitter, Wobblycat AI",,
Explosive Wobblycat,Robots,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms.",Expensive,,FALSE,,,15,4/4,Walker,12/60/60,"Superthermite Charge, Thermobaric Missile:Detonates internally, Wobblycat AI",,
Nonlethal Wobblycat,Robots,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms.",Expensive,,FALSE,,,15,4/4,Walker,12/60/60,"Seeker Pistol, Gas Micromissile:10, Overload Micromissile:10, Splash  Micromissile:10, Wobblycat AI",,
Zephyr,Robots,"Medium-sized winged flyers, capable of reconnoitering over long distances quickly. Essentially small planes launched by throwing them.",Low,,TRUE,GC.163,,40,4/4,Winged,8/40/200,"Access Jacks, Enhanced Vision, Image Recognition Software, Laser Link, Lidar, Radar, T-Ray Emitter",,
