Title,Parent,Shortname,Icon,Description,Menu,Source
Drugs,Substances,Drugs,pill,"The drugs described here are usually (but not always bene cial), and are typically taken intentionally. Drugs and chemicals used offensively are described under Chemicals and Toxins. Note that the drugs here are just a representative sampling. There are thousands if not millions of drugs in circulation in Eclipse Phase—gamemasters are encouraged to introduce their own, using these as guidelines.",FALSE,EP.318
Nanodrugs,Substances,Nano,pill,Nanodrugs are temporary nanobot infestations that apply a specific effect.,FALSE,EP.321
Narcoalgorithms,Substances,Algorithms,pill,"Narcoalgorithms are software programs that simulate the effects of drugs on biological bodies. Almost all bio, chemical, and nano drugs can be replicated as narcoalgorithms, with corresponding effect (gamemaster discretion). Standard duration is 3 hours. Addiction to narcoalgorithms is considered mental. Narcoalgorithms may be run by infomorphs, egos encased in cyberbrains (pods and synthmorphs), simulmorphs, and even AIs.",FALSE,EP.323
Chemicals,Substances,Chems,chemical-drop,,FALSE,EP.323
Toxins,Substances,Toxins,poison-bottle,"Chemical warfare involves using the toxic properties of biological and chemical substances to kill, injure, or incapacitate an enemy. Note that an antidote can be constructed for most toxins if a sample is acquired and an appropriate Medicine or Academics Test is made. This is considered a Task Action with a timeframe of 1 hour. These toxins only affect biomorphs; synthmorphs are immune.",FALSE,EP.324
Nanotoxins,Substances,Nanotoxins,poison-bottle,,FALSE,EP.324
Pathogens,Substances,Pathogens,biohazard,"A pathogen is an infectious biological agent that causes disease or illness to its host. While natural pathogens rarely strive to kill their hosts, germ warfare programs revived during the Fall—or instigated by the TITANs—sought to modify and use pathogens as a weapon of war. The ideal characteristics of lethal biological agents are high infectivity, high potency, availability of vaccines, and delivery as an aerosol. Most biomorphs are immune to standard pathogens thanks to their basic biomods, and medichines will protect against most others. However, even these defenses may not protect against diseases left by the TITANs or a new terrorist cell’s biowar bug. It is largely recommended that pathogens be handled as a plot device, rather than an active threat to the characters. Pathogens have no effect on synthmorphs.",FALSE,EP.324
Psi Drugs,Substances,Psi,pill,"Research into the Watts-MacLeod strain has resulted in several exceptional breakthroughs involving the creation of psi-impacting drugs. Each of these drugs is in the experimental stage, but they are already finding some use among Firewall and similar secretive groupings.",FALSE,EP.325
Everyday Technology,,Everyday,briefcase,The following devices are all exceptionally common and can be acquired in almost any habitat. Almost everyone in Eclipse Phase either owns these devices or knows several people who do.,FALSE,"EP.325, GC.155"
Nanotechnology,,Nano,materials-science,"Nanotechnology is the precise manipulation of matter at the atomic level, typically using millions of microscale nanomachines. Nanotechnology transformed manufacturing, enabling new techniques and materials. The advent of nanofabrication—building objects from the molecular level up—transformed economies, allowing people to simply manufacture whatever they needed from raw materials. Nanotechnology is still a growing  field, however, and has its limitations. While the TITANs unleashed self-replicating nanoswarms with the ability to transform or destroy anything through the power of geometric growth, such technology remains far beyond transhumanity’s grasp.",FALSE,EP.326
Basic Nanotech,Nanotechnology,Basic,materials-science,"Basic nanotechnology is exceedingly widespread and used throughout the solar system, serving as the primary method of manufacturing for decades. The nanobots of basic nanotech are con ned to delicate and specially maintained environments like the insides of cornucopia machines or healing vats and cannot operate elsewhere.",FALSE,EP.326
Advanced Nanotech,Nanotechnology,Advanced,materials-science,"Advanced nanotechnology includes more recent developments. Like basic nanotech, advanced nanotechnology cannot self-replicate but the nanobots can function normally in most environments and are highly resistant to bacterial attacks and other environ- mental problems. Typical advanced nanotech consists of a generator—known as a “hive”—that produces nanobots as long as it is supplied with raw materials. Every such hive also includes a miniature disassembly unit and/or specialized nanomachines that collect raw materials for the generator. These hives produce nanobot swarms that are set loose to perform some function in the world.",FALSE,EP.326
Smart Animals,,Animals,rabbit,These partially uplifted and bioengineered animals have rudimentary intelligence and limited communication skills. They make for fine companions and helpers.,FALSE,"EP.330, GC.157"
Alien Relics,,Relics,Cube-force,"Though functional alien technology is exceptionally rare, a few items have been discovered that are even available to gatecrashers or lucky explorers who come across their own.",FALSE,GC.165
Scavenger Tech,,Scavenging,crowbar,"This technology is often employed by gatecrashers, space scavengers, and Firewall teams during missions. ",FALSE,EP.330
Exploration Gear,Scavenger Tech,Exploring,crowbar,Most of these items end up in the arsenal of every gatecrashing team.,FALSE,GC.155
Xenoarcheology Gear,Scavenger Tech,Xeno,crowbar,These items are useful when digging up the ruins of dead civilizations.,FALSE,GC.160
Services,,Services,money-stack,,FALSE,EP.330
Software,,Software,computing,,FALSE,EP.331
Programs,Software,Programs,computing,These programs can be run on any computerized device.,FALSE,EP.331
AIs,Software,AIs,computing,"Every character starts with a personal muse for free. Many devices also come with pre-installed AIs, capable of helping the user, responding to commands, or even operating the device on their own. Unless otherwise noted, these AIs have aptitudes of 10 and one Language skill at 80. These AIs may also be equipped with skillsofts.",FALSE,EP.331
Scorchers,Software,Scorchers,computing,"Scorchers are damaging neurofeedback programs used to torment hacked cyberbrains. To utilize a scorch program, the intruder must beat the defending Ego in an Opposed Infosec Test. The –30 modifier for cyberbrain hacking applies to the attacker.",FALSE,EP.332
Survival Gear,,Survival,caduceus,"The following gear is often critical to the survival of soldiers, spies, criminals, gatecrashers, emergency service personnel, and others who regularly venture into unsafe or unfamiliar regions.",FALSE,EP.332
Vacsuum Suits,Survival Gear,Suits,space-suit,"Most vacuum suits are skin-tight garments that use the pressure of their advanced smartfabrics on the wearer’s body to resist vacuum. When the wearer is in a breathable atmosphere, the smartfabric also loosens the suits to serve as ordinary clothing or be easily put on or taken off. In all cases, the suits can become skin-tight within 3 Action Turns. All vacsuits contain advanced rebreather units capable of maintaining a breathable atmosphere for several hours or days.",FALSE,EP.332
Weapons,,Weapons,crosshair,"A wide range of weapons are available in Eclipse Phase, from the primitive to the technologically advanced.",TRUE,EP.334
Melee Weapons,Weapons,Melee,brass-knuckles,Melee weapons are those wielded by hand (or foot) in melee combat.,FALSE,EP.334
Kinetic Weapons,Weapons,Kinetic,walther-ppk,"Kinetic weapons damage the target by ring a hard impact projectile at high-velocities. Slugthrowers have evolved from the mechanical rearms of the early 21st century, however, and now fall into two categories: chemical rearms and railguns. Though their mechanisms for ring are different, they are roughly similar in effect. Railguns have a higher penetration and inflict more damage, which is offset by more limited ammunition choices. While modern beam weapons have their uses, they rarely match the punch of kinetic weapons, therefore slugthrowers are still perceived as the most versatile and effective weapon system.

Kinetic weapons are constructed from lightweight, reinforced plastoceramic materials, which are easily produced even without nanofabrication. By default, modern kinetic weapons are ambidextrous but more importantly feature safety and smartlink systems (p. 343) that automatically connect to the wielder’s mesh inserts for ring assistance, target recognition, and tactical networking.",FALSE,EP.335
Beam Weapons,Weapons,Beam,ray-gun,"Beam weapons is a broad category for a number of electromagnetic weapons with a wide range of effects. With a few exceptions, energy weapons are primarily used for less-than-lethal purposes, designed to impair the target rather than kill it. Their poor performance against armor, lesser ability to damage targets, and high power requirements make them less versatile than kinetic weapons. All beam weapons come with built-in safety and smartlink systems (p. 342).",FALSE,EP.338
Seekers,Weapons,Seekers,missile-pod,"Seekers are a combination of automatic grenade launcher, micromissile, coilgun, and smart munitions technology. Unlike traditional launchers of the past, miniaturization allows the manufacture of seeker micromissile launchers in personal weapon sizes. Seeker rounds are red at high-velocity via rings of magnetic coils, after which the micromissile or minimissile uses scramjet technology to propel itself and maintain high velocities over great distances.",FALSE,EP.339
Explosives,Weapons,Explosives,grenade,"Grenades and seeker missiles come in similar muni- tions packages and with similar trigger mechanisms, though their packaging, physical form, and methods of application differ.

Grenades are available in standard form or as microgrenades. Similarly, missiles are available in standard, minimissile, or micromissile sizes. Listed costs are for 10 grenades/missiles.",FALSE,EP.341
Ammunition,Weapons,Ammo,bullets,"Ammunition is de ned by its various types (standard, gel, APDS, etc.) and by the class of gun (light pistol, heavy pistol, SMG, etc.). For simplicity, each gun can trade ammunition with another gun of its class, though ammunition for firearms and railguns is not exchangeable. For example, all railgun SMGs can share ammo.",FALSE,
Spray Weapons,Weapons,Spray,aerosol,"Spray weapons blast their ammunition outwards in a widening cone, allowing them to strike several targets at once. By default, spray weapons are equipped with safety and smartlink systems.",FALSE,EP.341
Exotic Ranged Weapons,Weapons,Exotic Ranged,boomerang,These weapons are either rare or distinctly separate from other weapons types.,FALSE,EP.334
Exotic Melee Weapons,Weapons,Exotic Melee,boomerang,These weapons are either rare or distinctly separate from other weapons types.,FALSE,
Weapon Accessories,Weapons,Mods,gear-hammer,,FALSE,EP.342
Vehicles,,Vehicles,,"Almost all of the vehicles in current use, including all of the vehicles listed here, have built-in AIs capable of piloting the vehicle under almost all circumstances. In most cases, passengers simply state their destination and the vehicle takes them there. Manual piloting is primarily used in emergencies or by people who prefer the exotic thrill of controlling their own vehicle.",FALSE,"EP.343, GC.160"
Aircraft,Vehicles,Aircraft,jet-fighter,"On Mars, Venus, and within large open-space habitats like O’Neil cylinders, aircraft of various kinds see regular use. This includes modern version of rotorcraft (helicopters, autogyros, tilt-rotors), fixed-wing planes, and zeppelins and other lighter-than-air craft. These are typically propelled by turbofan or jet engines, rotors, or vectored thrust.",FALSE,EP.343
Exoskeletons,Vehicles,Exos,robot-golem,"Exoskeletons are powered mechatronic skeleton frameworks worn by a person. Servo-hydraulic joints allow the exoskeleton to be maneuvered by mimicking the wearer’s own movements, as well as enhancing their strength. Exoskeletons may also be piloted electronically. A character wearing an exoskeleton (other than the trike or transporter) maneuvers as normal, because the exoskeleton is like an extension of their own body. A character jamming an exoskeleton remotely uses Pilot: Walker skill (except for the trike and transporter).",FALSE,EP.343
Groundcraft,Vehicles,Ground,jeep,"In Eclipse Phase, trains and bicycles remain the most common form of ground transportation, especially on habitats. In larger habitats and on moons and planets, cycles and cars are used as well.",FALSE,EP.343
Personal Vehicles,Vehicles,Personal,scooter,"These one-person movement aids primarily are used in space, but do not count as spacecraft per se.",FALSE,EP.343
Robots,Vehicles,Robots,robot-golem,"Robots are a common sight and accepted fact of daily life within Eclipse Phase. Numerous varieties exist, from robopets to mechanical workers to warbots. If a job can be done more cheaply (and sometimes safely) by a bot, it usually is. The robots listed here are not generally used as synthetic shells by transhuman egos, often for cultural reasons (sleeving a case is bad enough, sleeving a creepy is just ... wrong), and they are not equipped to be sleeved into (though they may be jammed; see p. 196). Any of these bots may be modi ed for use as a synthetic morph, however, by adding a cyberbrain system.",TRUE,"EP.343, GC"
Spacecraft,Vehicles,Space,space-shuttle,"Though egocasting is a common method of personal transport and it’s often easier to simply transmit the specifications for various goods and to allow nano- factories to create duplicates, spacecraft play an important role in the solar system, carrying both passengers and valuable cargo. Both in terms of materials and propulsion, spacecraft in the post-Fall era are far superior to the primitive vessels used in the 20th and early 21st centuries, but they are still based on the same principles.",FALSE,EP
Morphs,,Morphs,,"Eclipse Phase’s setting dictates that a distinction must be made between a character’s ego (their ingrained self, their personality, and inherent traits that perpetuate in continuity) and their morph (their ephemeral physical—and sometimes virtual—form). A character’s morph may die while the character’s ego lives on (assuming appropriate backup measures have been taken), transplanted into a new morph.",TRUE,EP
Biomorphs,Morphs,Bio,muscular-torso,"Biomorphs are fully biological sleeves (usually equipped with implants), birthed naturally or in a flexowomb, and grown to adulthood either naturally or at a slightly accelerated rate.",FALSE,EP
Pods,Morphs,Pods,cyborg-face,"Pods (from “pod people”) are vat-grown, biological bodies with extremely undeveloped brains that are augmented with an implanted computer and cybernetics system. Though typically run by an AI, pods are socially unfavored in some stations, used as slave labor in others, and even illegal in some areas. Because pods underwent accelerated growth in their creation and were mostly grown as separate parts and then assembled, their biological design includes some shortcuts and limitations, offset with implants and regular maintenance. They lack reproductive capabilities. In many habitats, their legal status is a hotly contested issue.",FALSE,EP
Synthmorphs,Morphs,Synth,android-mask,"Synthetic morphs are completely artificial/robotic. They are usually operated by AIs or via remote control, but the lack of available biomorphs after the Fall meant that many infugees resorted to resleeving in robotic shells, which were also cheaper, quicker to manufacture, and more widely available. Nevertheless, synthmorphs are viewed with disdain in many habitats, an option that only the poor and desperate accept to be sleeved in. Synthetic morphs are not without their advantages, however, and so are commonly used for menial labor, heavy labor, habitat construction, and security services. ",FALSE,EP
Uplifts,Morphs,Uplifts,octopus,These custom biological morphs are available only to uplifted creatures.,FALSE,EP
Eidelons,Morphs,Eidelons,artificial-intelligence,"The basic infomorph shell is a software mind-emulation package that runs an ego. The default infomorph is much like a digital version of a flat, in that it does not enjoy the cognitive or other aptitude bonuses common to other physical morphs. Other varieties of infomorph shells exist, however. Known as eidolons, these digital morphs include routines that bolster an ego’s innate capabilities and often come equipped with pre-installed plug-ins and upgrades. ",FALSE,TH
Flexbots,Morphs,Flexbots,jigsaw-box,Shape-changing synthmorphs capable of joining together with other flexbots in a modular fashion to create larger shapes.,FALSE,EP
