NAME,TYPE,Stats,Skills,Armor,Stackable,Aptitudes,Blueprints,Cost,Minimum,Description,Book,Page
Portable Plane,Vehicles,,,,,,TRUE,High,,"Powered by superconducting batteries and with an exceedingly small but powerful electric motor, this light but durable propeller plane is made of smart materials that allow it to be swiftly folded up into a small portable package. Different versions are designed for  flight on Mars, Titan, or Venus, each taking 10 minutes to assemble or disassemble. The Martian version unpacks into an airplane with a wingspan of 11 m with a top speed of 250 kph and a cruising speed of 220 kph and a range of 1,300 km. The Venusian version has a wingspan of 9 m, a top speed of 200 kph and a range of 1,000 km. The version designed for use on Titan has a wingspan of 8 m and has a top speed of 200 kph and a range of 2,000 km. In all versions, the two occupants ride in an inflatable and insulated pressurized bubble with a life support system capable of providing clean air and comfortable temperatures for 20 hours on Mars and Venus, and 15 hours on Titan.",EP,343
Powersuit,Vehicles,,,,,,TRUE,High,,"a sealed exoskeleton gives +10 to strength tests, doubles jumping distance, and +3 DV on unarmed attacks. Has food and air for 48hrs, radio booster and specs.",GC,165
Diving Sled,Vehicles,,,,,,TRUE,Low,,This deep sea sled can pull along 2 passengers or 1 passenger with cargo.,RW,194
EVA Sled,Vehicles,,,,,,TRUE,Low,,"This small sled uses air impellers to maneuver in zero-G. It is commonly used to carry attached gear, but may also pull along 1 human-sized morph.",EP,345
Microlight,Vehicles,,,,,,TRUE,Low,,"This ultra-light personal aircraft is not much more than a strut-based wing, an airframe, and an electric propeller engine. They are ideal for getting around inside large habitats with enclosed airspace.",EP,310
Mobility Frame,Vehicles,,,,,,TRUE,Low,,"A light partial exoskeleton. +4 meters per turn walking and +12 meters per turn running. Adds +20 to any roll to avoid tripping, falling, or losing balance.",GC,165
Rocket Pack,Vehicles,,,,,,TRUE,Low,,"This is a miniature metallic hydrogen rocket that the wearer straps to their back, with two rocket exhausts extending out to either side, away from the wearer's body or legs. Biomorphs and pod morphs can only safely use this vehicle when wearing a vacuum suit or some garment that is similarly heat resistant. Also, to prevent harm to the wearer, the thrust must be kept sufficiently low that it can only take off on Mars or moons with even lower gravity. A rocket pack can keep the wearer airborne for up to 15 minutes in Mars gravity, or 30 minutes on Luna, Titan, or any of the four large Jovian moons. On Mars, it has a maximum speed of 700 kph. It can be used to reach orbit and land again on Luna, Titan, and other similarly small bodies like the Jovian moons. Rocket packs are equipped with radio boosters but no other sensors or communication devices.",EP,345
Thruster Pack,Vehicles,,,,,,TRUE,Low,,"Worn for EVA duties, this thruster pack uses vectored thrust nozzles, allowing a character to maneuver in open space. This is not a jetpack and does not produce enough thrust for atmospheric movement.",EP,345
Black Wing,Vehicles,,,,,,TRUE,Moderate,,"A backpack made of smart fabric. When activated, it forms into a rigid wing with a span of 8 meters in 1 Action Turn.",GC,163
Cycle,Vehicles,,,,,,TRUE,Moderate,,"Because of the high cost of enclosing a habitat and providing life support, space is at a premium in all cities except some of the newest cities on Mars. As a result, there is rarely room for large roads or the cars that once carpeted the roads of Earthly cities. Instead, the ubiquitous modern vehicle is the cycle, which is designed to drive down narrow streets only a little wider than sidewalks in Earth cities. There are many different varieties of cycle. Some have only a single wheel and are gyro-stabilized, but most have two wheels and resemble old Earth motorcycles. In some, the driver and passenger are enclosed by a streamlined pod. These vehicles are powered by superconducting batteries, have a range of 600 km and a top speed of 120 kph, but must usually drive more slowly in crowded streets. Cycles are all equipped with radio boosters, headlights, and a por- table radar sensor. Tires are solid state (not inflated), or in some cases smart spokes capable of handling stairs. Some luxury versions have limited life-support in the small cabin, capable of providing air for the passengers for up to 10 hours.",EP,344
Go Cycle,Vehicles,,,,,,TRUE,Moderate,,"A more robust version of a common cycle, designed for extended use on uneven terrain at speeds of at least 40 kph",GC,163
Inflatable Boat,Vehicles,,,,,,TRUE,Moderate,,"When inflated (which takes 1 minute), it is 4 meters long, 2 meters wide, and half a meter deep. Can hold 750 kg of passengers and cargo.",GC,164
Martian Trike,Vehicles,,,,,,TRUE,Moderate,,A three wheeled motorcycle built for rugged Martian outback.,SW,169
Neo-Cetacean Walker,Vehicles,,,,,,TRUE,Moderate,,This exoskeleton is designed for neo-cetaceans to move about in non-aquatic environments. It includes a set of arms for manipulating objects.,PO,158
Standard Smartfabric Vacsuit,Survival Gear,,,7/7,TRUE,,TRUE,High,,"These suits resemble light vacsuits made from thicker and more durable materials that resist tearing and provides the wearer with light armor. They are fitted with more substantial life support belts that includes a maker capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. The best suits are made of smart materials that can transform from standard clothing to vacuum suits in a single Action Turn, and will do so automatically if life support is needed. Each suit also contains an ecto, a radio booster, and sensors equal to specs. These suits have an Armor rating of 7/7 and protect the wearer from temperatures from -175 to 140 C. They can almost instantly seal any hole unless more than 30 points of damage are inflicted at once.",,
Standard Vacsuit,Survival Gear,,,7/7,TRUE,,TRUE,Moderate,,"These suits resemble light vacsuits made from thicker and more durable materials that resist tearing and provides the wearer with light armor. They are fitted with more substantial life support belts that includes a maker capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. The best suits are made of smart materials that can transform from standard clothing to vacuum suits in a single Action Turn, and will do so automatically if life support is needed. Each suit also contains an ecto, a radio booster, and sensors equal to specs. These suits have an Armor rating of 7/7 and protect the wearer from temperatures from -175 to 140 C. They can almost instantly seal any hole unless more than 30 points of damage are inflicted at once.",,
Light Vacsuit,Survival Gear,,,5/5,TRUE,,TRUE,Low,,"Everyone living in a sealed habitat owns at least one of these suits. They come in a variety of forms. Inexpensive versions are typically lightweight jumpsuits made of simple smart fabric that adjusts to fit and folds up small enough to fit into a coat pocket. The best models include suits of high-end smart clothing that can transform into a vacsuit and an advanced nanotech generator the size of a large orange that deploy nanobots that cover the user and  t together into a vacuum suit. Both can transform into a vacsuit in 2 full Action Turns and do so either on command or if their sensors reveal that life support is needed. All models include a lightweight belt or torc containing a miniature oxygen tank and advanced rebreather unit that provides 3 hours of air. However, the suits contain no food or water recycling. All models include an ecto and a headlight, but typically little else beyond atmosphere sensors to let the wearer know when it is safe to take off the suit. They protect the wearer from temperatures from -75 to 100 C. These vacuum suits also provide an Armor rating of 5/5 and instantly self-seal breaches unless more than 20 points of damage are inflicted at once.",,
Light Smartfabric Vacsuit,Survival Gear,,,5/5,TRUE,,TRUE,Moderate,,"Everyone living in a sealed habitat owns at least one of these suits. They come in a variety of forms. Inexpensive versions are typically lightweight jumpsuits made of simple smart fabric that adjusts to fit and folds up small enough to fit into a coat pocket. The best models include suits of high-end smart clothing that can transform into a vacsuit and an advanced nanotech generator the size of a large orange that deploy nanobots that cover the user and  t together into a vacuum suit. Both can transform into a vacsuit in 2 full Action Turns and do so either on command or if their sensors reveal that life support is needed. All models include a lightweight belt or torc containing a miniature oxygen tank and advanced rebreather unit that provides 3 hours of air. However, the suits contain no food or water recycling. All models include an ecto and a headlight, but typically little else beyond atmosphere sensors to let the wearer know when it is safe to take off the suit. They protect the wearer from temperatures from -75 to 100 C. These vacuum suits also provide an Armor rating of 5/5 and instantly self-seal breaches unless more than 20 points of damage are inflicted at once.",,
Solar Survival Suits,Survival Gear,,,20/15,TRUE,,FALSE,Expensive,,"Solar survival suits are hard suits with special modi-fications, equivalent to the coronal adaptation trait. The survival suit also possesses an extremely powerful emergency beacon, strong enough to punch through the sun's electromagnetic background roar. The built-in maker provides enough air, water, and food for the wearer to survive indefinitely. Solar survival suits provide armor of AV 20/15. In the event that a survivor is subjected to a coronal mass ejection, the suit's effectiveness is drastically reduced. Subjected to high density plasma with temperatures reaching tens of millions Kelvins, the suit will only protect the wearer for a few seconds at best""just long enough for a survivor to access their ",,
Mercury Suit,Survival Gear,,,15/15,TRUE,COO:-10,FALSE,Expensive,,"These modified hard suits feature extreme heat and radiation shielding, enabling an occupant to survive on Mercury's surface under both day and night conditions. They have all of the standard features of hard suits except that they can with-stand temperatures of -200 to 500 C. The extra protection hinders the wearer's movement; reduce Movement rate by half and apply a -10 modifier to all COO-linked tests.",,
Venus Suits,Survival Gear,,,15/15,TRUE,COO:-10,FALSE,Expensive,,"Venus suits have the same characteristics as Mercury suits, plus they are specially modified to protect a biomorph from the crushing pressure on Venus's surface.",,
Hard Suit,Survival Gear,,,15/15,TRUE,,TRUE,High,,"This heavy-duty suit can almost be considered a miniature space ship. Hard Suits look like large metallic ovals with jointed arms and legs. They are quite heavy, but the user can move relatively easily by using servo assist motors in all the major joints of the arms and legs. Unlike other vacsuits, they are solid and can resist both vacuum and up to 100 atmospheres of external pressure. Characters wearing hard suits can safely explore the upper atmosphere of a gas giant. They are well armored against punctures and radiation and possess miniature plasma thrusters capable of delivering 0.01G for 10 hours. A built-in high quality maker produces sufficient food, air, and water that a user can remain in a hard suit indefinitely. Explorers have used them continuously for up to 2 months. Their gloves incorporate smart materials that allow each hand to use the equivalent of a utilitool. Hard suits also contain radios and sensors equivalent to those on standard vacsuits. These suits have an Armor rating of 15/15, are maintained by a fixer nanohive, and are instantly self-sealing of any breach unless more than 30 points of damage are inflicted at once. They protect the wearer from temperatures of -200 to 180 C.",,
High-dive suit,Survival Gear,,,13/10,TRUE,,TRUE,High,,"High-dive suits are individual spacesuits specifically designed to withstand atmospheric re-entry and allow the occupant to reach a planet's surface safely. They feature a liquid-cooled thermal regulation system, a closed-loop oxygen system with chemical scrubbers, small gas jets, a drogue chute, and a conventional parachute. High-dive suits are made of fullerene with a refractory metal coating and an opaque sapphire faceplate. A mini-oxygen tank and rebreather provide the wearer with 3 hours worth of breathing air. A high-dive suit compares to light body armor in terms of general protection, though its refractive glazing and heat-transfer systems provide extra protection against energy weapons (AV 13/10). Because of its thermal dampening systems, a high-dive suit also makes its wearer difficult to spot with thermal sensors (-30 modifier to Perception Tests), unless they are entering atmosphere, in which case they are difficult to miss (+30). Note that high-dive suits were designed for (unpow-ered) descent only""they are not equipped for any sort of powered flight.",,
Bio-Defense Unit,Survival Gear,,,,,,TRUE,High,,"Nano hive destroys alien life, toxins, and poisons in 20 meter radius. Alien life within the area takes 1d10/2 per Action Turn.",GC,157
Breadcrumb Positioning System,Survival Gear,,,,,,TRUE,Low,,"This worn device leaves micro ""breadcrumbs"" behind as the character moves. These devices interact with mesh inserts (or ectos) as long as they are within range (50 meters), allowing the user to map their position in relation to the breadcrumb trail. This is useful in derelict habitats, wilderness, and other areas where there is no local functioning mesh, and is helpful both for mapping and for finding one's way back.",EP,332
Breather,Survival Gear,,,,,,TRUE,Low,,Backpack unit can supply breathable oxygen indefinitely when supplied with 1kg of water and 2 hrs of sunlight /day. ,SW,167
Cold Weather Gear (survival),Survival Gear,,,,TRUE,,TRUE,Low,,"This is a full suit of clothing for extreme cold weather, including boots, jacket, pants, gloves, face mask, and goggles, with apertures and clips for breathing equipment. Much less bulky than its antique equivalents, these suits allow full maneuverability. They come in two versions",,
Electronic Rope,Survival Gear,,,,,,TRUE,Low,,"The fibers in this rope can be controlled electronically, making it move in a snake-like fashion, stiffen up, and even wrap around objects. Typically comes in a 50-meter length capable of supporting 250 kg.",EP,332
Large Air Mask,Survival Gear,,,,,,TRUE,Low,,A simple breathing mask with a 12 hour air supply.,PO,157
Pressure Tent (2 person),Survival Gear,,,,,,TRUE,Low,,"This is a collapsible shelter for two people, plus gear. Pressure tents contain heating and will inflate with a breathable atmosphere using a breather-like device.",SW,168
Repair Spray,Survival Gear,,,,,,TRUE,Low,,"This nanobot generator creates nanobots designed to repair synthmorphs, vehicles, and other common objects. Repair spray contains the specifications and plans for almost all commonly used synthmorphs and devices and is a ubiquitous household item. If it does not contain the specifications for something it is being used to repair, it must query the object's voice for these details, otherwise it cannot repair it. Simply touch it to the damaged area, push the button on top, and it sprays out a number of nanobots sufficient to make repairs. These nanobots repair 1d10 points of damage per 2 hours. Once all damage is restored, the nanobots repair wounds at the rate of 1 per day. Repair spray also cleans and polishes items and returns them to a pristine and new state. Repair spray is not effective on any object with more than 3 wounds, but it provides a +30 to all repair rolls on anything too badly damaged for it to fully repair.",EP,333
Small Oxygen Candles,Survival Gear,,,,,,TRUE,Low,,Provides 15 man hours of oxygen when ignited.,PO,157
Smart Anchors,Survival Gear,,,,,,TRUE,Low,,This harness deploys up to 6 cables with a reach of 10m to fasten to a surface. When needed the device will retract then re-deploy cables.,RW,193
Spindle Climber,Survival Gear,,,,,,TRUE,Low,,"This device attaches to a spindle and transforms it into a highly effective climbing device. The spindle climber has two functions. First, it attaches hardened tips to the spindle's cable and fires it at high speed, up to 50 meters, with sufficient force to imbed the tip into almost any sufficiently durable surface. Second, the spindle climber can pull itself and up to 250 kg up the cable at a speed of up to 2 m/sec. A spindle climber has enough power to shoot and pull up the cable 50 times before it must be recharged. A spindle fits inside a spindle climber.",EP,333
Survival Cold Weather gear,Survival Gear,,,,,,TRUE,Low,,"Cold weather suit w/ face mask and goggles protects from cold temperatures to -100C, allows full maneuverability, partially pressurized.",SW,167
Bio-Defense Swarm,Survival Gear,,,,,,TRUE,Moderate,,"As Bio-Defense Unit, but in disposable canister. 10 meter radius and ineffective after 2 weeks.",GC,157
Breather w/ extra power,Survival Gear,,,,,,TRUE,Moderate,,Backup power supply for Breather unit increases operational time to 1 week without sunlight.,SW,167
Defense Beacons,Survival Gear,,,,,,TRUE,Moderate,,"4 rods placed up to 30 meters from 2 others to create a perimeter. Has alarms, stunners, and microwave agonizers (Beam Weapons 40)",GC,157
Electrogravitic Net,Survival Gear,,,,,,TRUE,Moderate,,Allows a person to land safely from a fall of 50m in 1 G. Must be recharged after one use.,EP,332
Electrogravitics Net,Survival Gear,,,,,,TRUE,Moderate,,"Also called a safety net, this fail-safe system uses electric fields to counter gravity when falling. While the system is not able to actually levitate heavy objects, it will slow down a fall enough that the user can land safely if the gravitational force is not too high (the fall height is not greater than 50 meters in 1G). Generating these electric fields consumes a lot of energy, so the net is only charged for one use only and needs to be recharged afterwards.",,
Emergency Bubble,Survival Gear,,,,,,TRUE,Moderate,,"Commonly used as a last resort ""life raft"" on spaceships, an emergency bubble is made of advanced smart materials and comes in a portable package that can be quickly inflated (1 Action Turn) around the user, usually inside an airlock. The bubble has a 5-meter diameter and can comfortably accommodate 4 people. It maintains 1 atmosphere of pressure in a vacuum, protect the inhabitants from temperatures ranging from -175 to 140 C, and provide light, breathable air and water and food recycling for up to four human-sized inhabitants, using its built in maker. It features a simple airlock, carries an emergency distress beacon (below), and can be transparent, opaque, or polarized. It is powered by a small nuclear battery and also includes comfortable inflatable furniture.",EP,332
Emergency Distress Beacon,Survival Gear,,,,,,TRUE,Moderate,,"This small but powerful transmitter is powered by a nuclear battery and will broadcast any programmed distress call for years. Though portable and medium-sized, this beacon has a range of 500 km in urban areas and 5,000 km elsewhere.",EP,333
Healing Pod,Survival Gear,,,,,,TRUE,Moderate,,Heals with the same speed and effectiveness as a healing vat (EP p. 326). Requires either a functional vacsuit or a Life-Support Pack (GC p. 159).,GC,159
Hibernation Pod,Survival Gear,,,,,,TRUE,Moderate,,Once activated the device becomes a rigid pod filled with both solid foam and the user. This device works on all biomorphs and pods.,RW,193
Large Oxygen Candles,Survival Gear,,,,,,TRUE,Moderate,,Provides 75 man hours of oxygen when ignited.,PO,157
Life Support Pack,Survival Gear,,,,,,TRUE,Moderate,,Vacsuit attachment which provides the wearer with pure air for up to 30 days.,GC,159
Pressure Tent (4 person),Survival Gear,,,,,,TRUE,Moderate,,"This is a collapsible shelter for four people, plus gear. Pressure tents contain heating and will inflate with a breathable atmosphere using a breather-like device.",SW,168
Shelter Dome,Survival Gear,,,,,,TRUE,Moderate,,"A variant of the emergency bubble, this package unfolds into a dome with a 2.5-meter ceiling and a floor 4 meters across. To safely use this shelter, it must be staked down to the surface it is placed on.",EP,333
Spindle,Survival Gear,,,,,,TRUE,Moderate,,"A spindle is an advanced nanotechnology generator that produces a super-strong cable. It can produce up to 2 kilometers of 0.2 millimeter diameter line than can support up to 250 kilograms before it needs more raw materials. The spindle can produce up to 20 meters of cable every second. It can produce line in a continuous length or cut the cable it produces to any length. Spindles can also reabsorb their cable, retracting it at a rate of 5 m per second. As long as it is recharged and has small amounts of additional material added every 1,000 hours of use, a spindle can keep producing and retracting cable indefinitely. By setting the maximum production speed at 10 m/second a character with a spindle can safely jump off a building and land safely, using the cable to slow their descent.",EP,333
Basic Cold Weather Gear,Survival Gear,,,,,,TRUE,Trivial,,"Cold weather suit w/ face mask and goggles protects from cold temperatures to -50C, allows full maneuverability.",SW,167
Breather Bladder,Survival Gear,,,,,,TRUE,Trivial,,An accessory to Breather unit stores waste methane to be used to fuel machinery. ,SW,167
Cold Weather Gear,Survival Gear,,,,TRUE,,TRUE,Trivial,,"This is a full suit of clothing for extreme cold weather, including boots, jacket, pants, gloves, face mask, and goggles, with apertures and clips for breathing equipment. Much less bulky than its antique equivalents, these suits allow full maneuverability. They come in two versions",,
Emergency Rations,Survival Gear,,,,,,TRUE,Trivial,,3 days worth of compressed concentrated nourishment.,GC,157
Filter Straw,Survival Gear,,,,,,TRUE,Trivial,,safely drink any liquid that contains even a small amount of water.,GC,159
Flashlight,Survival Gear,,,,,,TRUE,Trivial,,"These handheld, wearable, or portable lights can display light in the normal visual spectrum, infrared, or ultraviolet, as desired.",EP,333
Nanobandage,Survival Gear,,,,,,TRUE,Trivial,,"Characters without medichines must rely on external sources of healing. The most common option is the nanobandage a plum-sized advanced nanotechnology generator built into a reusable, self-sterilizing bandage. It can treat all forms of injury and illness, from poisoning to burns to trauma. Characters simply apply the bandage to the wound and let the nanobots do the work. It removes pain and discomfort and speeds healing. For especially severe injuries, physical first aid such as setting bones and removing projectiles may be necessary (gamemaster's choice). If the wounds are too severe (the patient has suffered more than five wounds), the unit places the patient in medical stasis and radios for emergency services.",EP,333
Small Air Mask,Survival Gear,,,,,,TRUE,Trivial,,A simple breathing mask with a 2 hour air supply.,PO,157
Obfuscated Binary,Programs,,,,,,FALSE,,,"This modification to software clutters a program with additional instructions and unnecessary features, with the goal of concealing its true purpose. It's sometimes used by hackers to avoid having software like exploits or sniffers be discovered if they're captured and their mesh inserts examined. A Programming Test at -30 can determine the true nature of an obfuscated binary, but only if the programmer has reason to suspect something is amiss and specifically searches for it. [One Cost Category Higher Than Software Cost]",,
Infection Scanner,Programs,,,,,,FALSE,Trivial,,"This software, which is developed, maintained, and updated by the argonauts, scans software of all types-including files, system processes, ego backups, and infomorphs-for digital exsurgent virus infection. Scanning takes anywhere from 1 Turn (simple files) to 1 hour (infomorphs and backups), depending on the complexity of the software. See Exsurgent Virus Detection (p. 177), for details on handling scans. Note that encrypted software cannot be analyzed.  While the argonaut software is free and open source, various proprietary and forked spin-offs exist with differing costs, detection rates, and specializations.",,
Standard Skillsoft,Programs,,,,,,FALSE,High,,These programs provide the character with a rating of up to 40 in a single Active skill.,,
Egocasting,Services,,,,,,FALSE,Expensive,,"This is the use of a farcaster to transmit an ego/infomorph. Farcasting is not cheap, and the cost is impacted by factors such as distance to receiver station and priority service (paying extra to get bumped ahead in line).",,
Space Travel (Long),Services,,,,,,FALSE,Expensive,,"Space transport cost depends on a number of factors like distance, quality of lodgings, and how much cargo you're bringing with. Longer trips are progressively more costly.",,
Blind Spot/Route,Services,,,,,,FALSE,High,,A map into or out of a location that is normally under surveillance. ,PO,154
Fake Ego ID,Services,,,,,,FALSE,High,,"This forged ID will pass in most inner system and Jovian Republic habitats, and sometimes others.",EP,331
Space Travel (Short),Services,,,,,,FALSE,High,,"Space transport cost depends on a number of factors like distance, quality of lodgings, and how much cargo you're bringing with. At the low end, an intra-habitat shuttle trip within the same cluster, or a trip to or from a planetary body's surface and orbit, is not cheap but affordable.",,
Backup Insurance (Budget),Services,,,,,,FALSE,Low,,"In the event of verifiable death, or after a set period of being missing, backup insurance will arrange for your cortical stack to be retrieved and your ego downloaded into another morph. If the cortical stack cannot be retrieved, your most recent backup is used. Most policies require that the holder provide a backup to be uploaded into secure storage at least twice a year. This industry works in a manner similar to insurance underwriting in terms of cost and individuals engaged in high risk professions can expect to pay a premium for the service. Additionally, attempts to retrieve a cortical stack are minimal unless one wants to pay for some extra effort (a thriving industry of paramilitary ego-repo operatives exists for this purpose).",,
Backup Insurance (low),Services,,,,,,FALSE,Low,,Periodic Ego backup possible stack retrieval and reinstantiation as an infomorph in the event of death. For low risk individuals.,EP,330
Passive ID Protection,Services,,,,,,FALSE,Low,,Services to monitor ID to prevent theft or abuse.,PO,154
Privacy Suite,Services,,,,,,FALSE,Low,,An hours access to a private room.,PO,154
Private Sensor Feed,Services,,,,,,FALSE,Low,,Rented access to a high quality sensor feed.,PO,154
Small Animal Care,Services,,,,,,FALSE,Low,,Care for a small/medium animal for a week.,PO,154
Simulspace (Single Use/1 day),Services,,,,,,FALSE,Low (single use/1 day),,"This will by you access to the simulspace of your choice, whether you want it for a private meeting/vacation or to play the latest and hottest VR game.",,
Active ID Protection,Services,,,,,,FALSE,Moderate,,An active service that goes out of its way to protect an identity. Notifying authorities of theft attempts and directly blocking attacks.,PO,154
Animal Training,Services,,,,,,FALSE,Moderate,,One month of training for an animal.,PO,154
Anonymous Account,Services,,,,,,FALSE,Moderate,,These accounts are crucial for anyone who wants to be discreet with their online transactions. See Anonymous Account Services.,EP,330
Backup,Services,,,,,,FALSE,Moderate,,"A single, one-time backup without insurance is sometimes all the poor can afford, hoping that they can buy backup insurance later or that someone that cared about them will see to a resleeving.",EP,330
