name,shortname,type,description,cost,minimum,blueprints,source,effect,delivery,onset,duration,addiction type,addiction mod
Kong,,Drugs,"This drug only affects non-human primates. Ignore 1 wound, +5 SOM, +10 melee attacks, -5 INT and WILx3 Test to avoid automatically attacking. ",Low,,TRUE,PO.151,"+5 SOM, -5 INT, +10 Melee, Ignore 1 wound",,,,,
Mono No Aware,,Drugs,"Taken from the Japanese term for sadness at the ephemerality of worldly things, this drug, typically ingested as a tea, is a depressant that induces a meditative state. Mono No Aware gives the character a +10 bonus on Art and Sense Tests. With frequent use, Mono No Aware reacts with pigments in the skin to create a pallor with a slight bluish tinge, even in darker-skinned morphs.",Low,,TRUE,EP.320,"+10 Art, Sense",,,,,
MRDR,,Drugs,"MRDR is a straightforward and brutal combat drug. It increases pain tolerance, speed, and strength. The character receives +10 SOM, +1 Speed, +10 Durability, and may ignore the -10 modifier of one wound. Any damage incurred while under the effects of the drug is taken from the bonus Durability first. MRDR users are easily identifiable by the broken blood vessels in their eyes, tense posture, and visible tension in the muscles of the face, arms, and legs. Long-term users suffer -5 SOM.",Low,,TRUE,EP.319,"+10 SOM, +1 SPD, +10 DUR, Ignore 1 wound",O,20m,1h,Physical,-10
Orbital Hash,,Drugs,"Good ol' reefer, but grown in space using powerful lighting and post-singularity hydroponics. Because space is at a premium in habitats and scum barges, blocks of hashish are the preferred mode of transport and delivery. However, for the wealthy and on planets, buds in leaf form are not uncommon. Hash allows the character to ignore the effects of 1 trauma, but inflicts a -10 penalty on all memory-related tests and Knowledge Skill Tests. Hash users exhibit blood-shot eyes, lethargic behaviors, and the munchies.",Low,,TRUE,EP.320,"-10 Knowledge tests, ignore 1 trauma",Inh,3m,3h,Mental,
Raptor,,Drugs,"This drug only affects neo-avians. It increases their wing power and strength of their talons. +5 SOM, +20 to Flight Tests to increase movement. ",Low,,TRUE,PO.152,"+5 SOM, +20 Flight",,,,,
Staste,,Drugs,"This drug only affects neo-octopi it grants an increased ability to ""taste"" things it grants a +30 to Perception or Investigation tests based on smell.",Low,,TRUE,PO.152,+30 Perception (smell),,,,,
Gravy,,Nanodrugs,"Gravy assists characters in acclimating to high gravity environments. It comes in a variety of flavors and is often added as a sauce to food. For Gravy to be 100% effective, the character must begin using it in advance. Reduce penalties for high-gravity acclimation by 20.",Low,,TRUE,EP.321,Reduces high-grav penalties by 20,"Inj,O",,,,
Schizo,,Nanodrugs,"Schizo is a nanodrug that mirrors the effects of paranoid schizophrenia. It is popular in some hyperelite social circles as a truly daring and intriguing experience. A dose of schizo looks like a disposable antique razor blade. Making an incision in the skin releases a swarm of nanobots that travel to the central nervous system and induce the effects of the drug. While in effect, the character is severely paranoid and hears voices. How this plays out is at the discretion of the gamemaster, but should include irrational fears, unusual compulsions based on the instructions of the voice or voices, and a strong possibility that the character will behave in a violent or destructive fashion. The character may make WIL x 3 Tests to avoid violent acts against objects or strangers. Friends and trusted acquaintances are probably less likely to be targets of violence (+30 modifier to avoid hurting people the character cares about or destroying important possessions). Note that the character's muse is unaffected by Schizo and can make efforts to babysit the character. Characters who take Schizo suffer 1d10 mental stress.",Low,,TRUE,EP.321,WIL x 3 to avoid attacking randomly (+30 for friends),Inj,0,1d,Mental,
DDR,,Narcoalgorithms,"Originally crafted by prankster hackers and distributed as a virus, DDR (for ""Dance Dance Robot"") triggers impulses in the target's motor control circuits. Primary targeting robot AIs, the effect is that targets ""dance"" in jerky, automated movements. Pleasure receptors are also activated so that dancing — and movement of any kind — feels good. Different software variants invoke different motions and styles. The target suffers a -20 modifier on other actions while dancing, but the dancing may be overridden with a WIL x 3 Test.",Low,,FALSE,EP.323,WIL x 3 or -20 to all actions,,,,,
Linkstate,,Narcoalgorithms,"This software actually connects the user to a peer-to-peer network, where it randomly connects to other linkstate users and samples a bit of their XP feed and randomly accessed memories""typically just enough to provide context, but not enough to acquire private personal details. These inputs are spliced together, their emotional inputs amplified, and then the entire package is spiked with some hormonal circuit triggers and artificial synaesthesia. The effect is a mind-blowing mixed sampling of people's lives, mashed together in a sensory soup, that hits the mind with a euphoric rush. Linkstate users are catatonic while under the effects (typical sessions run 3-4 hours), but afterwards they often report that they have flashbacks of events in other people's lives.",Low,,FALSE,EP.323,,,1m,3h,,
Flight,,Toxins,"This drug is derived from human pheromones released due to fear, and is intended to instill alarm or even terror in the character. Affected characters must make a WIL x 3 Test (+30 with medichines) or suffer a panic attack, inflicting 1d10 stress. Dosed characters also suffer a -30 modifier for resisting intimidation or fear-based emotional manipulations. Flight affects last for 1 hour (5 minutes with medichines).",Low,,TRUE,EP.324,,Inh,9s,1h,,
Oxytocin-A,,Toxins,"A genetically-improved variant of oxytocin, this drug induces trust in the recipient. Drugged characters suffer a -30 modifier on all WIL and Kinesics Tests where trust is a factor. Medichines provide immunity.",Low,,TRUE,EP.324,,"Inh,Inj",3m,2h,,
Twitch,,Toxins,"Twitch is a convulsive agent, a nonlethal nerve gas. Affected characters must succeed in a SOM Test (+30 with medichines) or become incapacitated with severe muscle tremors. Unaffected characters still suffer a -20 on all actions. The effects of Twitch last for 10 minutes, 5 if the character has medichines.",Low,,TRUE,EP.324,SOM x 3 or incapacitation,"D,Inj,O,Inh",9s,10m,,
CR Gas,,Toxins,"This potent incapacitating agent causes eye twitching and temporary blindness, severe coughing and breathing difficulty, skin irritation, and panic. Affected characters suffer 1d10 / 2 damage, a -30 modifier to sight-based Perception Tests, and a -20 modifier to all other actions for 20 minutes (5 minutes if the character has medichines).",Low,,TRUE,EP.324,"DV 1d10 / 2, -30 Perception -20 to all for 20m","D,Inh",3s,20m,,
Alpha,,Drugs,"Alpha is a more subtle version of BringIt, popular with hypercorp execs, street thugs, and anyone else who wants to come across as a domineering asshole. The pharm designer who invented it had a retro sensibility (and maybe a sick sense of humor); Alpha is typically synthesized as a sparkling white powder designed to be snorted. Alpha stimulates production of threat pheromones, but less bluntly than BringIt. Alpha imparts con dence, a feeling of power, and alertness. Users can function without sleep for 4 days, after which point they need to catch up with at least 4 hours of sleep (remember morphs with basic biomods require less sleep). Dosed characters receive a +20 modifier on Intimidation Tests and +10 on Persuasion and Networking Tests where attitude is a factor (gamemaster discretion). These bonuses only apply to characters within 2 meters of the Alpha user. On the downside, alpha users are impatient, unfocused assholes. At the gamemaster's discretion, Social skill modifiers may be reversed to penalties with certain types of people. Additionally, Alpha users suffer -10 on all COG skill tests related to memory and coherent or logical thinking. Long-term users may suffer the COG penalty even when not on the drug; on it, they may be worse.",High,,TRUE,EP.320,"+20 Intimidation, +10 Persuasion, -10 COG",Inh,1m,2h,Mental,-10
Nutcracker,,Nanotoxins,"Nutcrackers are nanobots designed to locate, migrate, and decompose the synthdiamond case of a cortical stack within a morph by attacking its crystal lattice. This process takes approximately 6 hours, after which the cortical stack is destroyed. These nanobots also attack the cortical stack's connections to the (cyber)brain and brain-mapping nanobots. After 1 hour, the victim will be aware that their cortical stack is threatened. After 3 hours, all connections will be severed and the cortical stack will no longer be able to back up the character.",High,,TRUE,EP.324,,"Inj,O",0,6h,,
Inhibitor,,Psi-drugs,"Inhibitor is a cocktail of neurochemicals that block some brain receptor and transmitter functions in an attempt to reduce psi-waves and block or impair sleights. This drug is commonly used to restrain async prisoners from using their abilities. A drugged character must make a WIL x 2 Test. If they fail, they lose all psi abilities for the drug's duration. If they succeed, they suffer a -30 impairment on Psi skills and all strain is doubled. Inhibitor has an unfortunate side effect of doping the character down, however; apply a -10 modifier to their COG. Inhibitor-influenced characters tend to have a glazed, dopey expression and have difficulty getting excited or emotional.",High,,TRUE,EP.325,WIL x 2 or no Psi powers. -30 to Psi if successful.,"Inj,O",9s,6h,,
BTX,,Toxins,BTX-squared (also called Frog Bite) is a genetically-enhanced variant of the extremely potent cardiotoxic and neurotoxic batrachotoxin. It leads to fast paralysis and cardiac arrest that usually kills the target within a few Action Turns. Affected characters suffer 2d10 + 10 damage a turn for 3 Action Turns; medichines reduce this damage by half. They must also make a SOM x 2 Test (+30 with medichines) or be paralyzed for 1 hour.,High,,TRUE,EP.323,"DV 2d10 + 10 per turn for 3 turns, SOM x 2 to avoid paralysis","D,Inj,O",3s,9s,,
Nervex,,Toxins,"Derived from deadly nerve agents like cyclosarin, VX, and novichok, this genetically-modified toxin is deployed as a colorless, odorless gas that turns safely inert 10 minutes after deployment. It causes involuntary contraction of the muscles, seizures, and death by respiratory failure. One minute after exposure, the character must make a SOM Test or be incapacitated by seizures, paralysis, or nausea and vomiting; unaffected characters still suffer a -20 modifier to all actions. After 10 minutes, the character will die unless an antidote (such as atropine) is applied. Characters with medichines suffer the initial effects, but recover after 5 minutes.",High,,TRUE,EP.324,"SOM test to avoid incapacitation; -20 on success, death after 10m on failure","D,Inj,O,Inh",1m,,,
Degen,,Pathogens,"Characters exposed to this degenerative neurological disease must make a DUR x 2 Test or become infected. Medichines will defeat the disease, but others will not show signs of infection for 1 week, when the symptoms of a rapidly progressing dementia will become clear: memory loss, personality changes, and hallucinations. If untreated, Degen will progress for another week with more serious symptoms, including speech impediments, jerky movements, loss of balance and coordination, and even seizures. This is reflected by a 5 point loss in all aptitudes per day (after the first week). When any aptitude reaches 0, the character dies. Degen is notorious for its effect in corrupting cortical stack backups before infection symptoms manifest.",Expensive,,FALSE,EP.324,DUR x 2 or infection,"D,Inj,O",1w,,,
Trigger,,Pathogens,"Trigger is a designer virus that selectively targets and infects mast cells to trigger a hyper-allergic reaction. The resulting anaphylactic shock due to systemic vasodilatation (associated with a sudden drop in blood pressure) and bronchial swelling (resulting in constriction and difficulty breathing) usually leads to death in a matter of minutes after onset, if not treated. Infected characters must succeed in a DUR Test (using their current Durability score minus damage) or die quickly. Even medichines have difficulty reacting in time against this virus; characters with medichines must make a DUR x 2 Test to survive.",Expensive,,FALSE,EP.324,DUR - Damage to avoid death,,,,,
Psi-Opener,,Psi-drugs,"Psi-opener drugs are variants of the Watts-MacLeod strain with a temporary effect and which do not permanently alter the user's brain. Psi-opener temporarily imbues the user with the ability to use one particular sleight, regardless of whether or not they have the Psi trait. Each type of Psi-opener is customized for a particular sleight. While primarily intended for non-asyncs, non-asyncs may not possess Psi skills, so they must default to WIL. For this reason, Psi-Opener is often doubled up with Psike-out. Using Psi-opener is a mind-wrenching experience. Users are occasionally subject to hallucinations (gamemaster discretion). When the drug wears off, it inflicts 1d10 points of mental stress, +2 if the drug imbues a psi-gamma sleight.",Expensive,,FALSE,EP.325,,"Inj,O",20m,1h,,
Psike-Out,,Psi-drugs,"Psike-out bolsters an async's psi abilities. Apply a +20 modifier to the async's Psi skill tests for the drug's duration. However, also apply +2 to all strain DVs for the drug's duration. Psike-out is mentally addictive, with an Addiction Modifier of -10.",Expensive,,FALSE,EP.325,"+20 to Psi skills, +2 to strain","Inj,O",1m,1h,,
