NAME,shortname,TYPE,Description,Cost,Minimum,Blueprints,Source,Effect
Smart Dust,,Espionage,"This device is a walnut-sized specialized nanobot generator that creates tiny sensor nanobots, each one of which is a tiny sphere the diameter of a human hair. A packet of smart dust nanobots is sufficient to perform detailed surveillance on a large room like an auditorium has a volume of 1 cubic centimeter and contains 3 million nanobots. Each nanobot contains tiny cameras, microphones, a tiny computer, a radio, and chemical sensors, as well as short legs that allow them to walk and climb at a rate of 5 cm per second. When a character dumps a packet of smart dust in a room, it will cover every surface in the room within 20 minutes, including all furniture and the insides of every drawer and other space that is not airtight. At this point, the smart dust has recorded all data about the room that can be obtained by exceedingly detailed observation, including the DNA of everyone who has visited the room in the last week or two. The smart dust can then either broadcast a brief, highly compressed signal, or it can send all of its information to a few hundred nanobots that then walk to a pre-arranged destination for pickup and downloading by their user. The user need only find a single nanobot with a nanodetector to acquire the information obtained by the smart dust. If ordered to do so, the remaining nanobots can either power down and await further orders or self-destruct in a fashion that turns them into a tiny amount of dust made mostly of metal and silicon.",Moderate,,TRUE,EP.316,
Stealthed Landing Pod,,Espionage,"Sometimes, Firewall teams cannot egocast to a location and must instead physically travel there. If this location is sufficiently dangerous or simply does not welcome visitors, docking a spacecraft may not be possible. In these cases, Firewall teams often use this vehicle. It is designed to be launched from a spacecraft that is passing within 100,000 kilometers of the target. That spacecraft fakes a micrometeor strike or other problem that causes a small explosion and some minor debris. On rare occasions, to insure complete surprise, the spacecraft may actually self-destruct. During this explosion, the landing pod fires a brief burst of its metallic hydrogen rocket to direct it towards its desti- nation, then powers down. The landing pod is heavily stealthed against visual and radar detection, so that it is almost impossible to detect with any sensors if it is not broadcasting or firing its engines (-60 to tests to detect). The landing pod travels toward its destination for between 10 and 100 hours, then approximately 1 minute before it arrives, it fires its engines in a second brief, powerful burst that slows it down to allow it to safely land on its destination. When it fires its engines, sensors on its destination are likely to detect it (+30), but residents of this habitat will hopefully not have time to respond before the operatives can enter the habitat. Landings are often coordinated with mesh intrusions that seek to distract the target's defenses or temporarily disable the local sensors. The landing pod can carry up to six human-sized morphs and has long-term life support facilities to allow it to transport biomorphs. The landing pod has sufficient fuel to allow it to also take off from a habitat and rendezvous with a nearby spacecraft. It also contains a compact radio, microwave, and laser farcaster that allow operatives to remain in secure contact with others and to egocast off the habitat, as long as the users can remain in radio contact with the landing pod. The most expensive landing pods contain a single-use neutrino farcaster capable of broadcasting backups of up to six egos. Using this farcaster destroys the landing pod. Landing pods are designed to dock with habitats, not planets or large moons, and cannot safely land on or take off from any body with a surface gravity of more than 0.04 g. This landing pod is 3.5 meters tall, 3 meters in diameter, and has a mass of 3 tons. In addition to room for six morphs, it features a cargo hold with room for up to 8 medium-sized pieces of gear and numerous smaller items. Cost is doubled when an Emergency Neutrino Transceiver is installed.",Expensive,,FALSE,,
Traction Pads,,Espionage,"This set of specialized fingerless gloves, shoes, and kneepads is designed to emulate the pads on geckos' feet. Characters can support themselves on a wall or ceiling by placing any two of these pads against any surface not made from a material specially designed to resist such devices. Characters can climb any surface and move easily across walls and ceilings that can support their weight (+30 to Climbing Tests). In addition to climbing, these devices are also very popular in zero-g environments. Wearing this item does not impair the user's agility or manual dexterity.",Low,,TRUE,EP.317,
White Noise Machine,,Espionage,This small and wearable device generates masking sounds that protect a conversation from being audibly recorded or overheard by anyone not in the immediate vicinity.,Trivial,,TRUE,EP.317,
X-Ray Emitter,,Espionage,"This device is designed to be used with either the enhanced vision augmentation or specs. It emits a focused beam of low-powered x-rays that allows the user of either device to both see and see through most objects using backscatter x-ray radiation. This allows the character to literally see through walls and into containers, including ones made of metal.",Low,,TRUE,EP.317,
Dust Repellent,,Everyday Technology,This smart material spray prevents electrostatic dust from adhering to surfaces. One can is enough to cover eight morphs or a single large Morph.,Trivial,,TRUE,RW.191,
Ecto,,Everyday Technology,"Ectos are the external version of basic mesh inserts, minus the medical sensors. These colorful devices serve as a wearable mesh terminal, PDA, locator, and camera-phone. The devices are flexible (often worn as bracelets), dirt-resistant, self-cleaning, and may be stretched out to increase screen size. They may project holographic displays and are typically equipped with wireless-enabled glasses or contact lenses and decorative earpieces or earrings so that the user may access augmented reality. Given the ubiquity of mesh inserts, ectos are growing less common, but they are still used by bioconservatives, others without implants, and those who prefer to access the mesh via an external device for security concerns.",Low,,TRUE,EP.325,
Flying Vest,,Everyday Technology,This vest allows the wearer to fly in low gravity environments with an atmosphere. It can operate for 4 hours before it must be recharged.,Moderate,,TRUE,RW.191,
Fractal Gloves,,Everyday Technology,These gloves duplicate the effects of the fractal digits and nanoscopic vision implants(EP p. 311).,Moderate,,TRUE,RW.191,
Grip Tape,,Everyday Technology,"This sticky nanotape can be applied to almost any surface, allowing items to be stuck in place with the adhesive power of grip pads.",Trivial,,TRUE,GC.155,
Holographic Projectors,,Everyday Technology,"These devices are capable of projecting high-definition, ultra-realistic three- dimensional images and movies. From a distance (20+ meters), such holograms can be difficult to distinguish as fake, but up close they are easier to see for what they are (+20 Perception Test modifier). Holograms do not appear wavelengths other than visual light, and so are easily identified by anyone with enhanced vision.",Low,,TRUE,EP.325,
Micrograv Shoes,,Everyday Technology,"These shoes are equipped with velcro and/or a magnetic system, allowing the wearer to walk normally on appropriate surfaces in micrograv and zero-G environments, rather than floating or bouncing.",Trivial,,TRUE,EP.325,
Morph Storage Pod,,Everyday Technology,"This coffin-sized tank keeps a biomorph safely stored in medical stasis. They are routinely used in body banks and egocasting facilities, maintaining unused sleeves in a coma-like state within a nutrient bath. Some jurisdictions only allow morph storage pods to be operated by certified medical personnel and technicians.",Moderate,,TRUE,FW.175,
Nuclear Battery,,Everyday Technology,"put out 1 kilowatt of power continuously for up to three years. If used as ammo, recharge at 20 shots per hour. Changing a battery is a standard action.",Low,,TRUE,GC.155,
Plasma Sail,,Everyday Technology,This backpack provides the user with 0.01G of Thrust that can land a take off from objects with a max of 0.05G. It uses the Flight Skill.,Expensive,,FALSE,RW.191,
Portable Sensor,,Everyday Technology,"This is a small portable (possibly even wearable) sensor system. The type of sensor must be chosen (for example: infrared, lidar, radar, x-ray). Combined sensor systems are also available, at a cumulative cost.",Moderate,,TRUE,EP.325,
Smart Clothing,,Everyday Technology,"Smart clothing can change its color, texture, and even its cut, taking only a minute or two to transform from a solid color jumpsuit to a plaid party dress or a replica of a pinstriped, late 20th century business suit. It can also camouflage the wearer, providing a +20 bonus to Infiltration Tests to avoid being seen, as long as the wearer is stationary or not moving faster than a slow walk, and as long as the wearer is completely covered or also using chameleon skin of the same color/pattern. If incompletely camoufaged, or if moving faster, reduce the modifier to +10. Smart clothing also keeps the character warm or cool, allowing the character to exist comfortably in environments from -40 to 70 C.",Low,,TRUE,,
Smart Manipulators,,Everyday Technology,"The device can create an array of tools. It can sprout wings, gliding membranes, or flexible 7m limbs or 30m lengths of electronic rope.",High,,TRUE,RW.191,
Solar Recharger,,Everyday Technology,"Like Nuclear Batter, but requires sunlight and has 1.5 meter square panel.",Trivial,,TRUE,GC.155,
Specs,,Everyday Technology,"Specs are vision-enhancing glasses. They deliver sensory data directly into the wearer's visual cortex by connecting with their basic mesh inserts, though visual displays are available for bio-conservatives and other characters without implants. Specs extend the range of the wearer's vision from terahertz waves to gamma rays. Specs include a t-ray emitter, however, using x-rays, or gamma rays for visual purposes requires a separate emitter, since neither of these sorts of radiation are common inside habitats, or in any safe environments. Specs have a variable focus equivalent to 5 power magnifiers and provide the wearer with a +10 bonus to all Perception Tests involving vision.",Low,,TRUE,EP.326,
Standard Battery,,Everyday Technology,"rechargeable, high-density superconductors.",Trivial,,TRUE,GC.155,
Tools (facility),Tool facility,Everyday Technology,A fixed workshop for a specific Hardware: Field skill.,Expensive,,FALSE,EP.326,
Tools (kit),Tool kit,Everyday Technology,A man-portable took kit for a specific Hardware: Field skill.,Low,,TRUE,EP.326,
Tools (shop),Tool shop,Everyday Technology,A vehicle-transportable workshop for a specific Hardware: Field skill.,High,,TRUE,EP.326,
Utilitool,,Everyday Technology,"This hand tool includes a specialized small nanobot generator. In its basic form, a utilitool is the size and shape of a large fountain pen. It can transform into almost any tool, however, from a wrench, knife, or powered screwdriver to a rotary grinder or pair of pliers. Some inexpensive utilitools are optimized for specialized tasks, like cooking or wilderness survival, but more expensive models become almost any imaginable hand tool. Utilitools are normally mentally controlled using the character's basic mesh inserts. Characters without such implants can control the tool via voice commands and touch controls. Characters using a utilitool gain a +10 modifier to skills involving repairing or modifying devices with mechanical parts, opening locks, disarming alarm systems, or performing first aid.",Low,,TRUE,EP.326,
Viewers,,Everyday Technology,"These small and highly advanced binoculars possess all the visual enhancement of specs, but also provide 50x magnification. They also include a directional microphone that magnifies sound from the direction the viewers are pointed by a factor of 50. Viewers provide the user with a +30 bonus to all Perception Tests involving vision or hearing for the target they are aimed at. This bonus is not cumulative with bonuses from any other device or augmentation.",Low,,TRUE,EP.326,
Wireless Energy Transmitter,,Everyday Technology,Transfer energy from Nuclear or Solar power source to device within 20 meters.,Trivial,,TRUE,GC.155,
Blue Box Portable Gate Control Unit,Blue Box,Exploration Gear,Portable gate control unit (GC p. 142). Requires a Hardware: Electronics Test as a Task Action with a -10 modifier and a timeframe of 1 hour.,Expensive,,FALSE,GC.155,
Gate Probe,,Exploration Gear,Portable medium-sized self-deploying sensor packages. Taking a measurement requires only 1 Action Turn. Has Perception 40 and Academics: Chemistry 60,Moderate,,TRUE,GC.156,
Mapping Missile,,Exploration Gear,Small orbital missile which provides low res planetary map data in 1-2 days. Has Perception 40 and Academics: Chemistry 60,Moderate,,TRUE,GC.156,
Portable Solarchive,,Exploration Gear,Small data storage units that hold mesh libraries for specific subjects (one knowledge skill at 60). Allows queries and research tests as if connected to the mesh.,Low,,TRUE,GC.156,
Scout Missile,,Exploration Gear,Disposable launch tube with sensor missiles. Maps 5km radius or 10km in a direction in 20 min and has a Perception of 40.,Moderate,,TRUE,GC.156,
Cleaner Swarm,Cleaners,Nanotechnology,"This nanoswarm cleans, polishes, and removes dirt and stains. It may be used on an area, specific objects, or people. Some facilities employ permanent cleaner swarms to keep their area spotless. Cleaners may also be programmed to remove specific toxins, chemicals, or other hazardous substances in order to decontaminate an area. Covert operatives and criminals sometimes use cleaners to eliminate any evidence they may have left at a scene usable for forensics purposes, such as blood, hair, or anything that could be DNA-typed.",Low,,TRUE,EP.329,
Desktop Cornucopia Machine,,Nanotechnology,"Cornucopia machines (CMs) are general-purpose nanofabricators. The smallest CMs are desk-sized cubes approximately half a meter on a side with a volume of at least 40 liters. They can produce any small object, from tools to well-folded suits of clothing to handguns or a bowl of cereal. It is sometimes possible to assemble larger items, but they must be manufactured in smaller pieces and then assembled (likely requiring an appropriate Hardware Test). While users can purchase bulk raw materials, CMs also come equipped with a disassembler. The user loads garbage and other objects into the disassembler so that they can be turned into raw materials for the CM. All legally-available disassemblers only deconstruct non-living material.",Expensive,,FALSE,EP.327,
Disassembler Swarm,Disassemblers,Nanotechnology,"Also known as smart corrosives, these nanobots break down any matter. Their advantage over common acids is that not only are they able to break down any material by using energy to disrupt chemical bonds, but that they can be programmed to take apart certain components while ignoring others, leaving them intact. Disassemblers are a common weapon used against synthmorphs, eating away their components without having to worry about accidentally splashing biomorphs. Upon contact, these nanobots inflict 1d10 / 2 damage (round up) per Action Turn. Accumulated damage counts as a wound when the Wound Threshold is reached. Both Energy and Kinetic armor protect against this damage, but these armors are eaten away as well, so the Armor Value is reduced by the soaked DV.",High,,TRUE,EP.329,
Ego Bridge,,Nanotechnology,"Ego bridges are vat devices used for uploading and downloading minds. See Backups and Uploading, and Resleeving.",Expensive,,FALSE,EP.328,
Engineer Swarm,Engineers,Nanotechnology,"Engineer microswarms are used for various construction purposes: erecting walls, digging tunnels, sealing holes, reinforcing foundations, and so on.",Moderate,,TRUE,EP.329,
Fabber,,Nanotechnology,"Fabbers are specialized nanofabricators, portable and considerably smaller than CMs. There are a wide variety of portable fabbers, including ones that can make any hand tool or small piece of personal electronics, ones that can turn any organic material into food and drink, and ones that can create any drug or medicine as well as bandages and specialized dressings. The most common fabbers have a volume of 4 liters. Larger hand tools and devices are produced as 2 or 3 separate parts that must be fitted together. Like CMs, fabbers also contain miniature disposal units.",Moderate,,TRUE,EP.328,
Fixer Swarm,Fixers,Nanotechnology,This is the nanoswarm version of repair spray.,Moderate,,TRUE,EP.329,
Gardener Swarm,Gardeners,Nanotechnology,"This microswarm is useful for a number of agricultural purposes: killing weeds, planting seeds, trimming plants, pollinating, and even harvesting small items. It may also be programmed to simply defoliate an area.",Moderate,,TRUE,EP.329,
General Hive,,Nanotechnology,"General hives are capable of producing any conceivable type of nanobot with the right blueprints and/or programming. Even at their smallest size they are not really portable, with a minimum size being cubes 30 centimeters on a side and a volume of 25 liters.",Expensive,,FALSE,EP.328,
Guardian Nanoswarm,Guardians,Nanotechnology,Guardians watch for and attack other unauthorized swarms. Guardians inflict 1d10 / 2 damage (round up) on other swarms they come into contact with per Action Turn.,Moderate,,TRUE,EP.329,
Healing Vat,,Nanotechnology,"Healing vats were the first type of nanotech medicine developed and remain the most powerful medical devices in common use. With the exception of a few exceptionally deadly nanoplagues, a healing vat can cure any disease and heal any injury. As long as the patient is alive when they are place in the healing vat, they will not only survive, but emerge without a scratch. A healing vat can even take a severed head (as long as it has been stabilized by medichines or nanotech first aid) and regrow an entire body based on the head's genetics. If the patient's body or medical records contain information about their implants, bioware, or advanced nanotechnology, all of these modifications are also fully restored. Few people suffer injuries serious enough to require a healing vat. Most are used as a safe and easy way to perform bodysculpting or to install implants or bioware. Healing vats use specialized nanomachines to either alter the patient's body or integrate implants or bioware. One advantage of using a healing vat is that no additional healing time is needed, the patient leaves the vat fully recovered from the augmentation and ready to go. Every hospital, clinic, bodyshop, and augmentation parlor has several healing vats. The time required by a healing vat varies with the severity of the damage it is healing or the extent of the modification being made, as noted on the Healing Vat table.",High,,TRUE,EP.326,
Injector Swarm,Injectors,Nanotechnology,"Injector microswarms are equipped with tiny needles and a drug payload. A biological target affected by an injector swarm suffers 1 point of damage and the effects of the carried drug, chemical, or toxin.",Moderate,,TRUE,TH.213,
Maker,,Nanotechnology,"Makers are specially-designed to produce food and drink for the user. Raw materials can be provided by the addition of any water-containing liquid and collected biomass like leftover food, grass, dirt, dead animals, or transhuman waste. Some models are built into standard vacsuits. Makers can produce water and various  flavored beverages, as well as ration bars or thick pudding-like edible gels. With adequate raw material, a maker can indefinitely provide food and drink for up to three transhumans. Most units, however, have a very limited range of flavors and textures that are widely considered to be fairly bad. Models with a wider and better range of flavors and textures are more expensive, but produce food that is considered adequate or occasionally good.",Low,,TRUE,EP.328,
Mote Swarm,Motes,Nanotechnology,"Micro-sized computers that come in packages of 500 (or more). They are spread around an area, creating an ad hoc mesh network.",Low,,TRUE,GC.155,
Nanodetectors,,Nanotechnology,"Nanodetectors are small devices that suck in air and micro debris in order to scan for and detect nanobots. Given that nanobots are so small, the density of nanobots in the area has a large impact on its success. The nanodetector has a base skill of 30 for detecting nanobots, modified by +30 if an active nanoswarm or hive is present, +0 if a nanoswarm or hive was active recently, and -10 for the presence of nanobots outside of a swarm or hive. Once a nanobot is detected it may be analyzed either by the user or the nanodetectors AI, using Academics: Nanotechnology 30 skill. Nanodetectors are often worn and left on, set to alert the user if a hostile nanoswarm is detected. [Low]",Low,,TRUE,EP.327,
Nanomask,,Nanotechnology,This makeup nanobot application decorates the character's face in changing artistic and aesthetic styles that also happen to deter the capabilities of facial recognition software. It provides a -30 modifier to attempts to identify the subject using facial recognition. Some habitats ban this accessory.,Low,,TRUE,FW.175,-30 against facial recognition
Nanotat Eraser,,Nanotechnology,This illegal nanoswarm is designed to eradicate all signs of nanotatIDs. It takes 5 minutes and itches like crazy.,Expensive,,FALSE,PO.152,
Protean Swarm,Proteans,Nanotechnology,"This nanoswarm is designed to disassemble other materials and objects and to create a single specific, pre-programmed device from the components (much like a specialized nanofabricator). The proteans must be able to scavenge appropriate raw materials (for example, to create a metallic device the nanobots must transform something else made of metal). The construction time takes 1 hour per cost category of the item (1 hour for a Trivial cost item, 2 hours for Low, etc.).",High,,TRUE,EP.329,
